sensitivity,top_fraction,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
certified_right_censored_at_reported_bound,0.1,full_sequence_identity,171,18,0.10526315789473684,0.2601310993449247,0.7461873638344226,0.3980519476008375,0.3333333333333333
certified_right_censored_at_reported_bound,0.1,same_curated_family,171,18,0.10526315789473684,0.28952247093676325,0.7826797385620916,0.4143924626380767,0.6111111111111112
certified_right_censored_at_reported_bound,0.1,equal_rank_sequence_family,171,18,0.10526315789473684,0.3011372943140163,0.8329702251270878,0.5295818037207287,0.6111111111111112
certified_right_censored_at_reported_bound,0.1,equal_rank_sequence_residual,171,18,0.10526315789473684,0.29566103345736805,0.8237109658678285,0.39090510606080575,0.2777777777777778
certified_right_censored_at_reported_bound,0.1,equal_rank_sequence_family_residual,171,18,0.10526315789473684,0.31898302633328346,0.8761801016702977,0.6262858550593439,0.5555555555555556
certified_right_censored_at_reported_bound,0.2,raw_docking,171,35,0.2046783625730994,0.003688779342846304,0.5714285714285714,0.2542791162099074,0.2857142857142857
certified_right_censored_at_reported_bound,0.2,residual_docking,171,35,0.2046783625730994,0.1714598398253908,0.6600840336134455,0.27702622678643274,0.2571428571428571
certified_right_censored_at_reported_bound,0.2,full_sequence_identity,171,35,0.2046783625730994,0.2601310993449247,0.7800420168067227,0.5269858125825184,0.42857142857142855
certified_right_censored_at_reported_bound,0.2,same_curated_family,171,35,0.2046783625730994,0.28952247093676325,0.6493697478991597,0.36307435254803677,0.5142857142857142
certified_right_censored_at_reported_bound,0.2,equal_rank_sequence_family,171,35,0.2046783625730994,0.3011372943140163,0.8176470588235294,0.5638446445768106,0.5714285714285714
certified_right_censored_at_reported_bound,0.2,equal_rank_sequence_residual,171,35,0.2046783625730994,0.29566103345736805,0.7946428571428571,0.4975726103763569,0.4857142857142857
certified_right_censored_at_reported_bound,0.2,equal_rank_sequence_family_residual,171,35,0.2046783625730994,0.31898302633328346,0.8175420168067228,0.5916151884314516,0.4857142857142857
certified_quantified_vs_right_censored_binary,0.1,raw_docking,171,18,0.10526315789473684,-0.02553721021578504,0.5214233841684822,0.14918000197596726,0.1111111111111111
certified_quantified_vs_right_censored_binary,0.1,residual_docking,171,18,0.10526315789473684,0.06676562670860617,0.6419753086419753,0.15415950072099166,0.1111111111111111
certified_quantified_vs_right_censored_binary,0.1,full_sequence_identity,171,18,0.10526315789473684,0.26030786031577885,0.7494553376906319,0.3342903686452654,0.3888888888888889
certified_quantified_vs_right_censored_binary,0.1,same_curated_family,171,18,0.10526315789473684,0.2789083204520033,0.6584967320261439,0.21556205328135153,0.3888888888888889
certified_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_family,171,18,0.10526315789473684,0.2936510936600265,0.7672476397966594,0.34314071823679093,0.3888888888888889
certified_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_residual,171,18,0.10526315789473684,0.22478531252133666,0.764161220043573,0.33051833468770575,0.2222222222222222
certified_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_family_residual,171,18,0.10526315789473684,0.25571560665185716,0.7854030501089325,0.4031219271686123,0.2777777777777778
certified_quantified_vs_right_censored_binary,0.2,raw_docking,171,35,0.2046783625730994,-0.02553721021578504,0.5466386554621849,0.23922041071745206,0.22857142857142856
certified_quantified_vs_right_censored_binary,0.2,residual_docking,171,35,0.2046783625730994,0.06676562670860617,0.620798319327731,0.2620253301824981,0.2571428571428571
certified_quantified_vs_right_censored_binary,0.2,full_sequence_identity,171,35,0.2046783625730994,0.26030786031577885,0.7525210084033613,0.49411823091340473,0.4
certified_quantified_vs_right_censored_binary,0.2,same_curated_family,171,35,0.2046783625730994,0.2789083204520033,0.6673319327731092,0.39690893901420216,0.5428571428571428
certified_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_family,171,35,0.2046783625730994,0.2936510936600265,0.8008403361344537,0.5702853387312967,0.5714285714285714
certified_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_residual,171,35,0.2046783625730994,0.22478531252133666,0.7490546218487395,0.45687398495111614,0.45714285714285713
certified_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_family_residual,171,35,0.2046783625730994,0.25571560665185716,0.7851890756302521,0.5676387886923303,0.45714285714285713
