block_targets,complete_compounds,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2A,27,equal_rank_sequence_family_residual,10,2,0.2,0.2500046476608327,0.4375,0.225,0.0
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2B,21,raw_docking,10,2,0.2,0.4424242424242424,0.875,0.5833333333333333,0.5
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2B,21,residual_docking,10,2,0.2,0.406060606060606,0.75,0.41666666666666663,0.0
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2B,21,full_sequence_identity,10,2,0.2,0.28484848484848485,0.5625,0.375,0.5
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2B,21,equal_rank_sequence_family_residual,10,2,0.2,0.47416632407045034,0.875,0.6666666666666666,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR2B,23,raw_docking,10,2,0.2,0.6,0.875,0.75,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR2B,23,residual_docking,10,2,0.2,0.709090909090909,0.75,0.45,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR2B,23,full_sequence_identity,10,2,0.2,0.4424242424242424,1.0,1.0,1.0
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR2B,23,equal_rank_sequence_family_residual,10,2,0.2,0.6687619998624351,0.9375,0.8333333333333333,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR3A,21,raw_docking,10,2,0.2,0.4545454545454545,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR3A,21,residual_docking,10,2,0.2,0.7454545454545454,1.0,1.0,1.0
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR3A,21,full_sequence_identity,10,2,0.2,0.16363636363636364,0.8125,0.7,0.5
ADRA1A|ADRA2A|HTR1A|HTR2A|HTR3A,21,equal_rank_sequence_family_residual,10,2,0.2,0.6050420257042528,0.9375,0.8333333333333333,0.5
ADRA1A|ADRA2A|HTR1B|HTR2A|HTR2B,20,raw_docking,10,2,0.2,0.06666666666666665,0.5625,0.29166666666666663,0.0
ADRA1A|ADRA2A|HTR1B|HTR2A|HTR2B,20,residual_docking,10,2,0.2,0.1515151515151515,0.4375,0.24285714285714285,0.0
ADRA1A|ADRA2A|HTR1B|HTR2A|HTR2B,20,full_sequence_identity,10,2,0.2,0.24848484848484845,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|HTR1B|HTR2A|HTR2B,20,equal_rank_sequence_family_residual,10,2,0.2,0.3619904402925108,0.875,0.75,0.5
ADRA1A|CHRM1|CHRM2|DRD2|HRH1,20,raw_docking,10,2,0.2,-0.29696969696969694,0.1875,0.18253968253968253,0.0
ADRA1A|CHRM1|CHRM2|DRD2|HRH1,20,residual_docking,10,2,0.2,0.5757575757575757,0.6875,0.6428571428571428,0.5
ADRA1A|CHRM1|CHRM2|DRD2|HRH1,20,full_sequence_identity,10,2,0.2,0.43030303030303024,0.9375,0.8333333333333333,0.5
ADRA1A|CHRM1|CHRM2|DRD2|HRH1,20,equal_rank_sequence_family_residual,10,2,0.2,0.6727272727272726,1.0,1.0,1.0
ADRA1A|DRD1|DRD2|HRH1|HTR2A,20,raw_docking,10,2,0.2,-0.04242424242424241,0.625,0.39285714285714285,0.5
ADRA1A|DRD1|DRD2|HRH1|HTR2A,20,residual_docking,10,2,0.2,-0.5757575757575757,0.1875,0.18333333333333335,0.0
ADRA1A|DRD1|DRD2|HRH1|HTR2A,20,full_sequence_identity,10,2,0.2,-0.10303030303030303,0.375,0.22619047619047616,0.0
ADRA1A|DRD1|DRD2|HRH1|HTR2A,20,equal_rank_sequence_family_residual,10,2,0.2,-0.050186586133989394,0.53125,0.3611111111111111,0.5
ADRA1A|DRD1|DRD2|HTR1A|HTR1B,23,raw_docking,10,2,0.2,0.22424242424242422,0.3125,0.225,0.0
ADRA1A|DRD1|DRD2|HTR1A|HTR1B,23,residual_docking,10,2,0.2,0.309090909090909,0.375,0.2361111111111111,0.0
ADRA1A|DRD1|DRD2|HTR1A|HTR1B,23,full_sequence_identity,10,2,0.2,0.29696969696969694,0.375,0.22619047619047616,0.0
ADRA1A|DRD1|DRD2|HTR1A|HTR1B,23,equal_rank_sequence_family_residual,10,2,0.2,0.3658604599914625,0.3125,0.20833333333333331,0.0
ADRA1A|DRD1|DRD2|HTR1A|HTR2A,26,raw_docking,10,2,0.2,0.28484848484848485,0.8125,0.5,0.5
ADRA1A|DRD1|DRD2|HTR1A|HTR2A,26,residual_docking,10,2,0.2,0.406060606060606,0.875,0.5833333333333333,0.5
ADRA1A|DRD1|DRD2|HTR1A|HTR2A,26,full_sequence_identity,10,2,0.2,-0.2606060606060606,0.4375,0.24285714285714285,0.0
ADRA1A|DRD1|DRD2|HTR1A|HTR2A,26,equal_rank_sequence_family_residual,10,2,0.2,0.28926500380143194,0.65625,0.29166666666666663,0.0
ADRA1A|DRD1|DRD2|HTR1B|HTR2A,23,raw_docking,10,2,0.2,0.28484848484848485,0.625,0.3333333333333333,0.0
ADRA1A|DRD1|DRD2|HTR1B|HTR2A,23,residual_docking,10,2,0.2,0.24848484848484845,0.5,0.29166666666666663,0.0
ADRA1A|DRD1|DRD2|HTR1B|HTR2A,23,full_sequence_identity,10,2,0.2,0.4787878787878787,0.625,0.3333333333333333,0.0
ADRA1A|DRD1|DRD2|HTR1B|HTR2A,23,equal_rank_sequence_family_residual,10,2,0.2,0.4939116209884744,0.78125,0.45,0.5
ADRA1A|DRD1|DRD2|HTR2A|HTR2B,20,raw_docking,10,2,0.2,0.04242424242424241,0.5625,0.6111111111111112,0.5
ADRA1A|DRD1|DRD2|HTR2A|HTR2B,20,residual_docking,10,2,0.2,0.309090909090909,0.625,0.625,0.5
