fold,target,intercept,heavy_atoms,molecular_weight,labute_asa,tpsa,clogp,rotatable_bonds,ring_count
3,JAK2,1.5563150471207138e-14,-0.10167917959277903,-0.13916655748867393,0.38024185569916036,-0.072266638406884159,-0.0019637197455176412,0.089461098608676973,-0.075787756974047063
3,KDR,-5.5590016935315567e-14,0.015143905969008942,-0.15006255551721059,0.62039937390963285,0.037046900127569928,-0.033326543783257605,-0.41290403784570795,0.0088332076141441809
3,KIT,-6.5094286713123596e-14,-0.091387113769443876,0.26076190519964093,0.27335604568192207,-0.173704674387851,-0.12006881454542746,-0.12649337740058098,-0.044186017809752967
3,LCK,5.4635135777548286e-14,0.32975780662111676,0.16625191617582413,-0.9408969737536611,-0.025654190614244263,-0.045065556862078048,0.51966786208986371,0.10118766751551442
3,MAP2K1,-3.5323873704936004e-13,0.2087881078017797,-0.11803925115528842,-0.6171823097650585,0.048824459568396802,0.1275306226154159,0.031915468837084314,-0.08211496415556771
3,MAPK1,9.5427575441521805e-15,-0.20752630770421573,-0.046516671475306699,0.64632789648895261,-0.14750657594667227,-0.13118397375924631,-0.23694849590684336,-0.10478575875809569
3,MAPK14,-2.1262839347726305e-13,0.18984640697793789,0.039320893694680649,-0.39829706086266964,0.16871827748430576,0.13733427712908269,0.16877783340247365,0.18730996224293964
3,MAPKAPK2,3.3445471456093291e-13,0.50821850031889193,-0.17382328535337432,-0.41907181170774549,-0.097213769919131887,0.11038657819093145,0.028526107959396047,-0.041766831626970001
3,MET,-3.3722876255878103e-13,-0.054679364137549147,-0.055747877008894747,0.50675274379436253,0.08904043742647158,-0.027967468474401479,-0.4175884288425521,-0.024427639818093934
3,PLK1,-1.4502000196407968e-13,-0.53689971058558617,0.088738272217552414,0.30502159360681735,0.019513839014241575,-0.094837481737836418,0.11616200475022212,-0.056818600617103726
3,ROCK1,9.475059643061614e-14,0.2608620274808584,-0.041334396811793427,-1.1893979171784881,0.20040813363855811,0.19289347477656124,0.41344870714669091,0.12030451823326893
3,SRC,5.2923153081535859e-14,0.16461049365720914,0.14557829846761397,-0.65697935054646839,-0.041017789290170803,-0.088654826255799402,0.33137363364415467,0.076330644730122132
