panel,role,model,continuous_spearman,top_5_roc_auc,top_5_average_precision,top_10_roc_auc,top_10_average_precision,top_15_roc_auc,top_15_average_precision
PKIS2,locked_no_retuning_evaluation,baseline_plus_ungated_raw_plus_residual_Vina,0.5098846592922096,0.7833333333333333,0.21891582178125701,0.7131425053862727,0.21216758102144306,0.7085028914114372,0.2723485509945078
PKIS2,locked_no_retuning_evaluation,baseline_plus_raw_Vina_gate,0.5205430679666007,0.8088888888888889,0.23387634613634137,0.7331486611265005,0.22394877335335214,0.7277789676590276,0.2934100871776292
PKIS2,locked_no_retuning_evaluation,baseline_plus_residual_Vina_gate,0.5127942019096607,0.8011111111111111,0.22487738513349376,0.7300707910126193,0.22108057723653446,0.7222103234097237,0.28185731253114166
PKIS2,locked_no_retuning_evaluation,baseline_plus_separate_raw_and_residual_Vina_gates,0.5203383677343446,0.8061111111111111,0.23602288817996947,0.7254539858417974,0.22106758477279892,0.7207110730349111,0.294412815979447
PKIS2,locked_no_retuning_evaluation,baseline_plus_exact_dual_surface_gate_increment,0.5193708529613738,0.8094444444444444,0.23345054480387625,0.7365343182517697,0.22598937146353465,0.7294923966588135,0.29141177107722965
KiRHub,locked_no_retuning_evaluation,PKIS1_target_degree_prior,0.32321307735907767,0.7933333333333333,0.16189380743984486,0.7369959987688519,0.18911930043225053,0.6881559220389805,0.22639273821190936
KiRHub,locked_no_retuning_evaluation,degree_prior_plus_sequence_plus_KLIFS_pocket,0.4537600545867286,0.8294444444444444,0.2478359991798292,0.8048630347799323,0.2697098359991029,0.7528378667808953,0.29092995472265765
KiRHub,locked_no_retuning_evaluation,baseline_plus_ungated_raw_Vina,0.4616593840622499,0.8405555555555555,0.26535691115204757,0.8159433671899046,0.28589984932236556,0.7654744056543157,0.30540039505717126
KiRHub,locked_no_retuning_evaluation,baseline_plus_ungated_raw_plus_residual_Vina,0.46083533440932173,0.8394444444444444,0.26466216516854774,0.8147122191443521,0.2848624360878319,0.7644035125294496,0.3049252528820645
KiRHub,locked_no_retuning_evaluation,baseline_plus_raw_Vina_gate,0.4828204892685466,0.8527777777777777,0.2791444254952094,0.8381040320098492,0.3159692333825848,0.7905333047761833,0.3324678448653828
KiRHub,locked_no_retuning_evaluation,baseline_plus_residual_Vina_gate,0.4669500977574827,0.84,0.2601961789302532,0.817174515235457,0.2874503484231614,0.7661169415292354,0.3058857401027523
KiRHub,locked_no_retuning_evaluation,baseline_plus_separate_raw_and_residual_Vina_gates,0.48305493226959195,0.8594444444444445,0.298938955641742,0.8430286241920592,0.32697689001522334,0.7954594131505676,0.3417933486466737
KiRHub,locked_no_retuning_evaluation,baseline_plus_exact_dual_surface_gate_increment,0.4786634999365779,0.8472222222222222,0.27366006652710145,0.8294859956909818,0.304462404950274,0.7802527307774684,0.32131626753888154
