omitted_target,panel,metric,degree_prior_increment
PLK1,DAVIS,continuous_spearman,0.19954640362877096
PLK1,DAVIS,top_10_roc_auc,0.1100217864923747
PLK1,DAVIS,top_10_average_precision,0.09053063173561582
PLK1,PKIS2,continuous_spearman,0.22276861785105717
PLK1,PKIS2,top_10_roc_auc,0.12781408859840226
PLK1,PKIS2,top_10_average_precision,0.08277562268302491
PLK1,KiRHub,continuous_spearman,0.11293829649362802
PLK1,KiRHub,top_10_roc_auc,0.16739288307915756
PLK1,KiRHub,top_10_average_precision,0.11517893125678316
ROCK1,DAVIS,continuous_spearman,0.2025679794561643
ROCK1,DAVIS,top_10_roc_auc,0.13217138707334786
ROCK1,DAVIS,top_10_average_precision,0.07880799963927071
ROCK1,PKIS2,continuous_spearman,0.252516379868961
ROCK1,PKIS2,top_10_roc_auc,0.11873638344226578
ROCK1,PKIS2,top_10_average_precision,0.07574387390892565
ROCK1,KiRHub,continuous_spearman,0.13736770105839152
ROCK1,KiRHub,top_10_roc_auc,0.17683369644153957
ROCK1,KiRHub,top_10_average_precision,0.10307954208026587
SRC,DAVIS,continuous_spearman,0.21642786857705137
SRC,DAVIS,top_10_roc_auc,0.10856935366739295
SRC,DAVIS,top_10_average_precision,0.07019625055739884
SRC,PKIS2,continuous_spearman,0.24165886672906614
SRC,PKIS2,top_10_roc_auc,0.1612200435729848
SRC,PKIS2,top_10_average_precision,0.10494621556930032
SRC,KiRHub,continuous_spearman,0.13999328005375955
SRC,KiRHub,top_10_roc_auc,0.14088598402323893
SRC,KiRHub,top_10_average_precision,0.10777138593303653
