omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
KDR,KiRHub,top_5_average_precision,0.55,0.02843626896747506
KDR,KiRHub,top_10_roc_auc,0.55,0.038489469862018844
KDR,KiRHub,top_10_average_precision,0.55,0.044129825793029154
KDR,KiRHub,top_15_roc_auc,0.55,0.03978779840848812
KDR,KiRHub,top_15_average_precision,0.55,0.04119702992715485
KIT,DAVIS,continuous_spearman,0.55,0.027218182254541978
KIT,DAVIS,top_5_roc_auc,0.55,0.03155006858710563
KIT,DAVIS,top_5_average_precision,0.55,0.03018108980219114
KIT,DAVIS,top_10_roc_auc,0.55,0.030864197530864224
KIT,DAVIS,top_10_average_precision,0.55,0.026949507270745438
KIT,DAVIS,top_15_roc_auc,0.55,0.033952254641909874
KIT,DAVIS,top_15_average_precision,0.55,0.02778124043684621
KIT,PKIS2,continuous_spearman,0.55,0.013768689850481186
KIT,PKIS2,top_5_roc_auc,0.55,0.01851851851851849
KIT,PKIS2,top_5_average_precision,0.55,0.016370013909307368
KIT,PKIS2,top_10_roc_auc,0.55,0.016339869281045805
KIT,PKIS2,top_10_average_precision,0.55,0.0160990211871036
KIT,PKIS2,top_15_roc_auc,0.55,0.017241379310344862
KIT,PKIS2,top_15_average_precision,0.55,0.018752904987998253
KIT,KiRHub,continuous_spearman,0.55,0.025302997576019337
KIT,KiRHub,top_5_roc_auc,0.55,0.021947873799725626
KIT,KiRHub,top_5_average_precision,0.55,0.032373429961409184
KIT,KiRHub,top_10_roc_auc,0.55,0.026870007262164153
KIT,KiRHub,top_10_average_precision,0.55,0.032382499836712875
KIT,KiRHub,top_15_roc_auc,0.55,0.03103448275862064
KIT,KiRHub,top_15_average_precision,0.55,0.030627225248975265
LCK,DAVIS,continuous_spearman,0.6,0.05266277869777036
LCK,DAVIS,top_5_roc_auc,0.6,0.06447187928669418
LCK,DAVIS,top_5_average_precision,0.6,0.10283256422640649
LCK,DAVIS,top_10_roc_auc,0.6,0.05918663761801013
LCK,DAVIS,top_10_average_precision,0.6,0.0753081749654036
LCK,DAVIS,top_15_roc_auc,0.6,0.052785145888594176
LCK,DAVIS,top_15_average_precision,0.6,0.06416782074957145
LCK,PKIS2,continuous_spearman,0.6,0.041601267189862456
LCK,PKIS2,top_5_roc_auc,0.6,0.04115226337448563
LCK,PKIS2,top_5_average_precision,0.6,0.0418778433247084
