target_a,target_b,klifs_pocket_identity,ungated_locked_mean_absolute_error_gain,pocket_identity_quartile
AKT2,KIT,0.388235294117647,-0.0022616409902202483,Q3
AKT2,LCK,0.3058823529411765,-0.00956047780942626,Q1_lowest
AKT2,MAP2K1,0.2941176470588235,-0.0014189741075996503,Q1_lowest
AKT2,MAPK1,0.3294117647058823,0.0007185120003921908,Q1_lowest
AKT2,MAPK14,0.3294117647058823,-0.0019895551667215017,Q1_lowest
AKT2,MAPKAPK2,0.388235294117647,0.008930635626748784,Q3
AKT2,MET,0.3411764705882353,0.009788996388673255,Q2
AKT2,PLK1,0.3529411764705882,0.005663878176669246,Q2
AKT2,ROCK1,0.4235294117647059,0.01653098056460789,Q3
AKT2,SRC,0.3411764705882353,-0.01514883933263611,Q2
CDK2,CSF1R,0.3529411764705882,-0.00647318376172612,Q2
CDK2,EGFR,0.3176470588235294,0.004956835903412282,Q1_lowest
CDK2,FGFR1,0.3764705882352941,-0.005602134491596818,Q3
CDK2,IGF1R,0.3411764705882353,0.01390472873518439,Q2
CDK2,JAK2,0.4,0.012927318473154278,Q3
CDK2,KDR,0.3411764705882353,0.019723963916517873,Q2
CDK2,KIT,0.3764705882352941,0.0017431412830571185,Q3
CDK2,LCK,0.3764705882352941,-0.01564878042940626,Q3
CDK2,MAP2K1,0.3764705882352941,0.0104649459125008,Q3
CDK2,MAPK1,0.5058823529411764,0.018217543405614656,Q4_highest
CDK2,MAPK14,0.4705882352941176,0.0010844789135077137,Q4_highest
CDK2,MAPKAPK2,0.4117647058823529,0.023462260891961184,Q3
CDK2,MET,0.3647058823529411,-0.00974598912007918,Q2
CDK2,PLK1,0.3176470588235294,0.015192593145545663,Q1_lowest
CDK2,ROCK1,0.3764705882352941,0.006502228307440368,Q3
CDK2,SRC,0.3647058823529411,-0.01407777234479446,Q2
CSF1R,EGFR,0.4588235294117647,0.010818390374272124,Q4_highest
CSF1R,FGFR1,0.6352941176470588,0.0034472286736718463,Q4_highest
CSF1R,IGF1R,0.4470588235294118,-0.004221602420101611,Q3
CSF1R,JAK2,0.4823529411764706,-0.004734615137769589,Q4_highest
CSF1R,KDR,0.7176470588235294,-0.015847789415131874,Q4_highest
CSF1R,KIT,0.9176470588235294,0.008349081054883392,Q4_highest
CSF1R,LCK,0.4823529411764706,0.004956331384266877,Q4_highest
CSF1R,MAP2K1,0.3176470588235294,0.00435011691929843,Q1_lowest
CSF1R,MAPK1,0.3647058823529411,-0.005089530399259579,Q2
CSF1R,MAPK14,0.388235294117647,-0.011804158003773546,Q3
CSF1R,MAPKAPK2,0.3529411764705882,-0.004649655700799837,Q2
CSF1R,MET,0.4941176470588235,0.0027892257002752885,Q4_highest
CSF1R,PLK1,0.388235294117647,-0.006386518466782065,Q3
CSF1R,ROCK1,0.4,-0.004995386152243597,Q3
CSF1R,SRC,0.4352941176470588,0.0008194228231731918,Q3
EGFR,FGFR1,0.4588235294117647,0.006603222054019031,Q4_highest
EGFR,IGF1R,0.5411764705882353,0.007225233595138714,Q4_highest
EGFR,JAK2,0.4352941176470588,-0.008852917907300528,Q3
EGFR,KDR,0.4705882352941176,0.007001005045846886,Q4_highest
EGFR,KIT,0.4588235294117647,-0.004855162527365509,Q4_highest
EGFR,LCK,0.4470588235294118,0.006956436972922475,Q3
EGFR,MAP2K1,0.3058823529411765,0.015482718492482395,Q1_lowest
EGFR,MAPK1,0.3294117647058823,0.00842474998787246,Q1_lowest
EGFR,MAPK14,0.388235294117647,-0.0011624539789654165,Q3
EGFR,MAPKAPK2,0.3176470588235294,0.010684317200181592,Q1_lowest
EGFR,MET,0.4588235294117647,-0.0016980423999753969,Q4_highest
EGFR,PLK1,0.3294117647058823,0.010077834172858957,Q1_lowest
EGFR,ROCK1,0.3411764705882353,0.01038198412312652,Q2
EGFR,SRC,0.4588235294117647,0.0014322982218268887,Q4_highest
FGFR1,IGF1R,0.4470588235294118,0.009943451224372716,Q3
FGFR1,JAK2,0.5294117647058824,0.026559432881415157,Q4_highest
FGFR1,KDR,0.6588235294117647,0.011982168475386135,Q4_highest
FGFR1,KIT,0.6235294117647059,0.0054857828914287405,Q4_highest
FGFR1,LCK,0.4470588235294118,0.005808902094509867,Q3
FGFR1,MAP2K1,0.3058823529411765,0.020425062362783446,Q1_lowest
FGFR1,MAPK1,0.3411764705882353,0.02549030357568771,Q2
FGFR1,MAPK14,0.388235294117647,0.0016403231487885177,Q3
