null_repetition,panel,fixed_experimental_endpoint,raw_docking_concordance,centered_docking_concordance,centered_minus_raw_docking
11,PKIS2,raw_experimental_target_geometry,-0.01335362839909547,-0.10758921737152656,-0.09423558897243109
11,PKIS2,two_way_centered_experimental_target_geometry,-0.05521220153350217,-0.04429485581318043,0.010917345720321742
11,PKIS1,raw_experimental_target_geometry,0.09769187366321563,0.0034562846907845533,-0.09423558897243108
11,PKIS1,two_way_centered_experimental_target_geometry,-0.025042536533305345,-0.03881868720667288,-0.013776150673367533
11,KiRHub,raw_experimental_target_geometry,0.0010436212695788337,0.01942815153065911,0.01838453026108028
11,KiRHub,two_way_centered_experimental_target_geometry,-0.04677400307050348,-0.02721725780419636,0.01955674526630712
12,DAVIS,raw_experimental_target_geometry,0.07397114076640118,0.06384810193021823,-0.010123038836182957
12,DAVIS,two_way_centered_experimental_target_geometry,0.027946830426852472,0.0433063461445936,0.015359515717741124
12,PKIS2,raw_experimental_target_geometry,0.03809086415865143,-0.08353256614485605,-0.12162343030350747
12,PKIS2,two_way_centered_experimental_target_geometry,0.01757710156718148,0.024242980925262548,0.006665879358081068
12,PKIS1,raw_experimental_target_geometry,0.011374859487287156,-0.029843369330831444,-0.041218228818118596
12,PKIS1,two_way_centered_experimental_target_geometry,-0.03525130452658698,-0.0037169713113499284,0.03153433321523705
12,KiRHub,raw_experimental_target_geometry,0.07058921299758997,0.023368193607929074,-0.04722101938966089
12,KiRHub,two_way_centered_experimental_target_geometry,-0.02318273869665438,-0.023553648519203767,-0.00037090982254938537
13,DAVIS,raw_experimental_target_geometry,-0.04331334444313227,-0.012659047269132691,0.03065429717399958
13,DAVIS,two_way_centered_experimental_target_geometry,-0.011619799936140528,0.026090531739470842,0.03771033167561137
13,PKIS2,raw_experimental_target_geometry,-0.0005537403718720886,-0.07987595515840212,-0.07932221478653004
13,PKIS2,two_way_centered_experimental_target_geometry,0.0597103579192309,0.064563677955797,0.004853320036566099
13,PKIS1,raw_experimental_target_geometry,-0.057351931311699855,-0.06453393518700766,-0.007182003875307805
13,PKIS1,two_way_centered_experimental_target_geometry,0.03844252866021949,0.055740573073171595,0.01729804441295211
13,KiRHub,raw_experimental_target_geometry,0.04667952604023148,0.021762084093304816,-0.02491744194692666
13,KiRHub,two_way_centered_experimental_target_geometry,0.027371220372047048,0.030658671110586243,0.003287450738539196
14,DAVIS,raw_experimental_target_geometry,0.06045392713896435,0.05138063308358155,-0.009073294055382798
14,DAVIS,two_way_centered_experimental_target_geometry,0.023240474659598387,0.06537723016091714,0.04213675550131875
14,PKIS2,raw_experimental_target_geometry,0.16185052509108724,0.010710021126113713,-0.15114050396497353
14,PKIS2,two_way_centered_experimental_target_geometry,0.07608287735044418,0.07656051122570826,0.00047763387526407464
14,PKIS1,raw_experimental_target_geometry,0.16506274412033575,0.055418651340392866,-0.10964409277994289
14,PKIS1,two_way_centered_experimental_target_geometry,0.037319301744763306,0.04026033670563845,0.0029410349608751454
14,KiRHub,raw_experimental_target_geometry,0.07711512638489769,0.06417877153617027,-0.012936354848727419
14,KiRHub,two_way_centered_experimental_target_geometry,-0.014903751525410387,0.0032288399882778505,0.018132591513688238
15,DAVIS,raw_experimental_target_geometry,0.10610207893205967,0.11249152549786333,0.006389446565803661
15,DAVIS,two_way_centered_experimental_target_geometry,0.10892064366850812,0.14691965515883953,0.037999011490331414
15,PKIS2,raw_experimental_target_geometry,0.1683274503886243,-0.02885311008760995,-0.19718056047623422
15,PKIS2,two_way_centered_experimental_target_geometry,0.07027603913798458,0.08558131804205103,0.015305278904066452
15,PKIS1,raw_experimental_target_geometry,0.11014184676350564,-0.006197868143307659,-0.11633971490681329
15,PKIS1,two_way_centered_experimental_target_geometry,0.023196735293731712,0.07767324069335645,0.05447650539962473
15,KiRHub,raw_experimental_target_geometry,0.12095946672965137,0.047545565484391615,-0.07341390124525976
15,KiRHub,two_way_centered_experimental_target_geometry,0.07176492715208616,0.09132517156766261,0.019560244415576453
16,DAVIS,raw_experimental_target_geometry,-0.02816727683082051,-0.007557287634443877,0.020609989196376632
16,DAVIS,two_way_centered_experimental_target_geometry,-0.04610041683615671,-0.0011153538296001786,0.04498506300655653
16,PKIS2,raw_experimental_target_geometry,-0.10559295271337156,-0.13372611283881608,-0.02813316012544452
16,PKIS2,two_way_centered_experimental_target_geometry,-0.12573930463156147,-0.08548334186250968,0.04025596276905179
16,PKIS1,raw_experimental_target_geometry,-0.05467508212065942,-0.07678620635358029,-0.022111124232920866
16,PKIS1,two_way_centered_experimental_target_geometry,-0.08026611030193284,-0.0684704781150083,0.011795632186924546
16,KiRHub,raw_experimental_target_geometry,0.027002060124132324,0.027680895082383097,0.0006788349582507736
16,KiRHub,two_way_centered_experimental_target_geometry,-0.03421030761896014,-0.01514694239962909,0.019063365219331052
17,DAVIS,raw_experimental_target_geometry,-0.18278243602024263,-0.0030206406067524835,0.17976179541349016
17,DAVIS,two_way_centered_experimental_target_geometry,-0.07608987564898284,-0.05353086030958723,0.02255901533939561
17,PKIS2,raw_experimental_target_geometry,-0.14777169800592233,-0.1282464450830392,0.019525252922883124
17,PKIS2,two_way_centered_experimental_target_geometry,-0.10698211497329714,-0.0880867089188941,0.01889540605440304
17,PKIS1,raw_experimental_target_geometry,-0.18134428567054636,-0.05585954414832894,0.12548474152221742
17,PKIS1,two_way_centered_experimental_target_geometry,-0.061708372152020546,-0.08231486219912786,-0.02060649004710731
17,KiRHub,raw_experimental_target_geometry,-0.1711600117221501,-0.062131769213609946,0.10902824250854015
17,KiRHub,two_way_centered_experimental_target_geometry,-0.056895292332051775,-0.06853521237649098,-0.0116399200444392
18,DAVIS,raw_experimental_target_geometry,0.1285368744723939,0.06957970843338714,-0.05895716603900676
18,DAVIS,two_way_centered_experimental_target_geometry,-0.0012500710764695333,0.03489964002501892,0.03614971110148845
18,PKIS2,raw_experimental_target_geometry,0.10169665000196829,-0.034731680860090895,-0.1364283308620592
18,PKIS2,two_way_centered_experimental_target_geometry,-0.029498703127802058,0.002523761410507071,0.03202246453830913
18,PKIS1,raw_experimental_target_geometry,0.08611493830562446,0.0018676709225069657,-0.0842472673831175
18,PKIS1,two_way_centered_experimental_target_geometry,-0.02204726475875553,0.0009141527466134796,0.022961417505369012
18,KiRHub,raw_experimental_target_geometry,0.0370551159749286,0.05932720107423883,0.02227208509931023
18,KiRHub,two_way_centered_experimental_target_geometry,-0.06133921190410582,-0.01779754797114952,0.043541663932956304
19,DAVIS,raw_experimental_target_geometry,0.08191420960778911,0.10952249734283355,0.027608287735044437
19,DAVIS,two_way_centered_experimental_target_geometry,0.04093392293998522,0.05951090641087886,0.018576983470893642
19,PKIS2,raw_experimental_target_geometry,0.049422859067389247,-0.020409662900707268,-0.06983252196809651
19,PKIS2,two_way_centered_experimental_target_geometry,0.040458038639355806,0.03836904652556348,-0.0020889921137923276
19,PKIS1,raw_experimental_target_geometry,0.0880762114710861,0.054948015763667465,-0.03312819570741864
19,PKIS1,two_way_centered_experimental_target_geometry,-0.007949192352609272,-0.0061996177179423255,0.0017495746346669469
19,KiRHub,raw_experimental_target_geometry,0.044922953107025855,0.06502381608471441,0.02010086297768856
19,KiRHub,two_way_centered_experimental_target_geometry,0.055017998749054144,0.03439751210486951,-0.020620486644184637
20,DAVIS,raw_experimental_target_geometry,0.04496669247289253,0.05228516316970438,0.007318470696811845
20,DAVIS,two_way_centered_experimental_target_geometry,0.05782606603769459,0.07382942522099316,0.016003359183298566
20,PKIS2,raw_experimental_target_geometry,0.09595104690172203,0.0020233830649923237,-0.09392766383672971
20,PKIS2,two_way_centered_experimental_target_geometry,0.08609744255927779,0.0684862242867203,-0.01761121827255749
20,PKIS1,raw_experimental_target_geometry,0.03964273685960101,0.0018414273029869618,-0.03780130955661405
20,PKIS1,two_way_centered_experimental_target_geometry,0.0793160912753087,0.03804012649424609,-0.04127596478106261
20,KiRHub,raw_experimental_target_geometry,0.11914165868423242,0.09364685710786566,-0.025494801576366757
20,KiRHub,two_way_centered_experimental_target_geometry,0.05847865737642536,0.037693710716582035,-0.020784946659843324
