sampling_scheme,repetition,sample_size,metric,DAVIS_augmented_minus_baseline,PKIS2_augmented_minus_baseline,KiRHub_augmented_minus_baseline,mean_locked_delta,minimum_locked_panel_delta,positive_on_every_locked_panel
uniform_random,182,40,continuous_spearman,0.24151303214405995,0.22441793838872925,0.1295402555253754,0.19849040868605486,0.1295402555253754,True
uniform_random,182,40,top_10_roc_auc,0.09510618651892888,0.11972914742997842,0.05632502308402587,0.0903867856776444,0.05632502308402587,True
uniform_random,182,40,top_10_average_precision,0.07339055342875028,0.06836178863259201,0.05443473695326301,0.06539569300486843,0.05443473695326301,True
uniform_random,182,80,continuous_spearman,0.2027337103666671,0.1887965988269102,0.11683134537915468,0.1694538848575773,0.11683134537915468,True
uniform_random,182,80,top_10_roc_auc,0.082486919052016,0.08156355801785165,0.1046475838719606,0.08956602031394274,0.08156355801785165,True
uniform_random,182,80,top_10_average_precision,0.04424795676437024,0.024761068615666737,0.0546244986411788,0.04121117467373859,0.024761068615666737,True
uniform_random,182,160,continuous_spearman,0.2377864381722194,0.2346372038298189,0.1443871458751591,0.20560359595906577,0.1443871458751591,True
uniform_random,182,160,top_10_roc_auc,0.10433979686057249,0.13142505386272696,0.13881194213604187,0.12485893095311378,0.10433979686057249,True
uniform_random,182,160,top_10_average_precision,0.1398325884539494,0.1112489309492801,0.15192613666581106,0.13433588535634686,0.1112489309492801,True
uniform_random,182,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,182,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,182,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,183,10,continuous_spearman,-0.0599194320880736,-0.04550643624768727,-0.08353868965607736,-0.06298818599727941,-0.08353868965607736,False
uniform_random,183,10,top_10_roc_auc,0.016312711603570285,0.0009233610341643494,0.01415820252385358,0.010464758387196071,0.0009233610341643494,True
uniform_random,183,10,top_10_average_precision,-0.07017577287045407,-0.0482649521972911,-0.0014521010531787781,-0.03996427537364131,-0.07017577287045407,False
uniform_random,183,20,continuous_spearman,-0.09107585718222257,-0.05231053200190705,-0.15365814186425925,-0.09901484368279628,-0.15365814186425925,False
uniform_random,183,20,top_10_roc_auc,0.015389350569405935,-0.019082794706063444,0.03970452446906736,0.012003693444136617,-0.019082794706063444,False
uniform_random,183,20,top_10_average_precision,-0.23742889937154288,-0.23164582028694353,-0.12214621902185671,-0.19707364622678103,-0.23742889937154288,False
uniform_random,183,40,continuous_spearman,-0.0569818962764678,-0.03104270274289561,-0.07964588609394338,-0.055890161704435594,-0.07964588609394338,False
uniform_random,183,40,top_10_roc_auc,0.08217913204062788,0.07448445675592485,0.041859033548784286,0.06617420744844567,0.041859033548784286,True
uniform_random,183,40,top_10_average_precision,0.09267332865788491,0.07657513958615833,0.062079388776424105,0.07710928567348911,0.062079388776424105,True
uniform_random,183,80,continuous_spearman,0.1315732612508584,0.15960319647285753,0.11275833562965004,0.13464493111778866,0.11275833562965004,True
uniform_random,183,80,top_10_roc_auc,0.08771929824561409,0.0643274853801169,0.09602954755309323,0.0826921103929414,0.0643274853801169,True
uniform_random,183,80,top_10_average_precision,0.08678639332316612,0.03966693721636674,0.08499819708392409,0.07048384254115232,0.03966693721636674,True
uniform_random,183,160,continuous_spearman,0.17251330770206497,0.18405875071623212,0.1139935353217249,0.15685519791334065,0.1139935353217249,True
uniform_random,183,160,top_10_roc_auc,0.10526315789473684,0.11695906432748537,0.11480455524776856,0.11234225915666358,0.10526315789473684,True
uniform_random,183,160,top_10_average_precision,0.09670400512296276,0.07907717237727027,0.09612948655905199,0.09063688801976166,0.07907717237727027,True
uniform_random,183,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,183,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,183,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,184,10,continuous_spearman,0.03654511496892318,0.04729975024822092,-0.053272798050973874,0.010190689055390076,-0.053272798050973874,False
uniform_random,184,10,top_10_roc_auc,0.051708217913204124,0.10957217605417052,0.01939058171745156,0.06022365856160874,0.01939058171745156,True
uniform_random,184,10,top_10_average_precision,0.1158801142701033,0.09650274110693197,0.0867606680110877,0.099714507796041,0.0867606680110877,True
uniform_random,184,20,continuous_spearman,0.10263879594273642,0.09717837350794087,0.05678594391738509,0.08553437112268747,0.05678594391738509,True
uniform_random,184,20,top_10_roc_auc,0.11234225915666357,0.11911357340720224,0.056017236072637755,0.09582435621216785,0.056017236072637755,True
uniform_random,184,20,top_10_average_precision,0.12840367211835474,0.051071766844657474,0.1023300192828035,0.09393515274860524,0.051071766844657474,True
uniform_random,184,40,continuous_spearman,0.03780130955661404,0.015621951912941134,-0.06111439156355114,-0.0025637100313319894,-0.06111439156355114,False
uniform_random,184,40,top_10_roc_auc,0.02831640504770694,0.03878116343490312,0.020006155740227793,0.02903457474094595,0.020006155740227793,True
uniform_random,184,40,top_10_average_precision,0.05950213157689671,0.06539890292478903,0.04742875703435409,0.057443263845346614,0.04742875703435409,True
uniform_random,184,80,continuous_spearman,0.08248719530064252,0.08283011192903728,-0.02466550319953459,0.04688393467671507,-0.02466550319953459,False
uniform_random,184,80,top_10_roc_auc,0.036626654355186195,0.06832871652816253,0.04155124653739617,0.048835539140248296,0.036626654355186195,True
uniform_random,184,80,top_10_average_precision,0.0673657068960993,0.046729559564383794,0.06590875113853015,0.06000133919967108,0.046729559564383794,True
