dropped_target,panel,analysis_role,remaining_targets,sequence_continuous_spearman,Vina_continuous_spearman,fusion_continuous_spearman,fusion_minus_sequence_continuous_spearman,fusion_minus_Vina_continuous_spearman
CSF1R,PKIS2,locked_no_retuning_evaluation,19,0.211628414881486,0.313511891904865,0.321720415340969,0.110092000459483,0.00820852343610468
CSF1R,KiRHub,locked_no_retuning_evaluation,19,0.280284830405757,0.333203734370125,0.385926974640926,0.105642144235169,0.0527232402708009
EGFR,PKIS1,post_hoc_discovery,19,0.27043256105878,0.175743394052848,0.275171381619741,0.0047388205609617,0.0994279875668937
EGFR,DAVIS,locked_no_retuning_evaluation,19,0.313433068655359,0.280768953848369,0.377801579040963,0.0643685103856039,0.0970326251925935
EGFR,PKIS2,locked_no_retuning_evaluation,19,0.312303876333866,0.290558475532196,0.379156429171789,0.0668525528379236,0.0885979536395937
EGFR,KiRHub,locked_no_retuning_evaluation,19,0.37094867754926,0.322617419060648,0.443164397531429,0.0722157199821696,0.120546978470782
FGFR1,PKIS1,post_hoc_discovery,19,0.273199034006059,0.228768569851441,0.300913342443503,0.0277143084374435,0.0721447725920616
FGFR1,DAVIS,locked_no_retuning_evaluation,19,0.251207943961411,0.299949600403197,0.342585559267467,0.0913776153060562,0.0426359588642701
FGFR1,PKIS2,locked_no_retuning_evaluation,19,0.283160184200353,0.322005423956608,0.372264683453675,0.0891044992533221,0.0502592594970669
FGFR1,KiRHub,locked_no_retuning_evaluation,19,0.295610121950721,0.303088775289798,0.373853522222175,0.0782434002714547,0.0707647469323775
IGF1R,PKIS1,post_hoc_discovery,19,0.315675411030237,0.152437180502556,0.28000456022633,-0.0356708508039073,0.127567379723774
IGF1R,DAVIS,locked_no_retuning_evaluation,19,0.364737195158705,0.276388988888089,0.395213094865937,0.030475899707232,0.118824105977848
IGF1R,PKIS2,locked_no_retuning_evaluation,19,0.406653010729388,0.281832145342837,0.41943442774616,0.0127814170167721,0.137602282403323
IGF1R,KiRHub,locked_no_retuning_evaluation,19,0.401028635476603,0.305409556723546,0.437893233848201,0.0368645983715983,0.132483677124655
JAK2,PKIS1,post_hoc_discovery,19,0.268130420227888,0.166277869777042,0.258640800592462,-0.00948961963542616,0.0923629308154205
JAK2,DAVIS,locked_no_retuning_evaluation,19,0.282479957090019,0.302980776153791,0.366978114070866,0.0844981569808468,0.0639973379170754
JAK2,PKIS2,locked_no_retuning_evaluation,19,0.313141022181532,0.308234334125327,0.386432965432887,0.0732919432513555,0.0781986313075601
JAK2,KiRHub,locked_no_retuning_evaluation,19,0.347628870435223,0.341483668130655,0.433034846619213,0.0854059761839904,0.0915511784885581
KDR,PKIS1,post_hoc_discovery,19,0.182432687837382,0.140667674658603,0.186706555737961,0.00427386790057918,0.0460388810793582
