n_ligands,component,raw_pr,residual_pr,pr_increase,raw_pc1_fraction,residual_pc1_fraction,raw_mean_correlation,residual_mean_absolute_correlation,residual_fraction_grand_centered_ss,z_then_row_center_pr
128,post_hydrogen,3.6840310195689567,7.056536147660425,3.372505128091468,0.48309414503119363,0.20238655626500443,0.41669092069672203,0.15671559811841065,0.49192181362441717,7.082019577396533
128,pre_gauss1,2.8477084904602443,6.3759060461367385,3.528197555676494,0.5653336271142382,0.2577311497725266,0.4869010425809003,0.18612885432894005,0.40847324087933107,6.4143189810629675
128,pre_gauss2,1.92058531034719,5.627759224824737,3.707173914477547,0.7080880349131677,0.3055177517865491,0.6311171053087486,0.23468948409904714,0.3328959015804466,5.3208084614134785
128,pre_repulsion,6.138739598685379,5.775845396077645,-0.362894202607734,0.3036639514675334,0.30170842502867046,0.17402726272996183,0.23648980671471476,0.7096944796800095,6.929306011303716
128,pre_hydrophobic,2.0599257193889864,5.60336960492122,3.543443885532233,0.6818696053655692,0.31984324774623907,0.620630033221064,0.23207100920728888,0.2990818617129804,5.715244889207453
128,pre_hydrogen,3.3160688834524117,7.1123810590637895,3.796312175611378,0.5184733118149821,0.19596356070555082,0.4565420965443205,0.1532695564481617,0.45979449455219146,7.146003360057314
256,released_score,2.6798436318797463,4.980739416321354,2.300895784441608,0.5800797819910942,0.3624046113370414,0.4881685436896572,0.27629363092001497,0.2917982464802686,4.830999632118685
256,rescored_post_total,2.677911441028061,4.993799746144891,2.3158883051168297,0.5804252796518871,0.3614101273006269,0.48857560080930074,0.27562636185372136,0.29097214470285226,4.845118166508799
256,zero_rot_pre_total,1.743252848920264,4.772127060418005,3.028874211497741,0.7474106726319806,0.3745700960128737,0.7014113983887069,0.2808763735826607,0.20070624316571792,4.673063065980574
256,post_gauss1,5.388131198380939,6.3388652012644355,0.9507340028834967,0.3490013576732704,0.2744509491555774,0.21955330928111522,0.19472051550108238,0.545497850823077,6.581682573363538
256,post_gauss2,2.5714607718623665,5.810550359357778,3.2390895874954118,0.5990091585757106,0.2977301645956134,0.4830236854099382,0.21547375351458437,0.45419855711026463,5.850220443192206
256,post_repulsion,6.761225664046477,6.190315660681525,-0.5709100033649523,0.27156725756995015,0.2749215931180045,0.12455986047356585,0.20546422166280862,0.7188938725785582,7.03406258395705
256,post_hydrophobic,2.1836229502917797,6.300126219466204,4.116503269174425,0.6608297661375613,0.27715798764368377,0.5970897301046761,0.1903075049544038,0.31440358823103554,6.438163490802838
256,post_hydrogen,4.101646887188631,7.353023639930569,3.2513767527419386,0.44996970534920383,0.1897934111832347,0.3779457356874639,0.14123573760307762,0.5210300954314183,7.392757765224372
256,pre_gauss1,2.8874360997718838,6.356703142047515,3.469267042275631,0.5603477114352392,0.266906577304838,0.4838768818194094,0.19178235108268513,0.40756436077370023,6.42417062602856
256,pre_gauss2,1.9081719931733265,5.831919578780757,3.92374758560743,0.710827420182821,0.29588438800783645,0.6338023744663783,0.2093657485429545,0.3257945369160941,5.5719692704612465
256,pre_repulsion,5.942728273366047,6.022345509737786,0.0796172363717389,0.31981751710559125,0.28301697408959225,0.18812101650546503,0.21547557801519837,0.6911993206607953,7.010264702838987
256,pre_hydrophobic,2.1908385673520523,6.105153545323554,3.9143149779715016,0.6589489626239661,0.2916172070505512,0.5896997879951758,0.19950068831992962,0.3179940693230112,6.20732161804702
256,pre_hydrogen,3.3971161382012447,7.358008305324749,3.9608921671235047,0.511778564791006,0.18800729190639578,0.44795204892158225,0.14000722030668855,0.4666451724270476,7.4325016067110266
512,released_score,2.6544188032771032,4.911918815488637,2.2575000122115334,0.5833274056006245,0.3694471436891063,0.48504557957696914,0.2821880177527786,0.3001808304343005,4.777223155051752
512,rescored_post_total,2.649528001680738,4.911876072913026,2.2623480712322883,0.5840426349700731,0.3695179041185967,0.486053549899879,0.28251800555727774,0.2991421154117253,4.778861125680864
512,zero_rot_pre_total,1.7166996796360583,4.731688060331328,3.0149883806952693,0.7538235844870557,0.3796577827280093,0.7088314732390849,0.2831986669948235,0.20089405603888577,4.7330939103867715
512,post_gauss1,4.980576712554207,6.380211474765654,1.3996347622114476,0.37587256914716954,0.2765263469287495,0.24891443014907397,0.1893303117575764,0.5300450551644819,6.5348576570300905
512,post_gauss2,2.4235127794431626,5.914115508411813,3.4906027289686503,0.6203949570760481,0.29589763970863536,0.5055315650279643,0.20496346269561885,0.43061607358386333,5.885842615693733
512,post_repulsion,6.900465980411691,6.354669911659641,-0.5457960687520504,0.2706579749423024,0.2667822198649641,0.12414072779179114,0.1964777445135964,0.7274028364231327,7.287747025734471
512,post_hydrophobic,2.274752419844371,6.468479934312629,4.193727514468258,0.6456493575136398,0.26890094021805644,0.5777515932086716,0.17561630390349137,0.32308171967515925,6.60490443099687
512,post_hydrogen,4.2818433589897635,7.656873964624571,3.375030605634808,0.43862729213936613,0.16830787246042345,0.3670837005810317,0.12758734266027466,0.5315782889156301,7.697316277021678
512,pre_gauss1,2.723811629392448,6.405713327987312,3.6819016985948645,0.5801439093795958,0.27067746110306373,0.505211298544878,0.18736682234918323,0.3922203791534797,6.369595136255385
512,pre_gauss2,1.8109095640968138,5.892622493891085,4.081712929794271,0.7314684632475538,0.29576665562357435,0.6591641591383312,0.20673543308005426,0.29896360489389473,5.579251791103727
512,pre_repulsion,6.037960019821791,6.145436796325053,0.10747677650326182,0.31887625920650287,0.2754298867885097,0.1903478988295665,0.20611411189918713,0.695773196224583,7.255894277872008
512,pre_hydrophobic,2.243717281565796,6.268602807977736,4.024885526411939,0.6500268912208808,0.28159283085149006,0.5777340402699941,0.18487640736158617,0.3229107930964404,6.384155522114983
512,pre_hydrogen,3.5983789917173943,7.659328393514837,4.060949401797442,0.4944824392261978,0.16875769778295185,0.42998949417710725,0.12609233278866158,0.48330467095062946,7.706958788944889
