target_support,ligand_support,component,descriptor,descriptor_spearman_rho,dockstring_target,docking44_slope_per_descriptor_sd,dockstring_term_slope_per_descriptor_sd
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,ADRB2,-0.2502513265205406,-0.1745380383736233
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,ADRB1,-0.3304521165517704,-0.10792452279535841
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,ADORA2A,0.0064905522552032,0.006337422149219785
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,AR,0.4743633768218913,0.17613328345195567
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,PTGS2,0.4456430435808976,0.22814176714413362
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,ACHE,-0.1504079342810922,0.08515989753760812
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,DRD2,-0.0299788607145813,-0.010680243431698785
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,LCK,-0.1001945423042306,-0.009320359985766408
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,NR3C1,0.1544859566020453,-0.10200877104088607
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,ADRB2,-0.1069883827121139,-0.09069598526132246
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,ADRB1,-0.2058612332109472,-0.06780247977913134
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,ADORA2A,0.1023532738095877,0.022039183166245667
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,AR,0.22931481780664,0.09770521405667734
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,PTGS2,0.2757108812879421,0.11471150711164191
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,ACHE,-0.021464799057545,0.049221952753377825
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,DRD2,0.0078206912916749,0.0057062457030021595
all_9_mapped_targets,all_selected_ligands,post_gauss1,tpsa,0.5833333333333334,LCK,-0.0715454745119449,-0.02887686670960484
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,NR3C1,0.0888282267253159,-0.05843787942977279
all_9_mapped_targets,all_selected_ligands,post_gauss1,clogp,0.5999999999999998,ADRB2,-0.1292093941431153,-0.06412348497826999
