component,response,descriptor,spearman_rho,p_value_descriptive_only
pre_gauss1,row_mean,labute_asa,-0.7870802505693457,4.397481976772951e-109
pre_gauss1,residual_rms,labute_asa,0.783743033382543,1.446600234895546e-107
pre_gauss1,row_mean,clogp,-0.29026806814410455,2.132119825256727e-11
pre_gauss1,residual_rms,clogp,0.3629422621908653,2.1878968741494666e-17
pre_gauss1,row_mean,tpsa,-0.5050214006747044,1.718339251666774e-34
pre_gauss1,residual_rms,tpsa,0.38724374126232036,9.175091037766228e-20
pre_gauss1,row_mean,hbd,-0.305919650874838,1.4881847758655496e-12
pre_gauss1,residual_rms,hbd,0.19030033620086922,1.4565520239019434e-05
pre_gauss1,row_mean,hba,-0.45883499912610576,5.05602208885149e-28
pre_gauss1,residual_rms,hba,0.39033605856988474,4.4211083976043597e-20
pre_gauss1,row_mean,rotatable_bonds,-0.7950874738484855,7.741703836421247e-113
pre_gauss1,residual_rms,rotatable_bonds,0.44175570196779734,7.192871430283134e-26
pre_gauss1,row_mean,rdkit_rotatable_bonds,-0.7950874738484855,7.741703836421247e-113
pre_gauss1,residual_rms,rdkit_rotatable_bonds,0.44175570196779734,7.192871430283134e-26
pre_gauss1,row_mean,ring_count,-0.3698371871661487,4.8503457543375755e-18
pre_gauss1,residual_rms,ring_count,0.5235352146334495,2.2491618120700823e-37
pre_gauss2,row_mean,heavy_atoms,-0.9126827828622837,2.4371100040264045e-200
pre_gauss2,residual_rms,heavy_atoms,0.8662615448869402,8.00493454805776e-156
pre_gauss2,row_mean,molecular_weight,-0.8855449661539694,6.149011383203281e-172
pre_gauss2,residual_rms,molecular_weight,0.8383118898845288,1.8364752793065642e-136
pre_gauss2,row_mean,labute_asa,-0.9007526128391754,7.630140188622564e-187
pre_gauss2,residual_rms,labute_asa,0.8611451752955449,5.748877715148319e-152
pre_gauss2,row_mean,clogp,-0.344265611946533,1.0821324373805413e-15
pre_gauss2,residual_rms,clogp,0.3680785332337694,7.147471016978673e-18
pre_gauss2,row_mean,tpsa,-0.5234110338295535,2.354805072999279e-37
pre_gauss2,residual_rms,tpsa,0.4169536961828982,5.941310916452537e-23
pre_gauss2,row_mean,hbd,-0.2894431263476653,2.4423877948078468e-11
pre_gauss2,residual_rms,hbd,0.19719898566880328,6.943441744799004e-06
pre_gauss2,row_mean,hba,-0.492813771641181,1.1010083535066775e-32
pre_gauss2,residual_rms,hba,0.3875854880530168,8.467073523676929e-20
pre_gauss2,row_mean,rotatable_bonds,-0.7351226375050357,3.859168596307747e-88
pre_gauss2,residual_rms,rotatable_bonds,0.47004192469581985,1.6731274458786902e-29
pre_gauss2,row_mean,rdkit_rotatable_bonds,-0.7351226375050357,3.859168596307747e-88
pre_gauss2,residual_rms,rdkit_rotatable_bonds,0.47004192469581985,1.6731274458786902e-29
pre_gauss2,row_mean,ring_count,-0.5298427800079698,2.1309611488093357e-38
pre_gauss2,residual_rms,ring_count,0.6075061613442362,5.74451078614757e-53
pre_repulsion,row_mean,heavy_atoms,0.7432408379989601,4.481050679600595e-91
pre_repulsion,residual_rms,heavy_atoms,0.7471380443975693,1.594425836636749e-92
pre_repulsion,row_mean,molecular_weight,0.7274252805243703,1.8665412897152184e-85
pre_repulsion,residual_rms,molecular_weight,0.7249076601320654,1.3464975790542145e-84
pre_repulsion,row_mean,labute_asa,0.7309400606253076,1.139584914051688e-86
pre_repulsion,residual_rms,labute_asa,0.7449324831771209,1.0611133750995759e-91
pre_repulsion,row_mean,clogp,0.2622236777732001,1.6944150745062668e-09
