workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,pubchem_cid,pubchem_smiles,pubchem_inchikey,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,structure_fragment_count,butina_r2_2048_tanimoto50_cluster,butina_cluster_size,murcko_scaffold,murcko_scaffold_size,cluster_multiplier_group,cluster_multiplier_group_source
98,NF-kB Activation Inhibitor,545380-34-5,True,509554,C1=CC=C(C=C1)OC2=CC=C(C=C2)CCNC3=NC=NC4=C3C=C(C=C4)N,IBAKVEUZKHOWNG-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N,IBAKVEUZKHOWNG,IBAKVEUZKHOWNG,,IBAKVEUZKHOWNG,1,B069,1,c1ccc(Oc2ccc(CCNc3ncnc4ccccc34)cc2)cc1,1,B069,resolved_structure_butina
99,p38 MAP Kinase Inhibitor III,581098-48-8,True,,,,,,VXPWQNBKEIVYIS,VXPWQNBKEIVYIS,VXPWQNBKEIVYIS,,,,,,U099,unresolved_identity_specific_singleton
100,p38 MAP Kinase Inhibitor,219138-24-6,True,4665,C1=CC(=CC=C1C2=C(NN(C2=O)C3=CC=C(C=C3)Cl)C4=CC=NC=C4)F,DZFBYHUKZSRPHU-UHFFFAOYSA-N,DZFBYHUKZSRPHU-UHFFFAOYSA-N,DZFBYHUKZSRPHU,DZFBYHUKZSRPHU,,DZFBYHUKZSRPHU,1,B068,1,O=c1c(-c2ccccc2)c(-c2ccncc2)[nH]n1-c1ccccc1,1,B068,resolved_structure_butina
101,PD 98059,167869-21-8,True,4713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,QFWCYNPOPKQOKV-UHFFFAOYSA-N,QFWCYNPOPKQOKV-UHFFFAOYSA-N,QFWCYNPOPKQOKV,QFWCYNPOPKQOKV,,QFWCYNPOPKQOKV,1,B067,1,O=c1cc(-c2ccccc2)oc2ccccc12,1,B067,resolved_structure_butina
102,PD 169316,152121-53-4,True,4712,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],BGIYKDUASORTBB-UHFFFAOYSA-N,BGIYKDUASORTBB-UHFFFAOYSA-N,BGIYKDUASORTBB,BGIYKDUASORTBB,,BGIYKDUASORTBB,1,B002,3,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,3,B002,resolved_structure_butina
103,PD 158780,171179-06-9,True,4707,CNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br,KFHMLBXBRCITHF-UHFFFAOYSA-N,KFHMLBXBRCITHF-UHFFFAOYSA-N,KFHMLBXBRCITHF,KFHMLBXBRCITHF,,KFHMLBXBRCITHF,1,B003,3,c1ccc(Nc2ncnc3cnccc23)cc1,2,B003,resolved_structure_butina
104,PD 174265,216163-53-0,True,4709,CCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,WUPUZEMRHDROEO-UHFFFAOYSA-N,WUPUZEMRHDROEO-UHFFFAOYSA-N,WUPUZEMRHDROEO,WUPUZEMRHDROEO,,WUPUZEMRHDROEO,1,B003,3,c1ccc(Nc2ncnc3ccccc23)cc1,4,B003,resolved_structure_butina
105,PDGF Receptor Tyrosine Kinase Inhibitor II,249762-74-1,True,5330548,CCCC(=O)OC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC4=CC=CC=C4N3,CZDUJGOCEPWCNA-UHFFFAOYSA-N,CZDUJGOCEPWCNA-UHFFFAOYSA-N,CZDUJGOCEPWCNA,CZDUJGOCEPWCNA,,CZDUJGOCEPWCNA,1,B066,1,O=C(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,2,B066,resolved_structure_butina
106,PDGF Receptor Tyrosine Kinase Inhibitor III,205254-94-0,True,10907042,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5)OC,INTPTKHSGKBHHW-UHFFFAOYSA-N,INTPTKHSGKBHHW-UHFFFAOYSA-N,INTPTKHSGKBHHW,INTPTKHSGKBHHW,,INTPTKHSGKBHHW,1,B007,2,O=C(Nc1ccc(Oc2ccccc2)cc1)N1CCN(c2ncnc3ccccc23)CC1,1,B007,resolved_structure_butina
107,PDGF Receptor Tyrosine Kinase Inhibitor IV,627518-40-5,True,9797370,COC1=C(C=C2C(=C1)CC3=C2NN=C3NC4=CC(=CC=C4)F)OC,ZDNURMVOKAERHZ-UHFFFAOYSA-N,ZDNURMVOKAERHZ-UHFFFAOYSA-N,ZDNURMVOKAERHZ,ZDNURMVOKAERHZ,,ZDNURMVOKAERHZ,1,B065,1,c1ccc(Nc2n[nH]c3c2Cc2ccccc2-3)cc1,1,B065,resolved_structure_butina
108,PDGF RTK Inhibitor,347155-76-4,True,11554659,CC1=CC=CC=C1C(=O)NC(=S)NC2=CC=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,ZXGIBSBJQLLUEE,ZXGIBSBJQLLUEE,,ZXGIBSBJQLLUEE,1,B064,1,O=C(NC(=S)Nc1ccc(Oc2ccnc3ccccc23)cc1)c1ccccc1,1,B064,resolved_structure_butina
109,PDK1/Akt/Flt Dual Pathway Inhibitor,331253-86-2,True,5113385,C1=CC=C2C(=C1)C3=NC4=NN=NN4N=C3C2=O,DPANHMGWPXVBQI-UHFFFAOYSA-N,DPANHMGWPXVBQI-UHFFFAOYSA-N,DPANHMGWPXVBQI,DPANHMGWPXVBQI,,DPANHMGWPXVBQI,1,B063,1,O=C1c2ccccc2-c2nc3nnnn3nc21,1,B063,resolved_structure_butina
110,PKR Inhibitor,608512-97-6,True,6490494,C1=CC2=C(C\3=C1NC(=O)/C3=C\C4=CN=CN4)SC=N2,VFBGXTUGODTSPK-BAQGIRSFSA-N,VFBGXTUGODTSPK-BAQGIRSFSA-N,VFBGXTUGODTSPK,VFBGXTUGODTSPK,,VFBGXTUGODTSPK,1,B062,1,O=C1Nc2ccc3ncsc3c2C1=Cc1cnc[nH]1,1,B062,resolved_structure_butina
