panel,workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,exact_full_standard_inchikey_overlap,connectivity_overlap,connectivity_only_overlap,conservative_de_leakage_connectivity_overlap,matching_full_rows,matching_connectivity_rows,matching_conservative_de_leakage_rows
DOCKSTRING,81,JAK3 Inhibitor VI,856436-16-3,True,False,,,False,False,False,True,,,2100;104913
DOCKSTRING,82,JNK Inhibitor V,345987-15-7,True,True,RCYPVQCPYKNSTG-UHFFFAOYSA-N,RCYPVQCPYKNSTG,True,True,False,True,378,378,378
DOCKSTRING,83,JNK Inhibitor VIII,894804-07-0,True,True,KQMPRSZTUSSXND-UHFFFAOYSA-N,KQMPRSZTUSSXND,True,True,False,True,267,267,267
DOCKSTRING,84,JNK Inhibitor IX,312917-14-9,True,True,WQGDQGAFSDMBLA-UHFFFAOYSA-N,WQGDQGAFSDMBLA,True,True,False,True,286,286,286
DOCKSTRING,85,"K-252a, Nocardiopsis sp.",97161-97-2,True,False,,,False,False,False,True,,,13621;110279;110280
DOCKSTRING,86,Kenpaullone,142273-20-9,True,True,QQUXFYAWXPMDOE-UHFFFAOYSA-N,QQUXFYAWXPMDOE,True,True,False,True,24,24,24
DOCKSTRING,87,KN-62,127191-97-3,True,True,RJVLFQBBRSMWHX-DHUJRADRSA-N,RJVLFQBBRSMWHX,True,True,False,True,17,17;189250,17;189250
DOCKSTRING,88,KN-93,139298-40-1,True,False,,,False,False,False,True,,,148;135373
DOCKSTRING,89,Lck Inhibitor,213743-31-8,True,False,,,False,False,False,True,,,26;19367
DOCKSTRING,90,LY 294002,154447-36-6,True,True,CZQHHVNHHHRRDU-UHFFFAOYSA-N,CZQHHVNHHHRRDU,True,True,False,True,38,38,38
DOCKSTRING,91,LY 303511- Negative control,154447-38-8,True,True,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,NGAGMBNBKCDCDJ,True,True,False,True,167,167,167
DOCKSTRING,92,MEK Inhibitor I,297744-42-4,True,True,NHBMKTBZZSJUGA-HEHNFIMWSA-N,NHBMKTBZZSJUGA,True,True,False,True,90925,90925,90925
DOCKSTRING,93,MEK Inhibitor II,623163-52-0,True,True,GYQSWJNGTWVFOL-UHFFFAOYSA-N,GYQSWJNGTWVFOL,False,False,False,False,,,
DOCKSTRING,94,MEK1/2 Inhibitor,305350-87-2,True,True,JLOXTZFYJNCPIS-UHFFFAOYSA-N,JLOXTZFYJNCPIS,False,False,False,False,,,
DOCKSTRING,95,Met Kinase Inhibitor,658084-23-2,True,True,FPYJSJDOHRDAMT-KQWNVCNZSA-N,FPYJSJDOHRDAMT,True,True,False,True,24871,24871,24871
DOCKSTRING,96,MNK1 Inhibitor,522629-08-9,True,True,UQPMANVRZYYQMD-UHFFFAOYSA-N,UQPMANVRZYYQMD,True,True,False,True,326,326,326
DOCKSTRING,97,MK2a Inhibitor,41179-33-3,True,True,ODYAQBDIXCVKAE-UHFFFAOYSA-N,ODYAQBDIXCVKAE,True,True,False,True,81,81,81
DOCKSTRING,98,NF-kB Activation Inhibitor,545380-34-5,True,True,IBAKVEUZKHOWNG-UHFFFAOYSA-N,IBAKVEUZKHOWNG,True,True,False,True,359,359,359
DOCKSTRING,99,p38 MAP Kinase Inhibitor III,581098-48-8,True,False,,,False,False,False,True,,,118;63580;63582;63583;63584
DOCKSTRING,100,p38 MAP Kinase Inhibitor,219138-24-6,True,True,DZFBYHUKZSRPHU-UHFFFAOYSA-N,DZFBYHUKZSRPHU,False,False,False,False,,,
DOCKSTRING,101,PD 98059,167869-21-8,True,True,QFWCYNPOPKQOKV-UHFFFAOYSA-N,QFWCYNPOPKQOKV,True,True,False,True,48,48,48
DOCKSTRING,102,PD 169316,152121-53-4,True,True,BGIYKDUASORTBB-UHFFFAOYSA-N,BGIYKDUASORTBB,True,True,False,True,72,72,72
DOCKSTRING,103,PD 158780,171179-06-9,True,True,KFHMLBXBRCITHF-UHFFFAOYSA-N,KFHMLBXBRCITHF,True,True,False,True,128,128,128
DOCKSTRING,104,PD 174265,216163-53-0,True,True,WUPUZEMRHDROEO-UHFFFAOYSA-N,WUPUZEMRHDROEO,True,True,False,True,368,368,368
DOCKSTRING,105,PDGF Receptor Tyrosine Kinase Inhibitor II,249762-74-1,True,True,CZDUJGOCEPWCNA-UHFFFAOYSA-N,CZDUJGOCEPWCNA,True,True,False,True,340,340,340
DOCKSTRING,106,PDGF Receptor Tyrosine Kinase Inhibitor III,205254-94-0,True,True,INTPTKHSGKBHHW-UHFFFAOYSA-N,INTPTKHSGKBHHW,True,True,False,True,703,703,703
DOCKSTRING,107,PDGF Receptor Tyrosine Kinase Inhibitor IV,627518-40-5,True,True,ZDNURMVOKAERHZ-UHFFFAOYSA-N,ZDNURMVOKAERHZ,True,True,False,True,1943;22053,1943;22053,1943;22053
DOCKSTRING,108,PDGF RTK Inhibitor,347155-76-4,True,True,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,ZXGIBSBJQLLUEE,True,True,False,True,3317,3317,3317
DOCKSTRING,109,PDK1/Akt/Flt Dual Pathway Inhibitor,331253-86-2,True,True,DPANHMGWPXVBQI-UHFFFAOYSA-N,DPANHMGWPXVBQI,True,True,False,True,386,386,386
DOCKSTRING,110,PKR Inhibitor,608512-97-6,True,True,VFBGXTUGODTSPK-BAQGIRSFSA-N,VFBGXTUGODTSPK,False,False,False,False,,,
DOCKSTRING,111,"PKR Inhibitor, Negative Control",852547-30-9,True,False,,,False,False,False,True,,,1953
DOCKSTRING,112,PI-103,371935-74-9,True,True,TUVCWJQQGGETHL-UHFFFAOYSA-N,TUVCWJQQGGETHL,True,True,False,True,227,227,227
DOCKSTRING,113,PI 3-Kg Inhibitor,648450-29-7,True,False,,,False,False,False,True,,,456
DOCKSTRING,114,PI 3-Kg Inhibitor II,648449-76-7,True,True,SRLVNYDXMUGOFI-YWEYNIOJSA-N,SRLVNYDXMUGOFI,True,True,False,True,213,213,213
DOCKSTRING,115,PP3,5334-30-5,True,True,KKDPIZPUTYIBFX-UHFFFAOYSA-N,KKDPIZPUTYIBFX,True,True,False,True,5,5,5
DOCKSTRING,116,"PP1 Analog II, 1NM-PP1",221244-14-0,True,True,GDQXJQSQYMMKRA-UHFFFAOYSA-N,GDQXJQSQYMMKRA,True,True,False,True,60,60,60
DOCKSTRING,117,"Staurosporine, N-benzoyl-",120685-11-2,True,True,BMGQWWVMWDBQGC-IIFHNQTCSA-N,BMGQWWVMWDBQGC,True,True,False,True,413,413;36874,413;36874
DOCKSTRING,118,PKCbII/EGFR Inhibitor,145915-60-2,True,True,RONQPWQYDRPRGG-UHFFFAOYSA-N,RONQPWQYDRPRGG,True,True,False,True,153,153,153
DOCKSTRING,119,PKCb Inhibitor,257879-35-9,True,True,KIWODJBCHRADND-UHFFFAOYSA-N,KIWODJBCHRADND,False,False,False,False,,,
DOCKSTRING,120,Purvalanol A,212844-53-6,True,True,PMXCMJLOPOFPBT-HNNXBMFYSA-N,PMXCMJLOPOFPBT,True,True,False,True,47,47,47
DOCKSTRING,121,Rapamycin,53123-88-9,True,True,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QFJCIRLUMZQUOT,False,False,False,False,,,
DOCKSTRING,122,"Rho Kinase Inhibitor III, Rockout",7272-84-6,True,True,LLJRXVHJOJRCSM-UHFFFAOYSA-N,LLJRXVHJOJRCSM,True,True,False,True,4,4,4
DOCKSTRING,123,Rho Kinase Inhibitor IV,913844-45-8,True,True,CMKMGFAUKPAOMG-AWEZNQCLSA-N,CMKMGFAUKPAOMG,False,True,True,True,,450,450
DOCKSTRING,124,Ro-32-0432,151342-35-7,True,True,FXGHOAZJQNLNFD-KRWDZBQOSA-N,FXGHOAZJQNLNFD,False,False,False,False,,,
DOCKSTRING,125,SB 202474,172747-50-1,False,True,MYKGURNPAUBQLJ-UHFFFAOYSA-N,MYKGURNPAUBQLJ,True,True,False,True,466,466,466
DOCKSTRING,126,SB 202190,152121-30-7,True,True,QHKYPYXTTXKZST-UHFFFAOYSA-N,QHKYPYXTTXKZST,True,True,False,True,115,115,115
