repetition,random_equal_n_residual_pr,random_minus_full_primary_residual_pr,complete_case_minus_random_residual_pr
215,9.4224474934807816,0.11953555076432743,4.5477478215114822
216,9.4008810416757083,0.097969098959254097,4.5693142733165555
217,9.1676985127082009,-0.13521343000825325,4.8024968022840628
218,9.2668466921476469,-0.036065250568807272,4.7033486228446169
219,9.1738745025400945,-0.12903744017635965,4.7963208124521692
220,9.3544057726780849,0.051493829961630766,4.6157895423141788
221,9.2542332102262428,-0.048678732490211374,4.715962104766021
222,9.3716845087183795,0.068772566001925384,4.5985108062738842
223,9.2575704831255266,-0.045341459590927613,4.7126248318667372
224,9.3363162965845046,0.033404353868050407,4.6338790184077592
225,9.4439392032302827,0.14102726051382852,4.5262561117619811
226,9.3676545773457445,0.064742634629290308,4.6025407376465193
227,9.3531407953254355,0.050228852608981356,4.6170545196668282
228,9.3617099882967221,0.05879804558026791,4.6084853266955417
229,9.4182758818449894,0.11536393912853526,4.5519194331472743
230,9.2735667730014644,-0.029345169714989794,4.6966285419907994
231,9.3257393040173167,0.022827361300862492,4.6444560109749471
232,9.2523892210984275,-0.050522721618026623,4.7178060938938362
233,9.2600002104348302,-0.042911732281623927,4.7101951045574335
234,9.2954189882944505,-0.0074929544220037059,4.6747763266978133
235,9.3949089666523058,0.09199702393585163,4.575286348339958
236,9.1734019496950658,-0.12950999302138833,4.7967933652971979
237,9.2324174826947871,-0.070494460021667038,4.7377778322974766
238,9.3013692280035425,-0.0015427147129116747,4.6688260869887213
239,9.4063373500564058,0.10342540733995165,4.5638579649358579
240,9.396883412379621,0.093971469663166829,4.5733119026126428
241,9.237693105090985,-0.065218837625469206,4.7325022099012788
242,9.2659727867976773,-0.036939155918776834,4.7042225281945864
243,9.3833568642031224,0.080444921486668264,4.5868384507891413
244,9.3567396958925819,0.053827753176127757,4.6134556190996818
245,9.1776873769267038,-0.12522456578975039,4.79250793806556
246,9.3740041416010822,0.071092198884628033,4.5961911733911816
247,9.2595651308608353,-0.043346811855618839,4.7106301841314284
248,9.3330885590440715,0.030176616327617367,4.6371067559481922
249,9.2688021110394185,-0.034109831677035629,4.7013932039528452
250,9.1762974354135647,-0.12661450730288948,4.7938978795786991
251,9.2877638005272392,-0.015148142189215008,4.6824315144650246
252,9.3974149906186888,0.094503047902234627,4.572780324373575
253,9.3036228267335748,0.00071088401712060545,4.666572488258689
254,9.3102652205517966,0.0073532778353424533,4.6599300944404671
255,9.2529121999983115,-0.04999974271814267,4.7172831149939523
256,9.3839576960024083,0.081045753285954092,4.5862376189898555
257,9.3425024226854418,0.03959047996898768,4.6276928923068219
258,9.3403441193919239,0.037432176675469719,4.6298511956003399
259,9.2081645187942431,-0.094747423922211027,4.7620307961980206
260,9.184177506721122,-0.11873443599533218,4.7860178082711418
261,9.4765529739578191,0.17364103124136498,4.4936423410344446
262,9.2538559582341247,-0.049055984482329507,4.7163393567581391
263,9.2282523537730459,-0.074659588943408295,4.7419429612192179
264,9.2439310159926436,-0.058980926723810612,4.7262642989996202
265,9.2076550762496776,-0.095256866466776557,4.7625402387425861
266,9.3027436905864533,-0.00016825213000082329,4.6674516244058104
267,9.3757242214743162,0.072812278757862003,4.5944710935179476
268,9.3338891236194552,0.030977180903001056,4.6363061913728085
269,9.3905240450969636,0.087612102380509427,4.5796712698953002
270,9.2197253802221333,-0.083186562494320881,4.7504699347701305
271,9.1719754547195542,-0.13093648799689994,4.7982198602727095
272,9.4160011068742921,0.11308916415783798,4.5541942081179716
273,9.3352594205246522,0.032347477808198022,4.6349358944676116
274,9.2762196497687164,-0.026692292947737783,4.6939756652235474
275,9.3425902054679764,0.039678262751522198,4.6276051095242874
276,9.3357690358772629,0.032857093160808759,4.6344262791150008
277,9.4942390364492546,0.19132709373280044,4.4759562785430091
278,9.2174723685154536,-0.085439574201000568,4.7527229464768102
279,9.2578628101580769,-0.045049132558377281,4.7123325048341869
280,9.3127485733312394,0.0098366306147852356,4.6574467416610243
281,9.3324050059962378,0.029493063279783627,4.637790308996026
282,9.2655139548429659,-0.037397987873488248,4.7046813601492978
283,9.1904751499109771,-0.11243679280547703,4.7797201650812866
284,9.4353563512335903,0.13244440851713613,4.5348389637586735
285,9.2430223367995819,-0.059889605916872313,4.7271729781926819
286,9.1972790214233484,-0.10563292129310575,4.7729162935689153
287,9.3876752305275009,0.084763287811046695,4.5825200844647629
288,9.331215875743629,0.028303933027174821,4.6389794392486348
289,9.3231423450339577,0.020230402317503504,4.6470529699583061
290,9.3759704045697063,0.073058461853252155,4.5942249104225574
291,9.3894288188739914,0.086516876157537226,4.5807664961182724
292,9.2416415405739034,-0.061270402142550751,4.7285537744183603
293,9.2698813023911359,-0.033030640325318217,4.7003140126011278
294,9.2364086125338432,-0.066503330182611009,4.7337867024584206
295,9.2743113914468509,-0.028600551269603258,4.6958839235454128
296,9.3172434898083676,0.014331547091913421,4.6529518251838962
297,9.3768188581626859,0.073906915446231736,4.5933764568295778
298,9.4136478465517026,0.11073590383524845,4.5565474684405611
299,9.3593269149616578,0.056414972245203643,4.6108684000306059
300,9.2818073592630803,-0.021104583453373849,4.6883879557291834
301,9.3791179198994143,0.076205977182960183,4.5910773950928494
302,9.4196859129162203,0.1167739701997661,4.5505094020760435
303,9.286169338977361,-0.016742603739093198,4.6840259760149028
304,9.230279393197085,-0.072632549519369149,4.7399159217951787
305,9.2668807704632545,-0.036031172253199628,4.7033145445290092
306,9.2906095693480619,-0.012302373368392239,4.6795857456442018
307,9.306423058145894,0.0035111154294398261,4.6637722568463698
308,9.3158976219831864,0.01298567926673222,4.6542976930090774
309,9.3527419173731356,0.049829974656681486,4.6174533976191281
310,9.3172871730687579,0.014375230352303703,4.6529081419235059
311,9.3557621844436909,0.052850241727236735,4.6144331305485728
312,9.3127617480446219,0.0098498053281677045,4.6574335669476419
313,9.2292433416962911,-0.073668601020163038,4.7409519732959726
314,9.338174673193901,0.03526273047744688,4.6320206417983627
315,9.3593205723863164,0.056408629669862265,4.6108747426059473
316,9.2575698302015361,-0.045342112514918043,4.7126254847907276
317,9.3895807897108909,0.086668846994436777,4.5806145252813728
318,9.1047074759953777,-0.1982044667210765,4.8654878389968861
319,9.3378679116540635,0.034955968937609327,4.6323274033382003
320,9.2457654212657729,-0.05714652145068122,4.7244298937264908
321,9.3116533147651097,0.0087413720486555491,4.658542000227154
322,9.2300013653167046,-0.072910577399749599,4.7401939496755592
323,9.2827279423352014,-0.020184000381252787,4.6874673726570624
324,9.3017804701281328,-0.0011314725883213583,4.6684148448641309
325,9.2827450214074254,-0.020166921309028751,4.6874502935848383
326,9.2206446722004181,-0.082267270516036106,4.7495506427918457
327,9.2356791494745227,-0.067232793241931432,4.734516165517741
328,9.401245652692479,0.098333709976024863,4.5689496622997847
329,9.327428748250286,0.024516805533831842,4.6427665667419777
330,9.2168476120634164,-0.086064330653037757,4.7533477029288473
331,9.3537766671519158,0.050864724435461639,4.6164186478403479
332,9.3666676536915556,0.063755710975101465,4.6035276613007081
333,9.261966668651695,-0.040945274064759118,4.7082286463405687
334,9.2723351081985186,-0.03057683451793558,4.6978602067937452
335,9.3532327702153797,0.050320827498925524,4.6169625447768841
336,9.2904824307685487,-0.012429511947905425,4.679712884223715
337,9.2905192474615266,-0.012392695254927588,4.6796760675307372
338,9.2525931913567465,-0.050318751359707647,4.7176021236355172
339,9.2900729996267017,-0.012838943089752419,4.680122315365562
340,9.2484800617116552,-0.05443188100479901,4.7217152532806086
341,9.2784075813489437,-0.024504361367510441,4.69178773364332
342,9.165231117675166,-0.1376808250412882,4.8049641973170978
343,9.3489283209494243,0.046016378232970112,4.6212669940428395
344,9.3156288832999525,0.012716940583498371,4.6545664316923112
345,9.2039702103989036,-0.098941732317550546,4.7662251045933601
346,9.3911880784813686,0.088276135764914443,4.5790072365108951
347,9.2800106879309059,-0.022901254785548275,4.6901846270613579
348,9.3506104985675407,0.04769855585108651,4.6195848164247231
349,9.2992050409501541,-0.0037069017663000636,4.6709902740421096
350,9.2198145814982109,-0.083097361218243293,4.7503807334940529
351,9.3343959514974291,0.031484008780974904,4.6357993634948347
352,9.317834397310504,0.014922454594049839,4.6523609176817597
353,9.3879186285480607,0.085006685831606532,4.5822766864442031
354,9.2456061651338324,-0.057305777582621786,4.7245891498584314
355,9.2824669400095967,-0.020445002706857451,4.687728374982667
356,9.2841898604480253,-0.018722082268428863,4.6860054545442384
357,9.1993658274777843,-0.10354611523866986,4.7708294875144794
358,9.3936424990586378,0.090730556342183633,4.576552815933626
359,9.1273605328217471,-0.17555140989470708,4.8428347821705167
360,9.1991967247130937,-0.10371521800336048,4.7709985902791701
361,9.2425936145324368,-0.060318328184017389,4.727601700459827
362,9.3625919840973584,0.059680041380904214,4.6076033308949054
363,9.2241712845636599,-0.078740658152794296,4.7460240304286039
364,9.2015126042865685,-0.10139933842988569,4.7686827107056953
365,9.262814984658986,-0.040096958057468157,4.7073803303332777
366,9.1361711984557967,-0.16674074426065744,4.834024116536467
367,9.2939149651556239,-0.0089969775608302882,4.6762803498366399
368,9.2217683772664465,-0.081143565450007671,4.7484269377258173
369,9.2859516843069461,-0.0169602584095081,4.6842436306853177
370,9.3070732530320619,0.0041613103156077358,4.6631220619602018
371,9.3144260078069401,0.011514065090485914,4.6557693071853237
372,9.1861794977369104,-0.11673244497954371,4.7840158172553533
373,9.3461919582811106,0.043280015564656438,4.6240033567111531
374,9.2571285528253728,-0.045783389891081328,4.7130667621668909
375,9.2925352836610102,-0.010376659055443938,4.6776600313312535
376,9.3491032879859688,0.046191345269514628,4.621092027006295
377,9.3030859098188365,0.00017396710238237745,4.6671094051734272
378,9.3242872477585337,0.021375305042079518,4.6459080672337301
379,9.1378336374296847,-0.16507830528676948,4.8323616775625791
380,9.4641691472507627,0.16125720453430858,4.506026167741501
