dataset,fold,pilot_ligands,surface,training_outcome,random_panels,common_omitted_targets_min,common_omitted_targets_max,designed_benefit_mean_r2_random_median,designed_benefit_mean_r2_fraction_positive,designed_benefit_median_r2_random_median,designed_benefit_median_r2_fraction_positive,designed_benefit_mean_rmse_random_median,designed_benefit_mean_rmse_fraction_positive,designed_benefit_median_rmse_random_median,designed_benefit_median_rmse_fraction_positive,designed_benefit_mean_pearson_random_median,designed_benefit_mean_pearson_fraction_positive,designed_benefit_median_pearson_random_median,designed_benefit_median_pearson_fraction_positive,designed_benefit_mean_spearman_random_median,designed_benefit_mean_spearman_fraction_positive,designed_benefit_median_spearman_random_median,designed_benefit_median_spearman_fraction_positive,designed_benefit_mean_equal_budget_lower_5pct_overlap_random_median,designed_benefit_mean_equal_budget_lower_5pct_overlap_fraction_positive,designed_benefit_median_equal_budget_lower_5pct_overlap_random_median,designed_benefit_median_equal_budget_lower_5pct_overlap_fraction_positive
Docking-44,1,500,raw,raw_outcome,3,29,30,0.0023564489353855578,0.66666666666666663,-0.0040504777717507157,0,-0.00097137180916082033,0.33333333333333331,0.0050165645293608063,1,0.00081960095731781202,0.66666666666666663,-0.0015900747828343498,0.33333333333333331,-0.0045745651351294381,0,-0.015661483268094023,0,0.0083789880760553048,1,0.018691588785046731,0.66666666666666663
Docking-44,1,500,raw_row_centered_residual,raw_then_derived_residual,3,29,30,0.027808714791899669,1,0.053379713231672898,1,0.013621527765814934,1,0.0040972329620611037,0.66666666666666663,0.032816971234724712,1,0.040653498467470905,1,0.031241003596487182,1,0.044577358744038287,0.66666666666666663,0.0074766355140187257,1,0.018691588785046731,1
Docking-44,2,500,raw,raw_outcome,3,29,30,0.0058371075153120788,1,0.0029856956630658349,1,0.0080910259731646894,1,0.006525435425886017,1,0.0032228996876768612,1,0.0015724415207922782,1,0.0030915455470273967,1,0.0039121277499458706,1,0.022097378277153412,1,0.033707865168539408,1
Docking-44,2,500,raw_row_centered_residual,raw_then_derived_residual,3,29,30,0.062637285036785145,1,0.06576935418133445,1,0.037446867866009592,1,0.02931971236756381,1,0.06432893265042483,1,0.075914511803330309,1,0.065489263483003601,1,0.089150394434481361,1,0.028838951310861449,1,0.028089887640449451,1
Docking-44,3,500,raw,raw_outcome,3,29,30,0.0043944247856892993,1,0.004212339910427354,1,0.0031550200561391017,1,0.0090366124595282482,1,0.0034526614897786301,1,0.00163717883702863,1,0.002581780135586631,0.66666666666666663,0.00092443082860105275,0.66666666666666663,0.021551724137930939,1,0.045454545454545525,1
Docking-44,3,500,raw_row_centered_residual,raw_then_derived_residual,3,29,30,0.035938474385030617,1,0.064704920524251031,0.66666666666666663,0.023448381521572692,1,0.01639369114425393,1,0.035729558400905748,1,0.034848010015235076,0.66666666666666663,0.038516782800409655,1,0.077245949037461958,1,0.019200626959247624,1,0.034090909090909088,1
Docking-44,4,500,raw,raw_outcome,3,28,29,0.00077946606204182256,0.66666666666666663,-0.00010139013390619844,0.33333333333333331,-0.00093197179485304815,0.33333333333333331,0.0081101823603666467,0.66666666666666663,0.00037564410951784755,0.66666666666666663,-1.774916442953689e-05,0.33333333333333331,-0.00012184669262349512,0.33333333333333331,-0.00035083929562707006,0.33333333333333331,0.0042701863354037695,1,0.010869565217391242,1
Docking-44,4,500,raw_row_centered_residual,raw_then_derived_residual,3,28,29,0.033888333805465076,1,0.04440217379591177,1,0.020805870016047168,1,0.017311501329452361,1,0.032799593448246733,1,0.042906665246653208,1,0.03628163359221992,1,0.034436309545053501,1,0.0052473763118440209,0.66666666666666663,0.02173913043478265,1
Docking-44,5,500,raw,raw_outcome,3,28,29,0.00753304467195548,1,-0.0017011084923075348,0.33333333333333331,0.0063709031099846714,1,0.0029149483377960417,0.66666666666666663,0.0055608632537774705,1,-0.0023232486107752637,0.33333333333333331,0.0063173263239445498,1,0.0036943853060548149,1,-0.0086206896551722645,0.33333333333333331,-0.010869565217391242,0.33333333333333331
Docking-44,5,500,raw_row_centered_residual,raw_then_derived_residual,3,28,29,0.051189701861986459,1,0.010277046215797836,0.66666666666666663,0.029751866188071907,1,0.015708930909676511,0.66666666666666663,0.051947674675323297,1,0.0072271257632476882,0.66666666666666663,0.055725686207604375,1,0.030174061841002797,0.66666666666666663,0.016866566716641662,1,0,0.33333333333333331
