dataset,fold,pilot_ligands,surface,training_outcome,random_panel_draw,common_omitted_targets,total_targets,designed_panel_indices,random_panel_indices,designed_mean_r2,random_mean_r2,designed_minus_random_mean_r2,designed_benefit_mean_r2,designed_median_r2,random_median_r2,designed_minus_random_median_r2,designed_benefit_median_r2,designed_mean_rmse,random_mean_rmse,designed_minus_random_mean_rmse,designed_benefit_mean_rmse,designed_median_rmse,random_median_rmse,designed_minus_random_median_rmse,designed_benefit_median_rmse,designed_mean_pearson,random_mean_pearson,designed_minus_random_mean_pearson,designed_benefit_mean_pearson,designed_median_pearson,random_median_pearson,designed_minus_random_median_pearson,designed_benefit_median_pearson,designed_mean_spearman,random_mean_spearman,designed_minus_random_mean_spearman,designed_benefit_mean_spearman,designed_median_spearman,random_median_spearman,designed_minus_random_median_spearman,designed_benefit_median_spearman,designed_mean_equal_budget_lower_5pct_overlap,random_mean_equal_budget_lower_5pct_overlap,designed_minus_random_mean_equal_budget_lower_5pct_overlap,designed_benefit_mean_equal_budget_lower_5pct_overlap,designed_median_equal_budget_lower_5pct_overlap,random_median_equal_budget_lower_5pct_overlap,designed_minus_random_median_equal_budget_lower_5pct_overlap,designed_benefit_median_equal_budget_lower_5pct_overlap
DOCKSTRING-58,2,500,raw_row_centered_residual,raw_then_derived_residual,1,42,58,6|7|9|17|21|24|26|57,0|1|8|11|14|29|37|56,0.20709178151904986,0.17551219511632613,0.031579586402723736,0.031579586402723736,0.20688543431345829,0.15179935456088905,0.055086079752569239,0.055086079752569239,0.88785710299197462,0.90644467974114884,-0.018587576749174217,0.018587576749174217,0.90773957021498541,0.92331145262536063,-0.015571882410375215,0.015571882410375215,0.44076723258717249,0.40537559857990774,0.03539163400726475,0.03539163400726475,0.46257915715213505,0.39175910933501412,0.070820047817120924,0.070820047817120924,0.43461450817372904,0.39839473266971509,0.036219775504013951,0.036219775504013951,0.45838016712334029,0.37694005868528385,0.081440108438056436,0.081440108438056436,0.21444444444444447,0.19460317460317461,0.019841269841269854,0.019841269841269854,0.21333333333333335,0.21666666666666667,-0.003333333333333327,-0.003333333333333327
DOCKSTRING-58,2,500,raw_row_centered_residual,raw_then_derived_residual,2,42,58,6|7|9|17|21|24|26|57,0|3|13|25|35|45|47|55,0.2095481791484963,0.18474298988550544,0.024805189262990857,0.024805189262990857,0.19646648050890825,0.16947845111620269,0.026988029392705559,0.026988029392705559,0.88674462319349501,0.90139476899624582,-0.014650145802750814,0.014650145802750814,0.90438323679420884,0.90462428538225192,-0.00024104858804308016,0.00024104858804308016,0.44487402558332467,0.41672181874870762,0.028152206834617055,0.028152206834617055,0.4464348009079272,0.41680106454776444,0.029633736360162755,0.029633736360162755,0.44227111923166407,0.40451203951933568,0.037759079712328392,0.037759079712328392,0.45838016712334029,0.39967277289670111,0.058707394226639176,0.058707394226639176,0.21285714285714286,0.20825396825396825,0.004603174603174609,0.004603174603174609,0.21000000000000002,0.22666666666666666,-0.016666666666666635,-0.016666666666666635
DOCKSTRING-58,3,500,raw,raw_outcome,0,42,58,6|7|11|20|21|31|49|57,0|2|8|19|28|35|42|43,0.70207537324813962,0.69311673417225705,0.0089586390758825685,0.0089586390758825685,0.74625990658088859,0.73341533046170837,0.012844576119180218,0.012844576119180218,0.56930204659366068,0.57651855261010532,-0.0072165060164446349,0.0072165060164446349,0.53672697670422176,0.5461023492108934,-0.009375372506671642,0.009375372506671642,0.83483005920995723,0.82747550830061523,0.0073545509093420058,0.0073545509093420058,0.86412850543239483,0.8573687602854696,0.0067597451469252334,0.0067597451469252334,0.82278947863962226,0.81274222882577196,0.010047249813850301,0.010047249813850301,0.85116358525869229,0.84228991137837816,0.0088736738803141257,0.0088736738803141257,0.48142857142857143,0.48587301587301585,-0.0044444444444444176,-0.0044444444444444176,0.49333333333333335,0.50333333333333341,-0.010000000000000064,-0.010000000000000064
DOCKSTRING-58,3,500,raw,raw_outcome,1,43,58,6|7|11|20|21|31|49|57,0|3|4|26|32|36|37|49,0.69155832338942325,0.68268735907755629,0.0088709643118669579,0.0088709643118669579,0.73001788109591137,0.7359497108555344,-0.0059318297596230307,-0.0059318297596230307,0.57983166999383262,0.58447367592284472,-0.0046420059290120941,0.0046420059290120941,0.54698959173729855,0.54133099587620692,0.0056585958610916309,-0.0056585958610916309,0.82812656765080028,0.81957881797578702,0.0085477496750132609,0.0085477496750132609,0.854470437016569,0.85894554965514092,-0.0044751126385719209,-0.0044751126385719209,0.81629634581981658,0.80744170224368894,0.008854643576127641,0.008854643576127641,0.83922605454716803,0.84562633674110832,-0.0064002821939402876,-0.0064002821939402876,0.47581395348837213,0.47178294573643409,0.0040310077519380427,0.0040310077519380427,0.49333333333333335,0.48666666666666669,0.0066666666666666541,0.0066666666666666541
DOCKSTRING-58,3,500,raw,raw_outcome,2,43,58,6|7|11|20|21|31|49|57,0|3|8|9|12|13|20|45,0.70205403794447874,0.69188883695477044,0.010165200989708301,0.010165200989708301,0.7452423292726853,0.74383472179889387,0.0014076074737914279,0.0014076074737914279,0.56961690347912874,0.57799654284475022,-0.0083796393656214718,0.0083796393656214718,0.53861203379057343,0.5321134068484048,0.0064986269421686282,-0.0064986269421686282,0.834808856100137,0.82728311666634835,0.0075257394337886474,0.0075257394337886474,0.86329752765119794,0.86295424752745853,0.00034328012373940897,0.00034328012373940897,0.82370755989191946,0.81500633341108808,0.0087012264808313811,0.0087012264808313811,0.8476553317446297,0.8496434898463554,-0.0019881581017257011,-0.0019881581017257011,0.48589147286821699,0.47813953488372091,0.0077519379844960823,0.0077519379844960823,0.5,0.5,0,0
DOCKSTRING-58,3,500,raw_row_centered_residual,raw_then_derived_residual,0,42,58,6|7|11|20|21|31|49|57,0|2|8|19|28|35|42|43,0.21030389446190859,0.16805365093035296,0.042250243531555626,0.042250243531555626,0.18980456454326877,0.13805803690015611,0.051746527643112661,0.051746527643112661,0.88442431057405235,0.90936963809835347,-0.02494532752430112,0.02494532752430112,0.89775978134065682,0.92260205596831413,-0.024842274627657313,0.024842274627657313,0.44311461405059399,0.39486907539145283,0.048245538659141163,0.048245538659141163,0.44563479919160659,0.38348044554913452,0.062154353642472071,0.062154353642472071,0.4454707486949519,0.37771227861804624,0.067758470076905664,0.067758470076905664,0.45215129974725521,0.37093217365018105,0.081219126097074157,0.081219126097074157,0.21079365079365081,0.213968253968254,-0.0031746031746031911,-0.0031746031746031911,0.22999999999999998,0.20333333333333334,0.026666666666666644,0.026666666666666644
DOCKSTRING-58,3,500,raw_row_centered_residual,raw_then_derived_residual,1,43,58,6|7|11|20|21|31|49|57,0|3|4|26|32|36|37|49,0.21223487255532505,0.14564622922395695,0.066588643331368103,0.066588643331368103,0.17459285862351781,0.1313056673183215,0.043287191305196315,0.043287191305196315,0.88647970090389339,0.92531242191243024,-0.038832721008536852,0.038832721008536852,0.90065485033889303,0.93194971109119196,-0.031294860752298925,0.031294860752298925,0.44391752690820613,0.37000127040719505,0.073916256501011079,0.073916256501011079,0.43088176639467834,0.36702178951158365,0.063859976883094693,0.063859976883094693,0.44145179660951328,0.36226736306516366,0.079184433544349619,0.079184433544349619,0.43095249985613915,0.35682555629664836,0.074126943559490788,0.074126943559490788,0.19875968992248064,0.17720930232558141,0.021550387596899229,0.021550387596899229,0.20666666666666667,0.17999999999999999,0.026666666666666672,0.026666666666666672
DOCKSTRING-58,3,500,raw_row_centered_residual,raw_then_derived_residual,2,43,58,6|7|11|20|21|31|49|57,0|3|8|9|12|13|20|45,0.21522604343796611,0.15531286190133353,0.059913181536632582,0.059913181536632582,0.17459285862351781,0.1229822384471273,0.051610620176390509,0.051610620176390509,0.8826326555592473,0.91734623224530587,-0.034713576686058567,0.034713576686058567,0.89861249803042498,0.92307589998579309,-0.024463401955368114,0.024463401955368114,0.44659916728638965,0.37458741971805726,0.072011747568332396,0.072011747568332396,0.42831136595641361,0.36483137245388259,0.063479993502531029,0.063479993502531029,0.44639067251928283,0.36878705809971835,0.077603614419564482,0.077603614419564482,0.4286762724464212,0.36440060046818606,0.064275671978235138,0.064275671978235138,0.202015503875969,0.17705426356589149,0.024961240310077515,0.024961240310077515,0.20666666666666667,0.17999999999999999,0.026666666666666672,0.026666666666666672
DOCKSTRING-58,4,500,raw,raw_outcome,0,43,58,7|9|20|25|31|33|43|57,0|1|5|41|52|55|56|57,0.70068261250177377,0.67755908955106858,0.023123522950705189,0.023123522950705189,0.71993050135921011,0.70918366004348643,0.010746841315723676,0.010746841315723676,0.5352757087492489,0.55688976847678051,-0.021614059727531609,0.021614059727531609,0.51664742500517313,0.53494029194877235,-0.018292866943599217,0.018292866943599217,0.83326241233919141,0.81805849574596856,0.015203916593222844,0.015203916593222844,0.84967439046806215,0.84319127104934821,0.006483119418713934,0.006483119418713934,0.82643714697122339,0.80759954977750925,0.01883759719371414,0.01883759719371414,0.84005921456095256,0.83562120613810786,0.004438008422844697,0.004438008422844697,0.49627906976744185,0.48155038759689922,0.014728682170542629,0.014728682170542629,0.52666666666666662,0.50666666666666671,0.019999999999999907,0.019999999999999907
DOCKSTRING-58,4,500,raw,raw_outcome,1,43,58,7|9|20|25|31|33|43|57,0|2|20|24|34|44|51|54,0.71538705332991315,0.68627491506622418,0.029112138263688969,0.029112138263688969,0.73268489350297139,0.71744972461819223,0.01523516888477916,0.01523516888477916,0.52489449669656407,0.55353986610066597,-0.028645369404101895,0.028645369404101895,0.50935302526425053,0.52138423986093552,-0.012031214596684991,0.012031214596684991,0.84358041647984405,0.82663291509993342,0.016947501379910634,0.016947501379910634,0.85615025344587758,0.84783350598979867,0.0083167474560789101,0.0083167474560789101,0.83480370137955728,0.8156692455668817,0.019134455812675588,0.019134455812675588,0.84535227704931182,0.83794063760162074,0.0074116394476910763,0.0074116394476910763,0.50651162790697679,0.47844961240310085,0.028062015503875937,0.028062015503875937,0.52000000000000002,0.47999999999999998,0.040000000000000036,0.040000000000000036
DOCKSTRING-58,4,500,raw,raw_outcome,2,43,58,7|9|20|25|31|33|43|57,0|3|9|21|32|42|45|54,0.68873246568213087,0.6615990761594418,0.027133389522689066,0.027133389522689066,0.71785314326700322,0.71175171866525833,0.0061014246017448981,0.0061014246017448981,0.54619821590416828,0.56704681407946433,-0.020848598175296051,0.020848598175296051,0.52093816514732783,0.53457254573261703,-0.013634380585289207,0.013634380585289207,0.82581798291949182,0.80493912930164946,0.020878853617842363,0.020878853617842363,0.84855705511836765,0.84644437640541681,0.002112678712950844,0.002112678712950844,0.81869379345175353,0.79689654645776375,0.021797246993989772,0.021797246993989772,0.83707787709042103,0.83496658305783389,0.002111294032587141,0.002111294032587141,0.48527131782945737,0.47162790697674412,0.013643410852713256,0.013643410852713256,0.52000000000000002,0.49333333333333335,0.026666666666666672,0.026666666666666672
