dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,ridge_alpha,pilot_gcv,variance_weighted_r2,pooled_rmse,median_target_pearson,median_ligand_profile_pearson,mean_ligand_profile_pearson
Docking-44,2,500,8,fixed_random_panel,2,0|2|18|21|23|28|31|40,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.86417346679044815,0.41441987956913473,0.95761468339301148,0.55927445083251115,0.39773656549596559
Docking-44,2,500,8,fixed_random_panel,2,0|2|18|21|23|28|31|40,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.14004003152953354,0.24353726008234933,0.88778077913711317,0.44260514462784162,0.47156958911392954,0.46429871840056863
Docking-44,2,500,8,fixed_random_panel,2,0|2|18|21|23|28|31|40,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.15594948783553819,0.93776967842005698,0.31671927174026626,0.35430254180963444,0.34758217724071405
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.10678260415984356,0.91009828971824946,0.35085921945523929,0.96302405919735423,0.48076065177998528,0.44954200722743221
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,raw_outcome,raw,selected_target_pc1,-1,-1,0.89033046835509166,0.38751802705485672,0.95732755459779573,0.37165158634927242,0.26562045392440981
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,10,0.10678260415984356,0.28347015814475662,0.93152668776443759,0.51474114113076597,0.49719782218168279,0.49294475822132933
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,raw_then_derived_residual,raw_row_centered_residual,selected_target_pc1,-1,-1,0.18330756139094084,0.99450604621251149,0.41779554646096617,0.35660137765382849,0.37178514732704443
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,direct_residual_outcome,raw_row_centered_residual,multivariate_ridge_gcv,10,0.71264446042759899,0.28349369348247755,0.93151138904696384,0.51460550068304478,0.49716897322683318,0.49293444707798417
Docking-44,3,500,8,pilot_residual_r2_exact_kmedoids,-1,10|11|14|16|20|29|33|35,8,36,direct_residual_outcome,raw_row_centered_residual,selected_target_pc1,-1,-1,0.14727923530421294,1.0162055905546736,0.31738819235871973,0.33423671307088887,0.34911985802903234
Docking-44,3,500,8,fixed_random_panel,0,0|1|3|14|15|22|31|34,8,36,raw_outcome,raw,multivariate_ridge_gcv,10,0.11449496242491894,0.90116424270735795,0.36864453600509867,0.96063219255848098,0.46337151995839848,0.43036777814177457
