dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,target_index,target,r2,rmse,pearson,spearman,equal_budget_lower_5pct_overlap,calibration_lower_5pct_threshold,calibration_threshold_true_count,calibration_threshold_predicted_count,calibration_threshold_true_positive
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,21,PTPN1,0.66077785961616908,0.61813830870719044,0.81461715055358808,0.80461487121627995,0.47333333333333333,-1.5697464652290107,272,104,69
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,22,ROCK1,0.78533573441820004,0.46401010047845187,0.8862438721705389,0.87598461329996025,0.56666666666666665,-1.5162620745287054,249,167,119
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,23,AKT1,0.79036884087195169,0.47970254576528948,0.88983133796374692,0.8880461703373429,0.52666666666666662,-1.5576366618308624,273,154,114
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,25,CDK2,0.80447212589756623,0.43313200218605641,0.89767490590218291,0.88708901197075896,0.59333333333333338,-1.5700963157963599,168,157,95
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,26,CSF1R,0.67472705046534875,0.55641233990000882,0.82215280069789798,0.80344151064206681,0.47999999999999998,-1.6487001809955706,184,85,52
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,27,ESR1,0.56940339281524954,0.6977257896660588,0.7563956225129953,0.74236984260405148,0.52000000000000002,-1.5769365936613562,282,57,47
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,28,NR3C1,0.44749847832066358,0.76803151190890506,0.66899859535880168,0.67343202958355841,0.32666666666666666,-1.4345144382046553,174,34,12
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,29,IGF1R,0.6786061941285757,0.56126229098388591,0.82503828436502191,0.80419031963925214,0.5,-1.6322832501596087,171,89,57
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,30,JAK2,0.74119791240759803,0.50562392126531974,0.86188645348106019,0.84869824707772112,0.48666666666666669,-1.6976159435096441,196,100,63
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,31,LCK,0.81068294384992523,0.42695457301377326,0.90088839755721184,0.89014011053764119,0.60666666666666669,-1.6730817184640969,183,131,89
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,32,MET,0.65129558500209583,0.58284984465605871,0.80816109612842157,0.79253822439944122,0.44,-1.5972454070244422,212,108,63
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,33,MMP13,0.69199034147412097,0.56616061326782086,0.8319171414388542,0.82127990671672602,0.54000000000000004,-1.6060361735760451,196,117,76
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,35,PPARA,0.66721957486279559,0.57424472608827382,0.81793416760237303,0.81523610002788416,0.51333333333333331,-1.5508783806404933,236,125,88
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,36,PPARG,0.71608203848462493,0.56244861131186541,0.84740550869159437,0.83607302380384385,0.49333333333333335,-1.6057178332364479,270,132,96
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,37,REN,0.79564279014649653,0.43053239158322476,0.8935194539293797,0.88674254320479218,0.54666666666666663,-1.5019946720810771,218,180,118
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,38,ADORA2A,0.72942973440676462,0.49812179446573374,0.85560271543468802,0.84503450865244933,0.41333333333333333,-1.6701650650633622,159,101,49
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,39,ACHE,0.55255785224944387,0.64730721535081737,0.7451149442906756,0.72640411854554698,0.42666666666666669,-1.7387939949999445,157,36,23
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,40,BACE1,0.75156713619481907,0.49021185477248369,0.86758484791481572,0.85911375161420966,0.51333333333333331,-1.5271114803661152,232,154,99
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_outcome,raw,multivariate_ridge_gcv,41,CA2,0.68301913251094171,0.57201725478585641,0.82659129271143306,0.80749297441050227,0.47333333333333333,-1.6330436276154672,202,89,59
