dataset,fold,pilot_ligands,panel_k,surface,comparison,metric,higher_is_better,pivoted_qr_value,residual_kmedoids_value,pivoted_qr_minus_residual_kmedoids
DOCKSTRING-58,5,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.744677263890646,0.7512694660428292,-0.006592202152183146
DOCKSTRING-58,5,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.32407811795676633,0.35062485115543596,-0.026546733198669625
DOCKSTRING-58,5,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7643054557269927,0.769061334362752,-0.004755878635759325
DOCKSTRING-58,5,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3523273654457293,0.39061071490996113,-0.03828334946423184
Docking-44,1,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7544798298358996,0.7258850561098482,0.028594773726051348
Docking-44,1,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.18128817143998732,0.16493151691424968,0.016356654525737646
Docking-44,1,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8147165236145675,0.7800064128865196,0.03471011072804786
Docking-44,1,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.23537899496567194,0.23884626236135897,-0.003467267395687035
Docking-44,1,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8470501037348184,0.8045822119460362,0.042467891788782186
Docking-44,1,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.2731931087054641,0.3109785076827256,-0.03778539897726152
Docking-44,1,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8693190229159742,0.8221460957764158,0.04717292713955834
Docking-44,1,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3193421685743092,0.34899435212359253,-0.02965218354928334
Docking-44,1,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8858833520262489,0.8349513618033307,0.050931990222918166
Docking-44,1,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3772280102719634,0.398104450234531,-0.020876439962567606
Docking-44,2,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8930646457715893,0.896174365260019,-0.003109719488429752
Docking-44,2,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.2810453498864979,0.2861262765610917,-0.005080926674593811
Docking-44,2,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9112191815643477,0.9103150022143036,0.0009041793500440543
Docking-44,2,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3165734149463547,0.3455532219232148,-0.02897980697686009
Docking-44,2,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9271872765444098,0.9183451429745196,0.008842133569890165
Docking-44,2,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3651513249617885,0.39443857694853046,-0.02928725198674198
Docking-44,2,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9400376586182008,0.9255760837526082,0.01446157486559252
Docking-44,2,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.412828178010996,0.4405068527370437,-0.02767867472604768
Docking-44,2,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9508025974392773,0.9323378550216387,0.018464742417638624
Docking-44,2,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.47356299073156904,0.48570174321039516,-0.01213875247882612
Docking-44,3,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.8974144871494043,0.8915178410691186,0.005896646080285728
Docking-44,3,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.28848385515992436,0.2894581445562777,-0.0009742893963533561
Docking-44,3,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9120165441854662,0.9112476232124538,0.0007689209730123991
Docking-44,3,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3133928466181203,0.3376166294134002,-0.024223782795279925
Docking-44,3,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9343376761675419,0.9264607752235934,0.00787690094394855
Docking-44,3,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.38568354019824325,0.3993584145332941,-0.01367487433505088
Docking-44,3,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.9428041913844444,0.9318387555764912,0.010965435807953172
Docking-44,3,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.4309314244168915,0.4426019149724104,-0.011670490555518942
