dataset,pilot_ligands,panel_k,surface,selector,folds,designed_minus_random_median_median,designed_minus_random_median_minimum,designed_minus_random_median_maximum,fraction_random_panels_no_worse_median,fraction_random_panels_no_worse_minimum,fraction_random_panels_no_worse_maximum,ridge_minus_selected_pc1_median,ridge_minus_selected_pc1_minimum,ridge_minus_selected_pc1_maximum,ridge_minus_descriptor_only_median,ridge_minus_descriptor_only_minimum,ridge_minus_descriptor_only_maximum
DOCKSTRING-58,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.03270878801410837,0.020934328577837613,0.037591841249084934,0.02,0.0,0.1,0.1344956341727831,0.12202632752579334,0.13847381897118116,0.1583128910623539,0.14511821677089032,0.16148724793649571
DOCKSTRING-58,500,10,raw,pilot_raw_correlation_pivoted_qr,5,0.008600887321703055,0.002814764598906949,0.01875456643041351,0.2,0.06,0.32,0.1982659548480601,0.1643383194705874,0.2638398845610229,0.29523811048251136,0.2794849775675343,0.33111943034342617
DOCKSTRING-58,500,10,raw,pilot_residual_r2_exact_kmedoids,5,0.015428307537359354,0.013030334270559218,0.026369046628036963,0.02,0.0,0.14,0.05764065428676157,0.05162064379699327,0.06190481179659968,0.3018303126346945,0.2846526036215593,0.3387339105410496
DOCKSTRING-58,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,-0.0030018454069197786,-0.0038164376997792404,0.004406331559898835,0.56,0.42,0.6,0.1684853705684317,0.163030134227916,0.17634544971924027,0.1682642731040409,0.16606716409164368,0.17328848109910822
DOCKSTRING-58,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.023544887791749847,0.017065934729596388,0.02626157448365346,0.04,0.0,0.1,0.13272522104234108,0.1278725069091332,0.14076831386126631,0.1926138972903133,0.1889377610877404,0.1961502465861703
DOCKSTRING-58,500,12,raw,pilot_raw_correlation_pivoted_qr,5,0.019382015009738907,0.0007086836828115173,0.025615054861219178,0.12,0.0,0.48,0.1909948439089928,0.1727408805484949,0.23014522793449854,0.3209336702637169,0.29653737998587915,0.35698086435773213
DOCKSTRING-58,500,12,raw,pilot_residual_r2_exact_kmedoids,5,0.017903980926108343,0.00803262989127862,0.02532632881660224,0.04,0.02,0.12,0.0588490914579175,0.05132791922806834,0.06440943237284347,0.31962218095461736,0.30386132619434625,0.3566921383131152
DOCKSTRING-58,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,-0.010496945928422596,-0.016947607169120027,0.005447158331661539,0.8,0.3,0.9,0.16745448107213168,0.16289229650737314,0.17240985238581552,0.1987817531805537,0.19431641158060664,0.2126780654973004
DOCKSTRING-58,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.0236513260873788,0.013946668535326667,0.030309655606712282,0.0,0.0,0.04,0.14027648506265433,0.1321205466202262,0.14315357476187573,0.23198144270767218,0.22967602888500038,0.2350086422858526
Docking-44,500,4,raw,pilot_raw_correlation_pivoted_qr,5,0.013027777447189859,-0.02932690115107095,0.06933842025037562,0.12,0.1,1.0,0.1931468719220849,0.09418820397599736,0.4897880811537849,0.10059475589840816,0.06796521542886891,0.3706393026430269
Docking-44,500,4,raw,pilot_residual_r2_exact_kmedoids,5,0.007356157872528302,0.004354650796521975,0.04074364652432427,0.2,0.1,0.32,0.02247589092389135,0.011987405525440975,0.07934414220321817,0.10164676737646183,0.07627583827293327,0.34204452891697557
Docking-44,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.03141445243582408,0.01614857533466596,0.0591178913883294,0.16,0.08,0.22,0.1683848800589991,0.10587520418027996,0.23534475152899892,0.06556265714884857,0.04657964011486948,0.08720181780579783
Docking-44,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.03253969398273404,0.012189688051813752,0.043325781091368365,0.18,0.1,0.24,0.07097353008651486,0.06460371536402532,0.08228790553104126,0.06653694654520192,0.04635625774010976,0.07084516328006019
Docking-44,500,6,raw,pilot_raw_correlation_pivoted_qr,5,0.015185538318264524,0.0014065508605837218,0.0846731495016948,0.06,0.0,0.4,0.0699812665173386,0.06423909182895171,0.2806195749887124,0.11519681293447004,0.09738061234649975,0.43087599642169483
Docking-44,500,6,raw,pilot_residual_r2_exact_kmedoids,5,0.013904370470962935,0.010228743216404546,0.04996303877364694,0.12,0.06,0.32,0.017406982891422618,0.012010865520427516,0.06200036907472495,0.12524385012442174,0.09242381724463977,0.39616588569364697
Docking-44,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,5,0.006344328615177364,0.0022357725566888864,0.0477518257824871,0.42,0.12,0.48,0.11867240967627224,0.10157161098548406,0.1961067601189782,0.09047164860704449,0.08210770517472632,0.14129264133148245
Docking-44,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,5,0.0304670609822969,0.02645955535196881,0.051219093178174135,0.12,0.0,0.22,0.0799096026637931,0.06886533582609089,0.09975642041971,0.11469543140232441,0.10905705815970534,0.14475990872716948
Docking-44,500,8,raw,pilot_raw_correlation_pivoted_qr,5,0.02318872835135699,0.01614906632623303,0.09621878308559073,0.0,0.0,0.06,0.04539620957759871,0.03845613279059179,0.1451093953896233,0.1375179449165458,0.11236319902117742,0.4632095765419457
Docking-44,500,8,raw,pilot_residual_r2_exact_kmedoids,5,0.014346594781466826,0.009120804931716742,0.053750891296808545,0.1,0.0,0.3,0.016169995587505648,0.01183838260546366,0.052595876270270736,0.13493034563621675,0.1018842805998268,0.42074168475316354
