dataset,fold,pilot_ligands,panel_k,surface,selector,metric,higher_is_better,designed_value,random_median,designed_minus_random_median,fraction_random_panels_no_worse,selected_panel_pc1_value,ridge_minus_selected_pc1,descriptor_only_value,ridge_minus_descriptor_only,random_panels
DOCKSTRING-58,3,500,10,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7572757997823597,0.7486749124606566,0.008600887321703055,0.2,0.566504793887803,0.19077100589455676,0.4632516802748917,0.294024119507468,50
DOCKSTRING-58,3,500,10,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.34602929287478446,0.319767718391131,0.02626157448365346,0.0,0.21815678596565125,0.1278725069091332,0.15088556885192161,0.19514372402286284,50
DOCKSTRING-58,3,500,10,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.32417404995102983,0.319767718391131,0.004406331559898835,0.42,0.15974533038873606,0.16442871956229377,0.15088556885192161,0.17328848109910822,50
DOCKSTRING-58,3,500,12,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7815588189425586,0.7636548380164503,0.017903980926108343,0.04,0.726399606490797,0.055159212451761586,0.4632516802748917,0.3183071386676669,50
DOCKSTRING-58,3,500,12,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7886654639312826,0.7636548380164503,0.025010625914832274,0.0,0.6159245833827877,0.1727408805484949,0.4632516802748917,0.32541378365639084,50
DOCKSTRING-58,3,500,12,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.3816443451254199,0.35811647601756047,0.023527869107859423,0.02,0.24952379850519368,0.1321205466202262,0.15088556885192161,0.23075877627349828,50
DOCKSTRING-58,3,500,12,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.363563634349222,0.35811647601756047,0.005447158331661539,0.3,0.1986171124172842,0.16494652193193782,0.15088556885192161,0.2126780654973004,50
DOCKSTRING-58,4,500,4,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.6745994362016181,0.6411788391739806,0.033420597027637555,0.0,0.6239366862909708,0.05066274991064734,0.446002864245837,0.2285965719557811,50
DOCKSTRING-58,4,500,4,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6000805562679836,0.6411788391739806,-0.04109828290599693,0.98,0.169754174403693,0.4303263818642906,0.446002864245837,0.1540776920221466,50
DOCKSTRING-58,4,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.23166832161252293,0.1677760030929194,0.06389231851960353,0.0,0.11551580515713555,0.11615251645538738,0.1538785858178464,0.07778973579467652,50
DOCKSTRING-58,4,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.18576300837825255,0.1677760030929194,0.017987005285333146,0.24,0.04640999499151155,0.139353013386741,0.1538785858178464,0.031884422560406134,50
DOCKSTRING-58,4,500,6,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7061457968226488,0.6870093535820048,0.019136443240644008,0.0,0.649007679750101,0.05713811707254779,0.446002864245837,0.26014293257681176,50
DOCKSTRING-58,4,500,6,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6385416604926238,0.6870093535820048,-0.048467693089380925,1.0,0.1761641520197782,0.46237750847284564,0.446002864245837,0.19253879624678683,50
DOCKSTRING-58,4,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.2636779366963252,0.23407647787678076,0.029601458819544457,0.02,0.14793082253324008,0.11574711416308514,0.1538785858178464,0.10979935087847881,50
DOCKSTRING-58,4,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.22616678810109014,0.23407647787678076,-0.00790968977569062,0.6,0.08116077367576136,0.1450060144253288,0.1538785858178464,0.07228820228324373,50
DOCKSTRING-58,4,500,8,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7403282319008373,0.7168149351683191,0.02351329673251823,0.02,0.6833418146283767,0.056986417272460566,0.446002864245837,0.2943253676550003,50
DOCKSTRING-58,4,500,8,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.712090185675119,0.7168149351683191,-0.00472474949320012,0.66,0.389880229753501,0.32220995592161794,0.446002864245837,0.26608732142928193,50
DOCKSTRING-58,4,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.31536583375434213,0.285180790460912,0.030185043293430136,0.0,0.17689201478316097,0.13847381897118116,0.1538785858178464,0.16148724793649571,50
DOCKSTRING-58,4,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.28993639842438934,0.285180790460912,0.0047556079634773485,0.42,0.11096705721825151,0.17896934120613783,0.1538785858178464,0.13605781260654293,50
DOCKSTRING-58,4,500,10,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7570444782112971,0.740445032052397,0.016599446158900077,0.02,0.6988114365469094,0.0582330416643877,0.446002864245837,0.31104161396546004,50
DOCKSTRING-58,4,500,10,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7432597966513039,0.740445032052397,0.002814764598906949,0.32,0.5137843414085728,0.22947545524273116,0.446002864245837,0.2972569324054669,50
