dataset,pilot_ligands,panel_k,selector,predictor,surface,records,folds,full_profile_variance_weighted_r2_median,full_profile_variance_weighted_r2_minimum,full_profile_variance_weighted_r2_maximum,full_profile_pooled_rmse_median,full_profile_pooled_rmse_minimum,full_profile_pooled_rmse_maximum,full_profile_median_target_pearson_median,full_profile_median_target_pearson_minimum,full_profile_median_target_pearson_maximum,full_profile_median_ligand_profile_pearson_median,full_profile_median_ligand_profile_pearson_minimum,full_profile_median_ligand_profile_pearson_maximum,omitted_only_variance_weighted_r2_median,omitted_only_variance_weighted_r2_minimum,omitted_only_variance_weighted_r2_maximum,omitted_only_pooled_rmse_median,omitted_only_pooled_rmse_minimum,omitted_only_pooled_rmse_maximum,omitted_only_median_target_pearson_median,omitted_only_median_target_pearson_minimum,omitted_only_median_target_pearson_maximum,omitted_only_median_ligand_profile_pearson_median,omitted_only_median_ligand_profile_pearson_minimum,omitted_only_median_ligand_profile_pearson_maximum
DOCKSTRING-58,500,4,pilot_residual_r2_exact_kmedoids,selected_target_pc1,raw,5,5,0.5715512162041632,0.35216796092432556,0.6348007740504761,0.7062086163846432,0.6006577979122645,0.8563356020638333,0.7629948300663343,0.5615855477544779,0.8203155464079408,0.36078606099215427,0.3249047546442287,0.4016901132697223,0.5410536375625292,0.3063721517710095,0.6065962194227004,0.7318972728418839,0.622506995813479,0.8874851952338221,0.7611941526812526,0.556565631461109,0.8151815965527203,0.19934495075045525,0.11724836482272225,0.3034949413260577
DOCKSTRING-58,500,4,pilot_residual_r2_exact_kmedoids,selected_target_pc1,raw_row_centered_residual,5,5,0.08325533227818105,0.0660970808465392,0.11551580515713555,0.9632640294265474,0.9309827044317687,0.9693890996551591,0.2054048429620895,0.1495075565247253,0.21829862972728684,0.28308911300190087,0.24955170891558667,0.3152941639149547,0.04262874622568669,0.029086704919499495,0.05924999533293085,0.9804067882276282,0.9589793566465972,0.9897896844377435,0.1830838207646059,0.13092057026451537,0.20415612976378011,0.2080790207562998,0.17871762380357992,0.23250038468303624
DOCKSTRING-58,500,6,fixed_random_panel,multivariate_ridge_gcv,raw,250,5,0.6895667954619836,0.6284245843623522,0.7389441115828876,0.5628503695490055,0.5069777065453701,0.6169734251497414,0.8499580957225346,0.8170453408648115,0.8775890792532437,0.5281974707452555,0.4443988655424562,0.5861093252335113,0.6534423161711252,0.5870783055327109,0.7080493910699714,0.5944362428301971,0.5354281339798626,0.6515965603184317,0.8407457681866499,0.8157215105150688,0.8693520891970201,0.4644764745231414,0.3939175545957581,0.5182532053869233
DOCKSTRING-58,500,6,fixed_random_panel,multivariate_ridge_gcv,raw_row_centered_residual,250,5,0.2328621397909137,0.17069676012418067,0.2758160868669983,0.8771258223488306,0.8469404373844086,0.9135982204113868,0.39456418317169045,0.27826700235881574,0.46906673790133135,0.48467718962018047,0.41610048108793907,0.5274344407580493,0.16046035669112557,0.0856046380726998,0.20207227799782568,0.91811706819489,0.8891742847673232,0.9587468595268372,0.37153805341585877,0.26867494437858325,0.4490187008314074,0.4111762600692427,0.3299961368835004,0.4547678078273252
DOCKSTRING-58,500,6,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw,5,5,0.6385416604926238,0.6182980957582355,0.703423902701734,0.6011334109001557,0.5675619268286337,0.6116818082866607,0.793193280969483,0.7609814267740831,0.8376753027905913,0.5937816807901367,0.5857948225579519,0.6132747673165471,0.5957309749184152,0.5655837360458602,0.6703806042459387,0.6348676407577231,0.5994122019104509,0.6460079900397855,0.7809391803453043,0.753580045732275,0.8296559900429803,0.39625285989208625,0.39313519319043644,0.4404459901450024
DOCKSTRING-58,500,6,pilot_raw_correlation_pivoted_qr,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.22729912790105244,0.22495015689520093,0.2321343536914362,0.8816840382848523,0.8708036826755094,0.8848262212259634,0.3942878805017974,0.38723554876285665,0.41196706505935765,0.48034617341644026,0.467741071751161,0.49247112804810944,0.15633827695921365,0.15147959877913564,0.15867551411418646,0.9231009744377904,0.9098250224600435,0.9232532302767442,0.36485299201522037,0.3379527764665882,0.38513085683807535,0.39420857833749856,0.37098847969332194,0.4042335406397985
DOCKSTRING-58,500,6,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw,5,5,0.26035664089562216,0.1761641520197782,0.3995605984131203,0.860589469225339,0.7701880698061765,0.9150060591982396,0.4363976087242231,0.2675367215942711,0.5913434586309828,0.41765606822645673,0.4075866039989978,0.4619642496166513,0.1793681869137168,0.0785900373909385,0.3276079997580378,0.9088837786771743,0.8134092598270268,0.9663541030140693,0.4296079734001911,0.25427425051001085,0.5844777382410853,0.16795568431617888,0.09374448377718916,0.2172791977126717
DOCKSTRING-58,500,6,pilot_raw_correlation_pivoted_qr,selected_target_pc1,raw_row_centered_residual,5,5,0.08116077367576136,0.07245420169821015,0.0993861290521657,0.9586965037504435,0.9488910234103296,0.9689220245237511,0.21075095387334997,0.1805692826111731,0.2272017079957197,0.2764643971149122,0.27177969189779727,0.298532624657233,0.04525359938177731,0.03310474991373047,0.05389908063402238,0.9788951511209937,0.9624855262475553,0.9877529076235934,0.18585623791378553,0.14387251740207893,0.20291980913903918,0.17238039830428775,0.13556787020288352,0.20887119313275404
DOCKSTRING-58,500,6,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw,5,5,0.71451297400454,0.690682612536718,0.7352368474802365,0.5436212689383042,0.5109204168707621,0.568467940452342,0.8529506707103616,0.8344393566208026,0.8635003147388116,0.5904582672972192,0.57694106857785,0.6077592109028033,0.6819599808396968,0.649591118216928,0.7067757361408006,0.5741280491459892,0.5395921001761925,0.6003690589430963,0.8446096287271105,0.82574158647732,0.855676734660611,0.5015689652580873,0.4708527758048354,0.516869586877459
DOCKSTRING-58,500,6,pilot_residual_r2_exact_kmedoids,multivariate_ridge_gcv,raw_row_centered_residual,5,5,0.27429519512204237,0.26275284216264316,0.27706743065761497,0.8546308450729736,0.8494356450748655,0.861219452669907,0.4569474221796116,0.44092824390764135,0.45971756108880035,0.5219035462568904,0.5115148599643002,0.5308272754034264,0.2018981918610976,0.19059098458574641,0.20652434030129763,0.8965866323352915,0.8891880430822957,0.9023582727005004,0.4335289789531917,0.42327111011640656,0.4362589349035496,0.4500523134071092,0.4408123151556129,0.4570298887235847
