fold,k,method,random_repeat,train_ligands,test_ligands,train_scaffold_groups,test_scaffold_groups,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
2,2,random_sentinels,8,10121,2530,6521,1629,0.6074545447951976,0.8952936191768256,0.7274356867006079,0.4592094861660079,0.7937282429352128,0.6675773001958462,0.7300021843826241,0.45422924901185774
2,2,random_sentinels,9,10121,2530,6521,1629,0.5781160183537641,0.9243273696912153,0.6941664152579505,0.4505928853754941,0.7788784689908607,0.45443823626787966,0.7013324525125426,0.4485375494071146
2,5,qr_sentinels,-1,10121,2530,6521,1629,0.7244648636883523,0.7440759416904731,0.7726216443384325,0.5231620553359684,0.8158620382930463,0.8960522260422956,0.8038940030005602,0.5275098814229249
2,5,qr_sentinels_plus_descriptors,-1,10121,2530,6521,1629,0.7472107423320973,0.7127021614609536,0.7983220633826851,0.5562845849802371,0.8286602993173074,0.9056493467615614,0.8262607771428208,0.5554150197628459
2,5,descriptors_only,-1,10121,2530,6521,1629,0.4800057076071337,1.0221815950838502,0.7694871136972674,0.52300395256917,0.813062331828593,0.8564286997256214,0.7811199671423775,0.49889328063241106
2,5,random_sentinels,0,10121,2530,6521,1629,0.7065041150882735,0.7704272363612928,0.7735773827647238,0.5043478260869565,0.8161174982061363,0.9221358126025457,0.7872468831257418,0.5096442687747036
2,5,random_sentinels,1,10121,2530,6521,1629,0.7302654811591143,0.7350670797570061,0.7701556093917673,0.5146245059288538,0.81522859145184,0.9279538036241116,0.7966107669116035,0.5547826086956521
2,5,random_sentinels,2,10121,2530,6521,1629,0.7106776469613469,0.773305493044284,0.7299437747325231,0.4686166007905138,0.7945697593072284,0.8886839642549674,0.7737119297936024,0.507588932806324
2,5,random_sentinels,3,10121,2530,6521,1629,0.7095632044256373,0.7762031757425814,0.7406028702553913,0.49533596837944666,0.7996917575092498,0.9345996792868692,0.7709592915884969,0.4935968379446641
2,5,random_sentinels,4,10121,2530,6521,1629,0.7130336183419951,0.7658816104721129,0.7586846850786853,0.5168379446640315,0.8095251019442804,0.942887403264762,0.77755249448782,0.5202371541501976
2,5,random_sentinels,5,10121,2530,6521,1629,0.7228362850025614,0.7547640923073083,0.7777910415118879,0.509090909090909,0.8187371165104512,0.915529428836281,0.7902035887053632,0.5038735177865613
2,5,random_sentinels,6,10121,2530,6521,1629,0.7244055823728937,0.7481540786354248,0.772508125306245,0.5277470355731224,0.8158989858135792,0.9309223024218061,0.7924808023835956,0.530197628458498
2,5,random_sentinels,7,10121,2530,6521,1629,0.7225174638929335,0.7557451034434984,0.7649632399177095,0.5146245059288538,0.8120415564886686,0.8967915709723059,0.7898033345271849,0.5201581027667984
2,5,random_sentinels,8,10121,2530,6521,1629,0.7142277443495479,0.7631357258662144,0.7522798189036398,0.5084584980237155,0.8039386599051395,0.8699781659066665,0.7806099298686706,0.5101185770750988
