panel,resampling_scheme,resampling_unit,resampled_units,replicates,seed,observed_delta_d,bootstrap_mean,bootstrap_median,bootstrap_sd,bootstrap_bias,interval_95_low,interval_95_high,interval_90_low,interval_90_high,basic_interval_95_low,basic_interval_95_high,basic_interval_90_low,basic_interval_90_high,minimum,maximum,fraction_of_replicates_at_or_below_zero
KiRHub,experimental_only,compound,92,5000,23290806,0.0454766934788978,0.0432145463134276,0.0432634815660443,0.0137002610913826,-0.00226214716547026,0.01626535798484,0.069773298866713,0.0206457679976557,0.0658196975860246,0.0211800880910826,0.0746880289729556,0.025133689371771,0.07030761896014,-0.0128978642067646,0.0950368941551083,0.0004
PKIS1,combined,butina_0.65,181,5000,23281006,0.000860790720256188,0.00145435910894164,0.000557239521141506,0.0130945429249708,0.000593568388685453,-0.0215319712894802,0.0298425820222457,-0.0181395898122268,0.0248232273528498,-0.0281210005817334,0.0232535527299926,-0.0231016459123375,0.0198611712527392,-0.0370822343817659,0.063820983523381,0.482
PKIS1,combined,compound,360,5000,23280806,0.000860790720256188,0.00115051118196889,0.000613225909450774,0.00834766600563181,0.000289720461712698,-0.0139723217292796,0.0182554553924078,-0.0116729870050344,0.0157415353392206,-0.0165338739518954,0.015693903169792,-0.0140199538987082,0.0133945684455468,-0.0282276371557166,0.0316760487606451,0.469
PKIS1,combined,murcko,189,5000,23280906,0.000860790720256188,0.00243306206178623,0.00154399961509359,0.0115809766312421,0.00157227134153004,-0.0177162802293691,0.0280276170356082,-0.0149607001797689,0.0226206003665359,-0.0263060355950958,0.0194378616698815,-0.0208990189260236,0.0166822816202813,-0.0315413315137757,0.0591356226517429,0.4446
PKIS1,docking_only,dockstring_chemical_group,99985,5000,21260806,0.000860790720256188,-0.000226104178421629,-0.000239691724949392,0.00238272856098448,-0.00108689489867782,-0.00491477384560878,0.00434432503597553,-0.00417632213168165,0.00374592677155367,-0.00262274359546315,0.00663635528612116,-0.00202434533104129,0.00589790357219403,-0.0100950456420282,0.00809703140923856,0.5366
PKIS1,docking_only,dockstring_molecule,259579,5000,22260806,0.000860790720256188,0.000188928166839434,0.000179331400053384,0.00138834864235222,-0.000671862553416754,-0.00249318759376631,0.00297781976756901,-0.00205242600392788,0.00246882476697855,-0.00125623832705664,0.00421476903427868,-0.00074724332646617,0.00377400744444026,-0.00507201686589948,0.00550416180066218,0.4528
PKIS1,experimental_only,butina_0.65,181,5000,23281006,0.000860790720256188,0.00241151674999019,0.00153700131655492,0.0128406794952073,0.001550726029734,-0.0201082986698859,0.0301787190489313,-0.0169500540181167,0.0254426642522537,-0.0284571376084189,0.0218298801103982,-0.0237210828117414,0.0186716354586291,-0.0330074750576267,0.064503317630901,0.4532
PKIS1,experimental_only,compound,360,5000,23280806,0.000860790720256188,0.00214498410074055,0.00170233611953105,0.00802979540061977,0.00128419338048436,-0.0123188424814217,0.0190093033631199,-0.00987284966342545,0.0163307045974448,-0.0172877219226075,0.0140404239219341,-0.0146091231569325,0.0115944311039378,-0.0255490383900415,0.0322044203003144,0.4128
PKIS1,experimental_only,murcko,189,5000,23280906,0.000860790720256188,0.00338914336451954,0.00241528778315778,0.0113351832670497,0.00252835264426335,-0.0161506296281717,0.028958040826324,-0.0134739116552288,0.0233317149767963,-0.0272364593858117,0.0178722110686841,-0.021610133536284,0.0151954930957412,-0.0277692486014338,0.0630074313182609,0.4086
PKIS2,combined,butina_0.65,338,5000,23271006,0.0436763811798258,0.0419518198637956,0.0421437537998574,0.0115166402581573,-0.00172456131603019,0.0191169459425178,0.0642132381564733,0.0230409356725146,0.0611289130330189,0.0231395242031784,0.0682358164171338,0.0262238493266327,0.064311826687137,0.00444741872132348,0.0812537451832024,0
PKIS2,combined,compound,645,5000,23270806,0.0436763811798258,0.0424939241646875,0.0425076653238682,0.00984024071927291,-0.00118245701513835,0.0236276555262504,0.0619439961159443,0.0266209152899701,0.0589275107489491,0.0254087662437073,0.0637251068334012,0.0284252516107025,0.0607318470696815,0.00974862986436437,0.0835649332755973,0
PKIS2,combined,murcko,369,5000,23270906,0.0436763811798258,0.0425848299632152,0.0428899473815429,0.0108735028149652,-0.00109155121661061,0.0214548150480914,0.0634275041880444,0.0246880727123218,0.0606213614315019,0.0239252581716073,0.0658979473115602,0.0267314009281497,0.0626646896473298,0.00444916829595793,0.0811330245334104,0
PKIS2,docking_only,dockstring_chemical_group,99985,5000,21260806,0.0436763811798258,0.0420749500277745,0.0420982648593561,0.00421095652718185,-0.00160143115205132,0.0342773163274677,0.050265760387006,0.0353153389582157,0.0488918631657678,0.0370870019726456,0.0530754460321839,0.0384608991938838,0.0520374234014359,0.0285897991050926,0.0625857838313061,0
PKIS2,docking_only,dockstring_molecule,259579,5000,22260806,0.0436763811798258,0.043029971788109,0.0430106680313348,0.0014782622548901,-0.000646409391716792,0.0401665595052202,0.0459039396046836,0.0405844454067104,0.0454732818083603,0.041448822754968,0.0471862028544315,0.0418794805512913,0.0467683169529412,0.0372676892930406,0.0486504218661838,0
PKIS2,experimental_only,butina_0.65,338,5000,23271006,0.0436763811798258,0.0435368249594318,0.0438784570501297,0.0108301931772229,-0.000139556220394056,0.0216118831109186,0.0641294772708387,0.0255543745926773,0.0608898336591916,0.0232232850888129,0.065740879248733,0.02646292870046,0.0617983877669744,0.00856941656059879,0.0839533388444935,0
PKIS2,experimental_only,compound,645,5000,23270806,0.0436763811798258,0.0440996841142997,0.044089280793607,0.00890914510540703,0.000423302934473915,0.0262925201310432,0.0612711097114515,0.0291984761204933,0.0587143250797149,0.0260816526482001,0.0610602422286084,0.0286384372799367,0.0581542862391583,0.0131812952975809,0.091373284870116,0
PKIS2,experimental_only,murcko,369,5000,23270906,0.0436763811798258,0.0441870081836354,0.0443989555039431,0.0100316563739686,0.000510627003809563,0.0243323404497281,0.063415125947504,0.0274116355461079,0.0607681507433505,0.0239376364121476,0.0630204219099235,0.0265846116163011,0.0599411268135438,0.00207499551671503,0.0795251654441515,0
