ligand_id,target,rfscore,smina_vina,orig_vina
13116,6cm4,,-6.51922274,-6.2
13670,6cm4,6.654353739038729,-8.21132946,-7.9
9550,6cm4,8.073851814962818,-7.2509284,-6.7
8215,6cm4,6.656598898989892,-8.70243645,-8.5
6955,6cm4,6.050555071817077,-7.3125701,-7.3
8587,6cm4,7.275301608225106,-9.19581795,-9.2
13089,6cm4,,-7.55864525,-7.6
8652,6cm4,7.741492248196253,-8.36933422,-7.9
12840,6cm4,4.612037981906982,-6.60310268,-6.8
14079,6cm4,7.232098976634477,-8.8643961,-8.9
428,6cm4,7.5559777838827875,-8.27244091,-7.9
15096,6cm4,6.972555171717181,-9.1509676,-8.9
1155,6cm4,6.472748789543785,-9.37790298,-8.2
12216,6cm4,,-8.26769638,-7.0
4344,6cm4,7.154416298701286,-10.3616114,-7.7
4155,4iar,3.493459257853263,-1.06440055,-1.1
847,4iar,4.417017858141861,-3.57028627,-3.6
15650,4iar,5.235833548396052,-5.70983362,-5.5
969,4iar,4.473701109890112,-5.95079517,-6.0
2196,4iar,4.375885569541567,-4.63883686,-4.6
7033,4iar,4.3752407691197694,-6.13370085,-5.9
945,4iar,4.557754089688087,-6.79342175,-6.6
15715,4iar,6.443615646464652,-5.26887131,-5.3
5041,4iar,5.120597385281384,-7.37584352,-7.1
9141,4iar,5.3764065871905835,-7.06471491,-7.1
2787,4iar,5.292254590909094,-4.88351822,-4.6
2472,4iar,,-6.6069026,-6.9
5753,4iar,5.706185722222218,-4.90837908,-4.6
3470,4iar,6.808582883671887,-7.3018508,-6.5
9099,4iar,5.902971866855367,-7.0513196,-7.0
10838,4iar,5.6955445806970815,-5.18689728,-5.3
10372,4iar,5.7691073897768925,-7.2926302,-6.8
8747,4iar,6.343809285270279,-7.66395426,-7.7
6061,4iar,6.137086994671992,-7.31493998,-6.8
6204,4iar,5.820731211066713,-7.23854303,-7.0
5562,4iar,5.234008162726166,-8.99403667,-8.8
49,4iar,5.952504075258079,-8.82450294,-8.3
5799,4iar,6.953798928793425,-7.00563669,-7.0
3827,4iar,5.574089300144299,-8.51260281,-7.3
11420,4iar,6.952964721611723,-6.9806819,-6.8
3596,4iar,6.510309020035516,-7.45062685,-7.4
9428,4iar,7.045430940725943,-7.98721743,-7.8
10991,4iar,6.590765790043291,-5.45376682,-5.0
14663,4iar,7.809292746031736,-8.96150398,-8.9
11990,4iar,6.314625493228995,-7.5079093,-7.1
3353,4iar,7.000490263958259,-8.01733971,-8.0
3496,4iar,,-6.67046213,-6.5
2461,4iar,5.014601339327338,-4.48845959,-4.4
13116,4iar,,-6.75376606,-6.6
13670,4iar,6.525681958097458,-7.86951256,-7.8
9550,4iar,7.142274918359418,-6.85434771,-6.3
8215,4iar,6.713477297702295,-8.38338566,-8.3
6955,4iar,5.954051455266956,-7.46632719,-6.6
8587,4iar,7.339025077145071,-9.70381451,-9.5
13089,4iar,,-8.74792385,-8.6
8652,4iar,7.6454170212565185,-7.8602376,-7.1
12840,4iar,5.679957292929297,-7.83505774,-8.0
14079,4iar,7.034817005161508,-9.78298569,-10.3
428,4iar,7.478979687035188,-8.5214529,-8.1
15096,4iar,7.2914575314130365,-9.61410046,-9.8
1155,4iar,6.743682050727051,-10.7157745,-10.0
12216,4iar,,-8.20260811,-8.2
4344,4iar,7.221622521645018,-12.63906,-9.6
4155,5u09,3.5190856842601894,-1.1667068,-1.2
847,5u09,4.518169834165833,-3.7690227,-3.5
15650,5u09,5.49118625918526,-5.97329044,-5.2
969,5u09,5.508641418414913,-5.92910433,-5.8
2196,5u09,4.2072484476079435,-4.8012867,-4.8
7033,5u09,5.926991772727279,-6.61843824,-6.4
945,5u09,6.156062506493514,-6.95225954,-6.5
15715,5u09,6.546977110278619,-5.93010378,-6.2
5041,5u09,5.568832936452437,-7.22556543,-6.8
9141,5u09,5.712972782273278,-6.92691946,-6.9
2787,5u09,5.269891487734488,-4.74317598,-4.7
2472,5u09,,-7.24693251,-6.6
5753,5u09,5.693383057720054,-4.91123629,-4.7
3470,5u09,6.694433178987675,-6.7511301,-6.4
9099,5u09,6.011223947996445,-6.78543425,-6.7
10838,5u09,6.363576040293038,-5.58261395,-5.3
10372,5u09,5.891814738594737,-7.52168941,-7.3
8747,5u09,6.487164509768002,-8.75720119,-8.5
6061,5u09,6.470082379120881,-7.55744076,-6.8
6204,5u09,7.235535109668107,-7.37776279,-7.2
5562,5u09,6.215999787656788,-8.93733692,-8.6
49,5u09,6.184725426406927,-8.29065037,-8.2
5799,5u09,6.756620171051172,-7.31348228,-6.9
3827,5u09,6.703226155788657,-7.80633974,-7.9
11420,5u09,7.3451428465978505,-7.60735655,-6.9
3596,5u09,6.409670537962034,-7.86275911,-7.7
9428,5u09,7.064510496392493,-8.63195992,-8.2
10991,5u09,6.607114792707295,-6.38698053,-5.7
14663,5u09,7.747616085137078,-8.59906387,-8.7
