ligand_id,target,rfscore,orig_vina
13905,5u09,6.247804570096575,-6.5
10699,5u09,,-7.4
12063,5u09,6.3400436510711495,-7.5
1038,5u09,7.0222847192252145,-5.3
568,5u09,6.344858915029414,-7.2
11932,5u09,5.224166704628705,-6.9
15210,5u09,6.453833703463201,-8.4
7984,5u09,5.725975430791432,-5.6
9010,5u09,5.190121312520806,-6.6
6971,5u09,5.336661715562217,-7.6
13019,5u09,5.7893607909312905,-6.7
12312,5u09,7.071384851481849,-8.0
12956,5u09,5.877206754689752,-7.4
5790,5u09,7.045975979797974,-7.7
10782,5u09,7.538442987623483,-9.5
12679,5u09,6.886909274891769,-9.0
14010,5u09,7.793381830391826,-9.5
14600,5u09,6.236593014596516,-10.9
4220,5u09,,-6.6
8026,5u09,7.281731822399821,-7.9
13380,5u09,6.259472123419066,-8.3
10751,5u09,7.37321551309801,-10.3
2381,5u09,,-8.4
9151,5u09,7.3113494640914665,-9.7
15941,5u09,8.010989851648356,-7.0
11286,5u09,6.497981184704185,-6.8
4155,4n6h,3.5375458747363795,-1.1
1596,4n6h,5.400691439393934,-4.4
4642,4n6h,4.351748995448997,-4.3
11921,4n6h,5.346409056943059,-4.5
4765,4n6h,4.767539304029307,-5.6
2784,4n6h,5.736467315850817,-5.8
2155,4n6h,5.6863769709734635,-6.4
1565,4n6h,5.823406755509202,-6.1
9184,4n6h,5.4708612065712074,-6.9
10614,4n6h,,-5.6
6080,4n6h,5.742818731490735,-5.5
12886,4n6h,5.8854205125430115,-5.8
3312,4n6h,7.266112483682986,-5.6
13905,4n6h,6.890367413142411,-6.0
10699,4n6h,,-7.0
12063,4n6h,6.459839939338435,-7.3
1038,4n6h,5.986547158175159,-4.9
568,4n6h,5.2500342560772495,-6.4
11932,4n6h,6.090221398823394,-6.6
15210,4n6h,6.66357084632035,-7.4
7984,4n6h,5.709116497446999,-5.8
9010,4n6h,6.000890279220779,-6.6
6971,4n6h,5.971264762237768,-6.8
13019,4n6h,5.761422984792988,-6.3
12312,4n6h,7.123695183594183,-6.6
12956,4n6h,6.043327696969689,-7.1
5790,4n6h,6.803874380119879,-6.3
10782,4n6h,7.195078779387278,-8.8
12679,4n6h,6.954529950826945,-7.7
14010,4n6h,7.452428610001108,-8.3
14600,4n6h,6.7434683734043706,-8.3
4220,4n6h,,-4.9
8026,4n6h,7.282214807081808,-7.1
13380,4n6h,6.210493252068186,-7.2
10751,4n6h,7.480844658230655,-8.4
2381,4n6h,,-7.0
9151,4n6h,6.554011428293928,-7.2
15941,4n6h,7.002911856199352,-6.6
11286,4n6h,6.354141950937949,-6.4
4155,7f8y,3.5423705414030464,-1.2
1596,7f8y,4.990519034299033,-4.9
4642,7f8y,4.423183894494402,-4.5
11921,7f8y,5.262353500277502,-4.8
4765,7f8y,5.038115947441447,-6.2
2784,7f8y,5.715773326118329,-5.9
2155,7f8y,5.505405875901878,-7.0
1565,7f8y,5.627131680486177,-6.3
9184,7f8y,5.605017405538905,-6.7
10614,7f8y,,-5.8
6080,7f8y,5.546492056041998,-6.0
12886,7f8y,5.788321856421359,-6.2
3312,7f8y,7.000802607559107,-6.4
13905,7f8y,5.7762032557997545,-6.5
10699,7f8y,,-6.6
12063,7f8y,6.443839893828396,-6.9
1038,7f8y,7.235946349927846,-5.4
568,7f8y,6.565377240759244,-7.1
11932,7f8y,6.090560411865912,-6.8
15210,7f8y,6.34465744821845,-7.6
7984,7f8y,5.836758244588748,-5.6
9010,7f8y,5.364720120657117,-6.1
6971,7f8y,7.4485714689754685,-7.9
13019,7f8y,6.027498530234475,-6.6
12312,7f8y,7.136961958263957,-7.9
12956,7f8y,5.948270614829615,-7.3
5790,7f8y,6.942492331279828,-7.3
10782,7f8y,7.322288958874455,-8.3
12679,7f8y,7.102317287268289,-8.5
14010,7f8y,6.6539059136973995,-8.7
14600,7f8y,7.0549709072039075,-9.7
4220,7f8y,,-5.9
8026,7f8y,7.329224748806749,-8.6
13380,7f8y,5.924804376845374,-7.8
10751,7f8y,7.429648547619039,-10.5
2381,7f8y,,-8.5
9151,7f8y,7.6202260420135435,-8.3
15941,7f8y,7.666660106227102,-7.9
11286,7f8y,6.902483938672436,-7.9
4155,8ef6,3.5307189461649515,-1.0
1596,8ef6,4.686929648074147,-4.9
4642,8ef6,4.476911398989899,-4.3
11921,8ef6,3.986389339993338,-4.6
4765,8ef6,5.202500359584862,-6.3
2784,8ef6,5.7800109154179165,-6.6
2155,8ef6,5.787087477633481,-6.5
1565,8ef6,5.048422901653897,-5.8
9184,8ef6,5.446667935675438,-6.2
10614,8ef6,,-5.9
6080,8ef6,4.6831204651459695,-5.7
12886,8ef6,3.489844342213343,-5.5
3312,8ef6,5.5379121584526585,-6.1
13905,8ef6,5.968666120657123,-6.2
10699,8ef6,,-6.8
12063,8ef6,5.503438826784332,-6.9
1038,8ef6,5.545139073759573,-4.8
568,8ef6,5.564375373015874,-6.2
11932,8ef6,5.269678925685432,-6.5
15210,8ef6,5.830184516483521,-7.2
7984,8ef6,4.0949250751470725,-5.4
9010,8ef6,5.301111476911972,-6.5
6971,8ef6,5.846757986291488,-8.4
13019,8ef6,5.111204528360527,-6.2
12312,8ef6,6.560625445554447,-7.2
12956,8ef6,4.506215781551788,-6.9
5790,8ef6,6.073292140692639,-7.1
10782,8ef6,6.175123435786437,-8.8
12679,8ef6,6.79290706948607,-7.7
14010,8ef6,6.372104647075147,-7.9
14600,8ef6,6.503197632700638,-9.1
4220,8ef6,,-5.7
8026,8ef6,6.463940005772005,-6.9
13380,8ef6,5.763845468253972,-6.9
10751,8ef6,7.20696775169275,-9.3
2381,8ef6,,-6.8
9151,8ef6,5.619016756132762,-7.4
15941,8ef6,7.670144657620155,-6.8
11286,8ef6,6.132090065656559,-7.2
4155,4djh,3.5430326416916453,-1.1
1596,4djh,5.051772874403374,-4.6
4642,4djh,4.1529657878787924,-4.3
11921,4djh,5.009019733488734,-5.2
4765,4djh,4.248070964923966,-6.2
2784,4djh,5.010712191697194,-6.5
2155,4djh,4.93564186935287,-6.8
1565,4djh,4.786175250749254,-6.4
9184,4djh,5.245056932789428,-6.9
10614,4djh,,-5.4
6080,4djh,4.52992652125653,-5.8
12886,4djh,5.681104540348546,-6.2
3312,4djh,5.983886064935056,-6.1
13905,4djh,6.08764517371517,-6.3
10699,4djh,,-6.1
12063,4djh,6.054010010933513,-7.4
1038,4djh,6.509408771284267,-5.0
568,4djh,5.784544564990567,-6.3
11932,4djh,5.410385044233542,-6.5
15210,4djh,6.234434660006666,-8.2
7984,4djh,4.281077935841932,-5.6
9010,4djh,5.5062624526029476,-7.0
6971,4djh,6.388923488455989,-6.3
13019,4djh,5.3798619941169985,-6.0
12312,4djh,6.735297639305138,-7.6
12956,4djh,5.167434807359312,-7.1
5790,4djh,6.356247278166277,-7.2
10782,4djh,6.880780790542785,-8.1
12679,4djh,7.0195453037518,-7.4
14010,4djh,6.667586563991562,-8.4
14600,4djh,6.647105515318009,-9.4
4220,4djh,,-6.0
8026,4djh,6.794484230880235,-7.7
13380,4djh,5.754113409090905,-7.9
10751,4djh,7.4689930055500025,-9.9
2381,4djh,,-7.7
9151,4djh,6.287872510101011,-7.7
15941,4djh,6.879412702020198,-7.2
11286,4djh,6.569389448773446,-7.2
4155,5va1,3.5430326416916453,-1.0
1596,5va1,4.281707619103121,-4.0
4642,5va1,3.731130338217344,-3.6
11921,5va1,3.6570827301587316,-3.5
4765,5va1,3.820092153846153,-4.5
2784,5va1,3.5639752437007455,-4.8
2155,5va1,3.5899269134199154,-5.2
1565,5va1,4.508259288877795,-4.6
9184,5va1,4.406399378510375,-4.6
10614,5va1,,-4.1
6080,5va1,4.571026836940839,-4.3
12886,5va1,3.7246273694083727,-4.2
3312,5va1,4.657125850094354,-4.9
13905,5va1,4.141870150405151,-4.3
10699,5va1,,-4.8
12063,5va1,3.7491309815184826,-5.0
1038,5va1,5.278994360472853,-4.0
568,5va1,5.458752583971586,-5.0
11932,5va1,4.313015219447219,-4.5
15210,5va1,4.216680310855809,-5.4
7984,5va1,3.889126586968589,-4.3
9010,5va1,4.502888164668664,-4.4
6971,5va1,5.67000965695416,-5.2
13019,5va1,4.377608761904761,-4.5
12312,5va1,4.833476579753584,-4.9
12956,5va1,4.609688751803755,-5.3
5790,5va1,5.46724671484072,-5.0
10782,5va1,4.307991311577313,-5.8
12679,5va1,5.709592775224779,-5.3
14010,5va1,4.997830798701298,-6.1
14600,5va1,5.928454535298046,-6.9
4220,5va1,,-4.0
8026,5va1,4.6211053835608835,-5.4
13380,5va1,4.61312262504163,-4.7
10751,5va1,6.100752084859578,-6.3
