discovery,validation,alpha,discovery_pair_weighted_accuracy,discovery_equal_pair_accuracy
PKIS2,PKIS1,0.15000000000000002,0.5274418604651163,0.5244074126205046
PKIS2,PKIS1,0.2,0.5279069767441861,0.5246947934983193
PKIS2,PKIS1,0.25,0.5282392026578073,0.5250810031210956
PKIS2,PKIS1,0.30000000000000004,0.5287043189368771,0.5253418217423546
PKIS2,PKIS1,0.35000000000000003,0.5283720930232558,0.5242440831388363
PKIS2,PKIS1,0.4,0.5281727574750831,0.5238797088760125
PKIS2,PKIS1,0.45,0.5281727574750831,0.5236222642999333
PKIS2,PKIS1,0.5,0.5281063122923588,0.5233718667437208
PKIS2,PKIS1,0.55,0.5281063122923588,0.5233684234468847
PKIS2,PKIS1,0.6000000000000001,0.5289036544850498,0.5245769400639629
PKIS2,PKIS1,0.65,0.5290365448504983,0.5247131671035157
PKIS2,PKIS1,0.7000000000000001,0.5284385382059801,0.5241682146279316
PKIS2,PKIS1,0.75,0.5279734219269103,0.5237320616151429
PKIS2,PKIS1,0.8,0.5275747508305648,0.5234191268830362
PKIS2,PKIS1,0.8500000000000001,0.5261794019933554,0.5219357833143166
PKIS2,PKIS1,0.9,0.5276411960132891,0.5233044371379586
PKIS2,PKIS1,0.9500000000000001,0.5281727574750831,0.5238589996824599
PKIS2,PKIS1,1.0,0.5275747508305648,0.5232496462116067
DAVIS,PKIS1,0.0,0.49147408570787526,0.4907955499630336
DAVIS,PKIS1,0.05,0.49046443796275524,0.49088455855823737
DAVIS,PKIS1,0.1,0.49225936728741304,0.49322386019276554
DAVIS,PKIS1,0.15000000000000002,0.49360556428090646,0.4930975792767741
DAVIS,PKIS1,0.2,0.4956248597711465,0.4944158322869308
DAVIS,PKIS1,0.25,0.4947273951088176,0.4935740005001485
DAVIS,PKIS1,0.30000000000000004,0.49450302894323533,0.4929180457447329
DAVIS,PKIS1,0.35000000000000003,0.49360556428090646,0.4919884894481873
DAVIS,PKIS1,0.4,0.4947273951088176,0.4929994536543121
DAVIS,PKIS1,0.45,0.4971954229302221,0.49554532103994214
DAVIS,PKIS1,0.5,0.4985416199237155,0.4965103727493251
DAVIS,PKIS1,0.55,0.49809288759255105,0.49520509913996935
DAVIS,PKIS1,0.6000000000000001,0.4962979582678932,0.4935244410425328
DAVIS,PKIS1,0.65,0.4971954229302221,0.4944280726533841
DAVIS,PKIS1,0.7000000000000001,0.4962979582678932,0.49380844086879516
DAVIS,PKIS1,0.75,0.4956248597711465,0.4929727926559165
DAVIS,PKIS1,0.8,0.49764415526138656,0.4950715486394116
DAVIS,PKIS1,0.8500000000000001,0.4956248597711465,0.4924758358330626
DAVIS,PKIS1,0.9,0.49741978909580437,0.4948787724158168
DAVIS,PKIS1,0.9500000000000001,0.4994390845860444,0.49708621875483244
DAVIS,PKIS1,1.0,0.4994390845860444,0.49650009726972316
PKIS1,PKIS2,0.0,0.5229116945107398,0.524010702585529
PKIS1,PKIS2,0.05,0.5259461302420729,0.5260297138834696
PKIS1,PKIS2,0.1,0.5291510398908967,0.5279386757227953
PKIS1,PKIS2,0.15000000000000002,0.5333787930446642,0.5313182570837862
PKIS1,PKIS2,0.2,0.5348107739515854,0.5325750345068282
PKIS1,PKIS2,0.25,0.5389021479713604,0.5358615317130476
PKIS1,PKIS2,0.30000000000000004,0.5402659393112854,0.5366742466971023
PKIS1,PKIS2,0.35000000000000003,0.5419706784861916,0.5376148250596859
PKIS1,PKIS2,0.4,0.5436754176610978,0.5385053123301352
PKIS1,PKIS2,0.45,0.5455165359699966,0.5392898360037565
PKIS1,PKIS2,0.5,0.5472212751449028,0.5403907910517669
PKIS1,PKIS2,0.55,0.5474940334128878,0.539786683138787
PKIS1,PKIS2,0.6000000000000001,0.5488578247528129,0.5415983104087145
PKIS1,PKIS2,0.65,0.5494033412887828,0.5420628972691841
PKIS1,PKIS2,0.7000000000000001,0.5511762700306853,0.5428210452520871
PKIS1,PKIS2,0.75,0.5517899761336515,0.5433768687603133
PKIS1,PKIS2,0.8,0.5521309239686328,0.5439188108439776
PKIS1,PKIS2,0.8500000000000001,0.5519945448346403,0.543583575335338
PKIS1,PKIS2,0.9,0.5539720422775315,0.5454460536033688
PKIS1,PKIS2,0.9500000000000001,0.5547221275144902,0.5461914140505403
PKIS1,PKIS2,1.0,0.555744971019434,0.5465639429816028
PKIS1,DAVIS,0.0,0.5229116945107398,0.524010702585529
PKIS1,DAVIS,0.05,0.5259461302420729,0.5260297138834696
PKIS1,DAVIS,0.1,0.5291510398908967,0.5279386757227953
PKIS1,DAVIS,0.15000000000000002,0.5333787930446642,0.5313182570837862
PKIS1,DAVIS,0.2,0.5348107739515854,0.5325750345068282
PKIS1,DAVIS,0.25,0.5389021479713604,0.5358615317130476
PKIS1,DAVIS,0.30000000000000004,0.5402659393112854,0.5366742466971023
PKIS1,DAVIS,0.35000000000000003,0.5419706784861916,0.5376148250596859
PKIS1,DAVIS,0.4,0.5436754176610978,0.5385053123301352
PKIS1,DAVIS,0.45,0.5455165359699966,0.5392898360037565
PKIS1,DAVIS,0.5,0.5472212751449028,0.5403907910517669
PKIS1,DAVIS,0.55,0.5474940334128878,0.539786683138787
PKIS1,DAVIS,0.6000000000000001,0.5488578247528129,0.5415983104087145
PKIS1,DAVIS,0.65,0.5494033412887828,0.5420628972691841
PKIS1,DAVIS,0.7000000000000001,0.5511762700306853,0.5428210452520871
PKIS1,DAVIS,0.75,0.5517899761336515,0.5433768687603133
