panel,match,target_a,target_b,informative_ligands,absolute_accuracy,residual_accuracy,residual_minus_absolute
PKIS2,exact_full_standard_InChIKey,CSF1R,KIT,65,0.46923076923076923,0.5538461538461539,0.08461538461538465
PKIS2,exact_full_standard_InChIKey,CSF1R,LCK,88,0.4431818181818182,0.3977272727272727,-0.04545454545454547
PKIS2,exact_full_standard_InChIKey,CSF1R,MAP2K1,83,0.3795180722891566,0.3855421686746988,0.006024096385542188
PKIS2,exact_full_standard_InChIKey,CSF1R,MAPK1,79,0.4240506329113924,0.4050632911392405,-0.01898734177215189
PKIS2,exact_full_standard_InChIKey,CSF1R,MAPK14,91,0.4945054945054945,0.42857142857142855,-0.06593406593406598
PKIS2,exact_full_standard_InChIKey,CSF1R,MAPKAPK2,86,0.5523255813953488,0.3488372093023256,-0.20348837209302323
PKIS2,exact_full_standard_InChIKey,CSF1R,MET,84,0.39285714285714285,0.35714285714285715,-0.0357142857142857
PKIS2,exact_full_standard_InChIKey,CSF1R,PLK1,95,0.3894736842105263,0.4105263157894737,0.02105263157894738
PKIS2,exact_full_standard_InChIKey,CSF1R,ROCK1,94,0.4095744680851064,0.3617021276595745,-0.0478723404255319
PKIS2,exact_full_standard_InChIKey,CSF1R,SRC,69,0.5434782608695652,0.43478260869565216,-0.10869565217391303
PKIS2,exact_full_standard_InChIKey,EGFR,FGFR1,97,0.5721649484536082,0.5051546391752577,-0.0670103092783505
PKIS2,exact_full_standard_InChIKey,EGFR,IGF1R,82,0.8597560975609756,0.6341463414634146,-0.22560975609756095
PKIS2,exact_full_standard_InChIKey,EGFR,JAK2,100,0.52,0.49,-0.030000000000000027
PKIS2,exact_full_standard_InChIKey,EGFR,KDR,101,0.6089108910891089,0.6039603960396039,-0.004950495049504955
PKIS2,exact_full_standard_InChIKey,EGFR,KIT,109,0.3256880733944954,0.47706422018348627,0.15137614678899086
PKIS2,exact_full_standard_InChIKey,EGFR,LCK,85,0.4470588235294118,0.4470588235294118,0.0
PKIS2,exact_full_standard_InChIKey,EGFR,MAP2K1,87,0.6206896551724138,0.5517241379310345,-0.06896551724137934
PKIS2,exact_full_standard_InChIKey,EGFR,MAPK1,91,0.6373626373626373,0.5604395604395604,-0.07692307692307687
PKIS2,exact_full_standard_InChIKey,EGFR,MAPK14,98,0.5510204081632653,0.5612244897959183,0.010204081632653073
PKIS2,exact_full_standard_InChIKey,EGFR,MAPKAPK2,80,0.86875,0.6125,-0.25625
PKIS2,exact_full_standard_InChIKey,EGFR,MET,97,0.6752577319587629,0.5876288659793815,-0.08762886597938147
PKIS2,exact_full_standard_InChIKey,EGFR,PLK1,95,0.5421052631578948,0.5473684210526316,0.0052631578947368585
PKIS2,exact_full_standard_InChIKey,EGFR,ROCK1,92,0.6358695652173914,0.5652173913043478,-0.07065217391304357
PKIS2,exact_full_standard_InChIKey,EGFR,SRC,90,0.6777777777777778,0.4111111111111111,-0.2666666666666667
PKIS2,exact_full_standard_InChIKey,FGFR1,IGF1R,58,0.6637931034482759,0.6551724137931034,-0.008620689655172487
PKIS2,exact_full_standard_InChIKey,FGFR1,JAK2,70,0.4642857142857143,0.44285714285714284,-0.021428571428571463
PKIS2,exact_full_standard_InChIKey,FGFR1,KDR,67,0.5970149253731343,0.5671641791044776,-0.02985074626865669
PKIS2,exact_full_standard_InChIKey,FGFR1,KIT,102,0.3872549019607843,0.46078431372549017,0.07352941176470584
PKIS2,exact_full_standard_InChIKey,FGFR1,LCK,81,0.41358024691358025,0.4567901234567901,0.043209876543209846
PKIS2,exact_full_standard_InChIKey,FGFR1,MAP2K1,63,0.47619047619047616,0.5714285714285714,0.09523809523809523
PKIS2,exact_full_standard_InChIKey,FGFR1,MAPK1,68,0.5220588235294118,0.5441176470588235,0.022058823529411686
PKIS2,exact_full_standard_InChIKey,FGFR1,MAPK14,91,0.554945054945055,0.5714285714285714,0.016483516483516425
PKIS2,exact_full_standard_InChIKey,FGFR1,MAPKAPK2,70,0.4928571428571429,0.45714285714285713,-0.035714285714285754
PKIS2,exact_full_standard_InChIKey,FGFR1,MET,69,0.5507246376811594,0.5217391304347826,-0.02898550724637683
PKIS2,exact_full_standard_InChIKey,FGFR1,PLK1,68,0.5,0.4852941176470588,-0.01470588235294118
PKIS2,exact_full_standard_InChIKey,FGFR1,ROCK1,82,0.5,0.4878048780487805,-0.012195121951219523
PKIS2,exact_full_standard_InChIKey,FGFR1,SRC,58,0.45689655172413796,0.46551724137931033,0.008620689655172376
PKIS2,exact_full_standard_InChIKey,IGF1R,JAK2,70,0.6642857142857143,0.5285714285714286,-0.13571428571428568
PKIS2,exact_full_standard_InChIKey,IGF1R,KDR,75,0.7266666666666667,0.6933333333333334,-0.033333333333333326
PKIS2,exact_full_standard_InChIKey,IGF1R,KIT,100,0.67,0.66,-0.010000000000000009
PKIS2,exact_full_standard_InChIKey,IGF1R,LCK,83,0.5301204819277109,0.4939759036144578,-0.03614457831325307
PKIS2,exact_full_standard_InChIKey,IGF1R,MAP2K1,52,0.6634615384615384,0.5,-0.16346153846153844
PKIS2,exact_full_standard_InChIKey,IGF1R,MAPK1,47,0.35106382978723405,0.3404255319148936,-0.010638297872340441
PKIS2,exact_full_standard_InChIKey,IGF1R,MAPK14,75,0.3933333333333333,0.4666666666666667,0.07333333333333336
PKIS2,exact_full_standard_InChIKey,IGF1R,MAPKAPK2,44,0.3409090909090909,0.3409090909090909,0.0
PKIS2,exact_full_standard_InChIKey,IGF1R,MET,51,0.6862745098039216,0.5294117647058824,-0.1568627450980392
PKIS2,exact_full_standard_InChIKey,IGF1R,PLK1,63,0.6984126984126984,0.5396825396825397,-0.15873015873015872
PKIS2,exact_full_standard_InChIKey,IGF1R,ROCK1,71,0.6619718309859155,0.49295774647887325,-0.16901408450704225
PKIS2,exact_full_standard_InChIKey,IGF1R,SRC,51,0.5784313725490197,0.5882352941176471,0.009803921568627416
PKIS2,exact_full_standard_InChIKey,JAK2,KDR,84,0.5297619047619048,0.5357142857142857,0.005952380952380931
PKIS2,exact_full_standard_InChIKey,JAK2,KIT,107,0.514018691588785,0.6355140186915887,0.12149532710280375
PKIS2,exact_full_standard_InChIKey,JAK2,LCK,92,0.43478260869565216,0.5108695652173914,0.07608695652173919
PKIS2,exact_full_standard_InChIKey,JAK2,MAP2K1,75,0.43333333333333335,0.5333333333333333,0.09999999999999998
PKIS2,exact_full_standard_InChIKey,JAK2,MAPK1,73,0.5136986301369864,0.5616438356164384,0.047945205479452024
PKIS2,exact_full_standard_InChIKey,JAK2,MAPK14,99,0.5454545454545454,0.5454545454545454,0.0
PKIS2,exact_full_standard_InChIKey,JAK2,MAPKAPK2,78,0.5512820512820513,0.3717948717948718,-0.17948717948717952
PKIS2,exact_full_standard_InChIKey,JAK2,MET,74,0.5608108108108109,0.5540540540540541,-0.006756756756756799
PKIS2,exact_full_standard_InChIKey,JAK2,PLK1,77,0.5454545454545454,0.5324675324675324,-0.012987012987012991
PKIS2,exact_full_standard_InChIKey,JAK2,ROCK1,83,0.37349397590361444,0.3855421686746988,0.012048192771084376
PKIS2,exact_full_standard_InChIKey,JAK2,SRC,75,0.54,0.5066666666666667,-0.033333333333333326
PKIS2,exact_full_standard_InChIKey,KDR,KIT,80,0.4625,0.475,0.012499999999999956
PKIS2,exact_full_standard_InChIKey,KDR,LCK,90,0.6222222222222222,0.6333333333333333,0.011111111111111072
PKIS2,exact_full_standard_InChIKey,KDR,MAP2K1,71,0.6056338028169014,0.6338028169014085,0.028169014084507116
PKIS2,exact_full_standard_InChIKey,KDR,MAPK1,68,0.6691176470588235,0.7352941176470589,0.06617647058823539
PKIS2,exact_full_standard_InChIKey,KDR,MAPK14,95,0.6684210526315789,0.6631578947368421,-0.0052631578947368585
PKIS2,exact_full_standard_InChIKey,KDR,MAPKAPK2,77,0.6688311688311688,0.5974025974025974,-0.0714285714285714
PKIS2,exact_full_standard_InChIKey,KDR,MET,73,0.5068493150684932,0.4931506849315068,-0.013698630136986356
PKIS2,exact_full_standard_InChIKey,KDR,PLK1,86,0.6511627906976745,0.6395348837209303,-0.011627906976744207
PKIS2,exact_full_standard_InChIKey,KDR,ROCK1,94,0.6117021276595744,0.6170212765957447,0.005319148936170248
PKIS2,exact_full_standard_InChIKey,KDR,SRC,61,0.6065573770491803,0.5737704918032787,-0.032786885245901676
PKIS2,exact_full_standard_InChIKey,KIT,LCK,87,0.6264367816091954,0.6436781609195402,0.017241379310344862
PKIS2,exact_full_standard_InChIKey,KIT,MAP2K1,108,0.35648148148148145,0.5277777777777778,0.17129629629629634
PKIS2,exact_full_standard_InChIKey,KIT,MAPK1,100,0.405,0.67,0.265
PKIS2,exact_full_standard_InChIKey,KIT,MAPK14,105,0.638095238095238,0.5904761904761905,-0.04761904761904756
PKIS2,exact_full_standard_InChIKey,KIT,MAPKAPK2,104,0.5769230769230769,0.5288461538461539,-0.04807692307692302
PKIS2,exact_full_standard_InChIKey,KIT,MET,115,0.44782608695652176,0.5826086956521739,0.13478260869565212
PKIS2,exact_full_standard_InChIKey,KIT,PLK1,109,0.40825688073394495,0.5229357798165137,0.11467889908256879
PKIS2,exact_full_standard_InChIKey,KIT,ROCK1,110,0.4681818181818182,0.5727272727272728,0.10454545454545455
PKIS2,exact_full_standard_InChIKey,KIT,SRC,92,0.5706521739130435,0.5869565217391305,0.01630434782608703
PKIS2,exact_full_standard_InChIKey,LCK,MAP2K1,92,0.2554347826086957,0.4673913043478261,0.21195652173913043
PKIS2,exact_full_standard_InChIKey,LCK,MAPK1,86,0.31976744186046513,0.4418604651162791,0.12209302325581395
PKIS2,exact_full_standard_InChIKey,LCK,MAPK14,105,0.5571428571428572,0.5523809523809524,-0.004761904761904745
PKIS2,exact_full_standard_InChIKey,LCK,MAPKAPK2,93,0.44086021505376344,0.40860215053763443,-0.032258064516129004
PKIS2,exact_full_standard_InChIKey,LCK,MET,94,0.4734042553191489,0.5425531914893617,0.06914893617021273
PKIS2,exact_full_standard_InChIKey,LCK,PLK1,93,0.3870967741935484,0.41935483870967744,0.03225806451612906
PKIS2,exact_full_standard_InChIKey,LCK,ROCK1,100,0.455,0.57,0.11499999999999994
PKIS2,exact_full_standard_InChIKey,LCK,SRC,79,0.47468354430379744,0.5443037974683544,0.069620253164557
PKIS2,exact_full_standard_InChIKey,MAP2K1,MAPK1,57,0.5964912280701754,0.543859649122807,-0.05263157894736836
PKIS2,exact_full_standard_InChIKey,MAP2K1,MAPK14,87,0.3448275862068966,0.4942528735632184,0.14942528735632182
PKIS2,exact_full_standard_InChIKey,MAP2K1,MAPKAPK2,62,0.6209677419354839,0.5161290322580645,-0.10483870967741937
PKIS2,exact_full_standard_InChIKey,MAP2K1,MET,72,0.4305555555555556,0.4305555555555556,0.0
PKIS2,exact_full_standard_InChIKey,MAP2K1,PLK1,59,0.5508474576271186,0.5084745762711864,-0.0423728813559322
PKIS2,exact_full_standard_InChIKey,MAP2K1,ROCK1,80,0.43125,0.5,0.06874999999999998
PKIS2,exact_full_standard_InChIKey,MAP2K1,SRC,64,0.390625,0.53125,0.140625
PKIS2,exact_full_standard_InChIKey,MAPK1,MAPK14,73,0.2671232876712329,0.4931506849315068,0.22602739726027393
PKIS2,exact_full_standard_InChIKey,MAPK1,MAPKAPK2,52,0.49038461538461536,0.5384615384615384,0.04807692307692307
PKIS2,exact_full_standard_InChIKey,MAPK1,MET,53,0.5283018867924528,0.5283018867924528,0.0
PKIS2,exact_full_standard_InChIKey,MAPK1,PLK1,66,0.6666666666666666,0.5606060606060606,-0.10606060606060608
PKIS2,exact_full_standard_InChIKey,MAPK1,ROCK1,72,0.4027777777777778,0.4583333333333333,0.055555555555555525
PKIS2,exact_full_standard_InChIKey,MAPK1,SRC,52,0.4519230769230769,0.5384615384615384,0.08653846153846151
PKIS2,exact_full_standard_InChIKey,MAPK14,MAPKAPK2,80,0.50625,0.5625,0.05625000000000002
PKIS2,exact_full_standard_InChIKey,MAPK14,MET,92,0.5543478260869565,0.6304347826086957,0.07608695652173914
PKIS2,exact_full_standard_InChIKey,MAPK14,PLK1,96,0.40625,0.6041666666666666,0.19791666666666663
PKIS2,exact_full_standard_InChIKey,MAPK14,ROCK1,88,0.4375,0.4772727272727273,0.03977272727272729
PKIS2,exact_full_standard_InChIKey,MAPK14,SRC,79,0.46835443037974683,0.5443037974683544,0.07594936708860761
PKIS2,exact_full_standard_InChIKey,MAPKAPK2,MET,64,0.625,0.46875,-0.15625
PKIS2,exact_full_standard_InChIKey,MAPKAPK2,PLK1,72,0.6388888888888888,0.5555555555555556,-0.08333333333333326
PKIS2,exact_full_standard_InChIKey,MAPKAPK2,ROCK1,69,0.5144927536231884,0.37681159420289856,-0.1376811594202898
PKIS2,exact_full_standard_InChIKey,MAPKAPK2,SRC,67,0.47761194029850745,0.3880597014925373,-0.08955223880597013
PKIS2,exact_full_standard_InChIKey,MET,PLK1,75,0.6066666666666667,0.5866666666666667,-0.020000000000000018
PKIS2,exact_full_standard_InChIKey,MET,ROCK1,97,0.5154639175257731,0.5051546391752577,-0.010309278350515427
PKIS2,exact_full_standard_InChIKey,MET,SRC,54,0.5277777777777778,0.5370370370370371,0.0092592592592593
PKIS2,exact_full_standard_InChIKey,PLK1,ROCK1,84,0.47619047619047616,0.5952380952380952,0.11904761904761907
PKIS2,exact_full_standard_InChIKey,PLK1,SRC,73,0.6301369863013698,0.5205479452054794,-0.1095890410958904
PKIS2,exact_full_standard_InChIKey,ROCK1,SRC,80,0.51875,0.5375,0.018749999999999933
DAVIS,exact_full_standard_InChIKey,ABL1,AKT1,33,0.5757575757575758,0.5757575757575758,0.0
DAVIS,exact_full_standard_InChIKey,ABL1,AKT2,33,0.696969696969697,0.48484848484848486,-0.21212121212121215
DAVIS,exact_full_standard_InChIKey,ABL1,CDK2,37,0.7162162162162162,0.5945945945945946,-0.1216216216216216
DAVIS,exact_full_standard_InChIKey,ABL1,CSF1R,32,0.46875,0.40625,-0.0625
DAVIS,exact_full_standard_InChIKey,ABL1,EGFR,33,0.5151515151515151,0.5151515151515151,0.0
DAVIS,exact_full_standard_InChIKey,ABL1,FGFR1,26,0.7692307692307693,0.5,-0.2692307692307693
DAVIS,exact_full_standard_InChIKey,ABL1,IGF1R,32,0.796875,0.53125,-0.265625
DAVIS,exact_full_standard_InChIKey,ABL1,JAK2,32,0.578125,0.53125,-0.046875
DAVIS,exact_full_standard_InChIKey,ABL1,KDR,31,0.6129032258064516,0.5483870967741935,-0.06451612903225812
