discovery,validation,role,minimum_pair_support_in_each_panel,eligible_target_pairs,discovery_ligands,validation_ligands,discovery_match,validation_match,pairs_selecting_residual,fraction_pairs_selecting_residual,selected_global_alpha,globally_selected_single_representation,pair_weighted_absolute_accuracy,pair_weighted_residual_accuracy,pair_weighted_globally_selected_single_accuracy,pair_weighted_globally_selected_alpha_mixture_accuracy,pair_weighted_discovery_experimental_target_mean_prior_accuracy,pair_weighted_transferred_pair_rule_accuracy,pair_weighted_rule_minus_absolute,pair_weighted_rule_minus_residual,pair_weighted_rule_minus_global_alpha_mixture,pair_weighted_rule_minus_target_mean_prior,pair_weighted_rule_minus_validation_oracle_best_single,equal_target_pair_absolute_accuracy,equal_target_pair_residual_accuracy,equal_target_pair_globally_selected_single_accuracy,equal_target_pair_globally_selected_alpha_mixture_accuracy,equal_target_pair_discovery_experimental_target_mean_prior_accuracy,equal_target_pair_transferred_pair_rule_accuracy,equal_target_pair_rule_minus_absolute,equal_target_pair_rule_minus_residual,equal_target_pair_rule_minus_global_alpha_mixture,equal_target_pair_rule_minus_target_mean_prior,equal_target_pair_rule_minus_validation_oracle_best_single,normalization_gain_spearman,normalization_gain_sign_agreement,prior_tied_cells,prior_reversal_cells,prior_reversal_absolute_accuracy,prior_reversal_residual_accuracy,prior_reversal_transferred_pair_rule_accuracy,prior_routine_cells,prior_routine_absolute_accuracy,prior_routine_residual_accuracy,prior_routine_transferred_pair_rule_accuracy
PKIS1,PKIS2,connectivity_match_sensitivity,5,187,220,154,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,100,0.5347593582887701,1.0,residual,0.5251257967125126,0.5282120093928212,0.5282120093928212,0.5282120093928212,0.6568265682656826,0.5517946997651795,0.026668903052666892,0.023582690372358273,0.023582690372358273,-0.10503186850050317,0.023582690372358273,0.5229087007666515,0.5243581202134742,0.5243581202134742,0.5243581202134742,0.644392380854732,0.5470142144205251,0.02410551365387359,0.022656094207050947,0.022656094207050947,-0.09737816643420694,0.022656094207050947,0.6288005632418898,0.6951871657754011,0,5115,0.5366568914956011,0.5004887585532747,0.45640273704789835,9790,0.5191011235955056,0.5426966292134832,0.6016343207354443
PKIS1,DAVIS,connectivity_match_sensitivity,5,183,220,59,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,99,0.5409836065573771,1.0,residual,0.4916462463800401,0.49788371574961016,0.49788371574961016,0.49788371574961016,0.7224326130541323,0.5329694809534418,0.041323234573401646,0.03508576520383161,0.03508576520383161,-0.18946313210069055,0.03508576520383161,0.49219239982980195,0.49170115228161,0.49170115228161,0.49170115228161,0.7106337222950995,0.5268676753125059,0.03467527548270394,0.0351665230308959,0.0351665230308959,-0.18376604698259358,0.03467527548270394,0.5681756877517682,0.6284153005464481,0,1246,0.5762439807383628,0.5192616372391653,0.48675762439807385,3243,0.4591427690410114,0.4896700585877274,0.5507246376811594
PKIS2,DAVIS,primary_exact_full_key_transfer,10,177,154,59,exact_full_standard_InChIKey,exact_full_standard_InChIKey,82,0.4632768361581921,0.65,residual,0.49147408570787526,0.4994390845860444,0.4994390845860444,0.4971954229302221,0.7594794704958492,0.5373569665694413,0.045882880861566055,0.037917881983396906,0.0401615436392192,-0.22212250392640787,0.037917881983396906,0.4907955499630336,0.49650009726972316,0.49650009726972316,0.4944280726533841,0.7469600062733432,0.5320032173504602,0.041207667387426594,0.03550312008073703,0.03757514469707607,-0.21495678892288306,0.03550312008073703,0.6212911425838706,0.6497175141242938,0,1072,0.5237873134328358,0.4916044776119403,0.4626865671641791,3385,0.4812407680945347,0.50192023633678,0.5610044313146233
DAVIS,PKIS2,primary_exact_full_key_transfer,10,177,59,154,exact_full_standard_InChIKey,exact_full_standard_InChIKey,81,0.4576271186440678,0.9500000000000001,residual,0.5250765164162493,0.5290066777963273,0.5290066777963273,0.5295631608235949,0.6840567612687813,0.5502573734001113,0.025180856983861966,0.02125069560378401,0.02069421257651638,-0.13379938786867007,0.02125069560378401,0.5232540479874201,0.5258078128190579,0.5258078128190579,0.5264053972900419,0.6791199719660839,0.5464327540986597,0.02317870611123951,0.020624941279601794,0.02002735680861778,-0.1326872178674242,0.020624941279601794,0.6212911425838706,0.6497175141242938,0,4542,0.5082562747688243,0.49713782474680757,0.4396741523557904,9834,0.532845230831808,0.5437258490949766,0.6013321130770796
PKIS2,PKIS1,connectivity_match_sensitivity,10,186,154,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,86,0.46236559139784944,0.65,residual,0.5229116945107398,0.555744971019434,0.555744971019434,0.5494033412887828,0.7486532560518241,0.5767473576542789,0.05383566314353905,0.021002386634844883,0.027344016365496104,-0.17190589839754522,0.021002386634844883,0.524010702585529,0.5465639429816028,0.5465639429816028,0.5420628972691841,0.728449050352684,0.5724234786903087,0.04841277610477979,0.025859535708705916,0.030360581421124633,-0.1560255716623753,0.025859535708705916,0.643998881071497,0.6989247311827957,0,3686,0.5032555615843733,0.518176885512751,0.4671730873575692,10979,0.5295108844157027,0.5683577739320521,0.613534930321523
DAVIS,PKIS1,connectivity_match_sensitivity,10,176,59,220,exact_full_standard_InChIKey,standard_InChI_connectivity_block_sensitivity,81,0.4602272727272727,0.9500000000000001,residual,0.5211721817162086,0.5567863151991026,0.5567863151991026,0.5555945036455412,0.7526640493550196,0.5736118900729108,0.0524397083567022,0.016825574873808202,0.01801738642736961,-0.17905215928210882,0.016825574873808202,0.5195886454839879,0.5479310356727628,0.5479310356727628,0.5472663074232114,0.7300541032193302,0.5661993331159005,0.04661068763191267,0.018268297443137738,0.018933025692689176,-0.16385477010342964,0.018268297443137738,0.5533670970647027,0.625,0,3528,0.5225340136054422,0.5399659863945578,0.4713718820861678,10736,0.5207246646795827,0.5623137108792846,0.6072093889716841
PKIS1,PKIS2,connectivity_match_sensitivity,10,186,220,154,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,100,0.5376344086021505,1.0,residual,0.5255857796929706,0.5283463506598438,0.5283463506598438,0.5283463506598438,0.6574872071101535,0.5523498518718017,0.026764072178831144,0.024003501211957934,0.024003501211957934,-0.10513735523835177,0.024003501211957934,0.5235897883240296,0.5245397980762571,0.5245397980762571,0.5245397980762571,0.6453208446592867,0.5478249015136767,0.024235113189647106,0.02328510343741963,0.02328510343741963,-0.09749594314561005,0.02328510343741963,0.643998881071497,0.6989247311827957,0,5087,0.5390210340082563,0.5002948692746216,0.4583251425201494,9765,0.5185867895545315,0.5429595494111623,0.601331285202253
PKIS1,DAVIS,connectivity_match_sensitivity,10,176,220,59,standard_InChI_connectivity_block_sensitivity,exact_full_standard_InChIKey,96,0.5454545454545454,1.0,residual,0.4908722109533469,0.4992111787243633,0.4992111787243633,0.4992111787243633,0.7205318909172864,0.5324543610547667,0.04158215010141986,0.03324318233040341,0.03324318233040341,-0.1880775298625197,0.03324318233040341,0.49003302467873266,0.4961961205496648,0.4961961205496648,0.4961961205496648,0.7035665750667568,0.5251855545344409,0.03515252985570827,0.02898943398477616,0.02898943398477616,-0.17838102053231586,0.02898943398477616,0.5533670970647027,0.625,0,1240,0.5774193548387097,0.5209677419354839,0.4883064516129032,3197,0.45730372223959964,0.49077259931185485,0.549577729121051
PKIS2,DAVIS,primary_exact_full_key_transfer,15,159,154,59,exact_full_standard_InChIKey,exact_full_standard_InChIKey,72,0.4528301886792453,0.65,residual,0.4982348787950106,0.5043539656389738,0.5043539656389738,0.5024711696869851,0.761826312073429,0.5440103553777359,0.045775476582725294,0.039656389738762066,0.04153918569075077,-0.2178159566956931,0.039656389738762066,0.5063117165170286,0.5070849343567819,0.5070849343567819,0.5059490779357455,0.7521609398871074,0.5466006784023262,0.040288961885297625,0.039515744045544254,0.04065160046658067,-0.20556026148478124,0.039515744045544254,0.6481438851782086,0.6666666666666666,0,1012,0.5296442687747036,0.4950592885375494,0.4659090909090909,3237,0.48841519925857274,0.5072598084646277,0.5684275563793636
DAVIS,PKIS2,primary_exact_full_key_transfer,15,159,59,154,exact_full_standard_InChIKey,exact_full_standard_InChIKey,72,0.4528301886792453,0.5,residual,0.5310910333308025,0.5312428820894389,0.5312428820894389,0.5329891428137575,0.6821805481740186,0.5557284944195581,0.02463746108875553,0.024485612330119144,0.02273935160580054,-0.12645205375446056,0.024485612330119144,0.530144154502992,0.5291655103330335,0.5291655103330335,0.5305620424513348,0.678527050311957,0.5531848889647347,0.023040734461742707,0.024019378631701227,0.022622846513399963,-0.12534216134722231,0.023040734461742707,0.6481438851782086,0.6666666666666666,0,4186,0.49976110845676064,0.4952221691352126,0.4319159101767797,8985,0.5456872565386756,0.5480244852531998,0.6134112409571508
