representation,primary_representation,panel,analysis_role,metric,observed_candidate,observed_full,observed_candidate_minus_full,random_mean,random_median,random_interval_95_low,random_interval_95_high,one_sided_p_random_at_least_observed_candidate,repeats,seed
normalized_low_mode_correlation,True,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,average_precision,0.325301571372838,0.308251146419396,0.0170504249534422,0.123066723901157,0.116327936662305,0.0861160154615678,0.196579613363424,0.000249987500624969,20000,20560808
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,continuous_spearman,0.196805276717098,0.173642658128742,0.0231626185883557,0.00337893459652622,-0.0076937544559479,-0.115221168103505,0.178475158227156,0.0180990950452477,20000,20560808
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,roc_auc,0.676515851031086,0.663588796552785,0.012927054478301,0.501910911049554,0.500461680517082,0.37149892274546,0.639281317328408,0.00759962001899905,20000,20560808
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,average_precision,0.312161516497472,0.300109887900361,0.0120516285971117,0.124198067870227,0.115523228969276,0.0813387916545601,0.214685056430869,0.00114994250287486,20000,20560808
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.29455751070521,0.279799848661794,0.0147576620434157,0.00372503142673438,-0.0045865099047794,-0.116810569180368,0.172093191092915,0.00204989750512474,20000,20560808
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,roc_auc,0.775007694675285,0.755001538935057,0.0200061557402278,0.499529793782702,0.497076023391813,0.371806709756848,0.642351492767005,0.000249987500624969,20000,20560808
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,average_precision,0.34576992261493,0.340401703624513,0.00536821899041712,0.122930494496023,0.114106992677502,0.0808497882857542,0.213010499698229,0.000499975001249937,20000,20560808
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.294261832591951,0.287170806597646,0.00709102599430511,0.00158866538072931,-0.00779348021012391,-0.118244564290307,0.174426598783171,0.00254987250637468,20000,20560808
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,roc_auc,0.723607263773469,0.713142505386273,0.0104647583871961,0.498708510310865,0.496152662357648,0.373961218836565,0.637426900584795,0.00169991500424979,20000,20560808
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,average_precision,0.306038001376597,0.294867041452308,0.0111709599242894,0.122668165696287,0.113946676811325,0.0814209448060683,0.212669020934154,0.00139993000349982,20000,20560808
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.348839813320387,0.321588438810814,0.0272513745095724,0.00268447759888377,-0.00830960472735066,-0.114345199823293,0.181708590848849,0.00104994750262487,20000,20560808
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,roc_auc,0.78731917513081,0.743613419513697,0.043705755617113,0.503928424130502,0.499846106494306,0.383194829178209,0.64481378885811,0.000199990000499975,20000,20560808
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,average_precision,0.32421610043567,0.289484694181368,0.034731406254302,0.125374691123033,0.115933863112358,0.0832974174841247,0.221087022339603,0.00124993750312484,20000,20560808
communality_weighted_spectral_kernel,False,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,continuous_spearman,0.312553052205849,0.296186364690085,0.0163666875157643,0.00266605813544915,-0.00733188410234428,-0.107738587305961,0.166900511896378,0.00134993250337483,20000,20560808
communality_weighted_spectral_kernel,False,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,roc_auc,0.761978044526521,0.737252487945009,0.0247255565815124,0.500722242741356,0.497281214732738,0.395403713963271,0.622966040833076,9.99950002499875e-05,20000,20560808
communality_weighted_spectral_kernel,False,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,average_precision,0.325341341475732,0.308251146419396,0.0170901950563362,0.123657783771781,0.116315948953324,0.0864652635466037,0.202037075090608,0.000349982500874956,20000,20560808
