dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
CDK2,19,5,0.533470136321695,PKIS1,post_hoc_discovery,18,171,0.204295965632275,0.675381263616558,0.262313449952799,0.243420452636379,0.039124487004104,0.707334785766158,0.0319535221496006,0.289429917852268,0.0271164678994694,0.221170230638155,0.01687426500588,0.689905591866376,0.0145243282498185,0.282022058682748,0.0197086087299491
CDK2,19,5,0.533470136321695,DAVIS,locked_no_retuning_evaluation,18,171,0.250586795305638,0.731299927378359,0.303615748120374,0.292046463628291,0.0414596683226534,0.788307915758896,0.0570079883805373,0.360629663557817,0.0570139154374427,0.26577867377061,0.0151918784649723,0.764705882352941,0.0334059549745823,0.323182510153384,0.0195667620330098
CDK2,19,5,0.533470136321695,PKIS2,locked_no_retuning_evaluation,18,171,0.276376988984088,0.729121278140886,0.3218187687126,0.305743154054768,0.0293661650706795,0.748366013071895,0.0192447349310094,0.30938069744453,-0.0124380712680706,0.282900136798906,0.0065231478148175,0.740740740740741,0.0116194625998547,0.328635616120599,0.00681684740799832
CDK2,19,5,0.533470136321695,KiRHub,locked_no_retuning_evaluation,18,171,0.293260853913169,0.763253449527959,0.305237236947023,0.346010031919745,0.0527491780065759,0.814451706608569,0.05119825708061,0.368652526359191,0.0634152894121675,0.322360621115031,0.0290997672018624,0.790849673202614,0.027596223674655,0.32878648340499,0.0235492464579671
CSF1R,19,5,0.528334825865784,PKIS1,post_hoc_discovery,18,171,0.163685890512876,0.640885984023239,0.256793083164838,0.191321669426645,0.0276357789137687,0.664124909222948,0.0232389251997095,0.275042040182143,0.0182489570173043,0.175426596587227,0.0117407060743514,0.648148148148148,0.00726216412490921,0.266079690422445,0.00928660725760627
CSF1R,19,5,0.528334825865784,DAVIS,locked_no_retuning_evaluation,18,171,0.27999376004992,0.792302106027596,0.387349677677216,0.331271749826001,0.0512779897760818,0.827886710239651,0.0355846042120552,0.433957698605538,0.0466080209283223,0.300875992992056,0.0208822329421365,0.809731299927378,0.0174291938997821,0.37042789866928,-0.0169217790079359
CSF1R,19,5,0.528334825865784,PKIS2,locked_no_retuning_evaluation,18,171,0.293083255333957,0.741830065359477,0.349448224675585,0.33249334005328,0.0394100847193222,0.774872912127814,0.0330428467683369,0.342814003690159,-0.00663422098542599,0.304739962080303,0.011656706746346,0.769063180827887,0.0272331154684096,0.349687881318093,0.000239656642507302
CSF1R,19,5,0.528334825865784,KiRHub,locked_no_retuning_evaluation,18,171,0.323231814145487,0.739651416122004,0.297395882521397,0.375112199102407,0.0518803849569204,0.793391430646333,0.0537400145243282,0.304852055217028,0.00745617269563081,0.346552427580579,0.0233206134350926,0.777414669571532,0.0377632534495279,0.301825361558984,0.00442947903758761
EGFR,19,5,0.53465546774239,PKIS1,post_hoc_discovery,18,171,0.186224110207118,0.654684095860566,0.299465120390902,0.202236782105743,0.0160126718986248,0.669208424110385,0.0145243282498185,0.275707905911572,-0.0237572144793299,0.194511243910049,0.00828713370293035,0.673928830791576,0.0192447349310094,0.337244075732072,0.0377789553411704
EGFR,19,5,0.53465546774239,DAVIS,locked_no_retuning_evaluation,18,171,0.306731946144431,0.733478576615831,0.307676884470479,0.319639042887657,0.0129070967432261,0.747639796659404,0.014161220043573,0.291703078830786,-0.0159738056396926,0.303050375596995,-0.00368157054743556,0.746187363834423,0.0127087872185911,0.313896784145926,0.00621989967544717
