control,panel,grouping,physicochemical_minus_control_point,bootstrap_mean,bootstrap_median,conditional_coarsened_sensitivity_low95,conditional_coarsened_sensitivity_high95
morgan_normalized_bit_rp_7_seed_a,PKIS1,murcko_generic_framework,-0.078247975960844499,-0.078402780074094486,-0.078406312465281902,-0.08312753961693059,-0.073702537320613895
morgan_normalized_bit_rp_7_seed_a,PKIS1,generic_murcko_or_acyclic_topology,-0.078247975960844499,-0.078469798230305268,-0.078438679596023186,-0.083278046774877892,-0.073716446438959513
morgan_normalized_bit_rp_7_seed_a,KiRHub,murcko_scaffold,0.059873943147572217,0.061047723322267246,0.061215866892361748,0.054292581366155397,0.066469883259632531
morgan_normalized_bit_rp_7_seed_a,KiRHub,murcko_generic_framework,0.059873943147572217,0.061045235777051676,0.061140635183071057,0.052870395885000532,0.067911970152256709
morgan_normalized_bit_rp_7_seed_a,KiRHub,generic_murcko_or_acyclic_topology,0.059873943147572217,0.060996135714504386,0.061191372847476375,0.053090667331505074,0.067803015391882715
morgan_normalized_bit_rp_7_seed_b,DAVIS,murcko_scaffold,-0.089544979376888822,-0.08892160103574806,-0.088952748363054029,-0.092458021143609292,-0.085242731610876907
morgan_normalized_bit_rp_7_seed_b,DAVIS,murcko_generic_framework,-0.089544979376888822,-0.089092570168877588,-0.089114584016760812,-0.094097547533755724,-0.084317206629138039
morgan_normalized_bit_rp_7_seed_b,DAVIS,generic_murcko_or_acyclic_topology,-0.089544979376888822,-0.089110336399462794,-0.089111959654808892,-0.094001277189483298,-0.084110188210491071
morgan_normalized_bit_rp_7_seed_b,PKIS2,murcko_scaffold,-0.13200890533489038,-0.13166965826433444,-0.13170272977382369,-0.13535238620110496,-0.12781154456822699
morgan_normalized_bit_rp_7_seed_b,PKIS2,murcko_generic_framework,-0.13200890533489038,-0.13180338140289635,-0.13184969404313565,-0.13708472752562034,-0.12651143565720593
morgan_normalized_bit_rp_7_seed_b,PKIS2,generic_murcko_or_acyclic_topology,-0.13200890533489038,-0.13181069637444393,-0.13182694957288499,-0.1368609131904806,-0.12642601267566816
morgan_normalized_bit_rp_7_seed_b,PKIS1,murcko_scaffold,-0.10494823446049682,-0.10512742414500476,-0.10511881798737685,-0.10836712199346538,-0.10182519999825045
morgan_normalized_bit_rp_7_seed_b,PKIS1,murcko_generic_framework,-0.10494823446049682,-0.10523066059564271,-0.10524653693570755,-0.10992752387075895,-0.10054949765338304
morgan_normalized_bit_rp_7_seed_b,PKIS1,generic_murcko_or_acyclic_topology,-0.10494823446049682,-0.10525220170845964,-0.10525003608497689,-0.10996282153901332,-0.1005561897763607
morgan_normalized_bit_rp_7_seed_b,KiRHub,murcko_scaffold,-0.095176860125882001,-0.094157645772371623,-0.094225091524623161,-0.09877227973948817,-0.089429463711635168
morgan_normalized_bit_rp_7_seed_b,KiRHub,murcko_generic_framework,-0.095176860125882001,-0.094208417728439797,-0.09426358216658573,-0.10027555800495989,-0.08769720986585143
morgan_normalized_bit_rp_7_seed_b,KiRHub,generic_murcko_or_acyclic_topology,-0.095176860125882001,-0.094241105031339298,-0.094361558346127167,-0.10025272605597775,-0.087625477305830132
stable_hash_nuisance_7,DAVIS,murcko_scaffold,0.0083997078210361065,0.0083989621523268103,0.0083979582464013547,0.0051751542906133185,0.011400228319489921
stable_hash_nuisance_7,DAVIS,murcko_generic_framework,0.0083997078210361065,0.0081849401864172583,0.00818713450292409,0.0045172704886125657,0.011886916243488413
stable_hash_nuisance_7,DAVIS,generic_murcko_or_acyclic_topology,0.0083997078210361065,0.0081109156836245005,0.0080777860882573771,0.0042129757202780107,0.011916396576082604
stable_hash_nuisance_7,PKIS2,murcko_scaffold,-0.031123183176090197,-0.031064243505797593,-0.031138929347802352,-0.034378266783888112,-0.02746657218963644
stable_hash_nuisance_7,PKIS2,murcko_generic_framework,-0.031123183176090197,-0.031216201760946818,-0.031224658504901012,-0.034946441146496185,-0.027447239389923297
stable_hash_nuisance_7,PKIS2,generic_murcko_or_acyclic_topology,-0.031123183176090197,-0.031281157168663323,-0.031302514576143636,-0.035221211842870706,-0.027330061628766458
stable_hash_nuisance_7,PKIS1,murcko_scaffold,-0.00582608353344094,-0.0058059980667200311,-0.0059371815227422797,-0.0090858035140206177,-0.0018454513246466528
stable_hash_nuisance_7,PKIS1,murcko_generic_framework,-0.00582608353344094,-0.0059117811981961891,-0.0059476789705503047,-0.0095599819793812622,-0.0019588237609731722
stable_hash_nuisance_7,PKIS1,generic_murcko_or_acyclic_topology,-0.00582608353344094,-0.0059886113188731003,-0.0060027905715422936,-0.0099377151430058881,-0.0019699335599032532
stable_hash_nuisance_7,KiRHub,murcko_scaffold,-0.059866944849033654,-0.059305960888259054,-0.059414679805972148,-0.064010200020120117,-0.054530610995201748
stable_hash_nuisance_7,KiRHub,murcko_generic_framework,-0.059866944849033654,-0.0594402127482756,-0.059587012907486997,-0.065220818188577889,-0.053363775931976609
stable_hash_nuisance_7,KiRHub,generic_murcko_or_acyclic_topology,-0.059866944849033654,-0.059536139826004822,-0.059617630463593668,-0.065421888053466895,-0.053360233043341351
outcome_rank7_svd_transported_oracle,DAVIS,murcko_scaffold,-0.011935598157697791,-0.011401125851277318,-0.011195528087233675,-0.017759975855869983,-0.0062598030853747693
outcome_rank7_svd_transported_oracle,DAVIS,murcko_generic_framework,-0.011935598157697791,-0.011412723081700675,-0.011239267453100332,-0.020807953566289148,-0.0033235794547449467
