seed,panel,component_remainder_spearman,component_remainder_pearson,partial_spearman_component,partial_spearman_remainder,standardized_beta_component,standardized_beta_remainder,joint_rank_r2,semipartial_rank_r2_component,semipartial_rank_r2_remainder
20260913,PKIS2,0.37504669177306271,0.34193626154564566,0.26226658543683312,0.1218155812266751,0.27548458544522508,0.12440242768059262,0.11707413458718197,0.065216820709437795,0.013299114589632288
20260913,PKIS1,0.37504669177306271,0.34193626154564566,0.13492802071920285,0.0712176935980387,0.1443211770950662,0.075671137761690002,0.034746453840492131,0.017898850540938982,0.0049206847773028972
20260913,KiRHub,0.37504669177306271,0.34193626154564566,0.34799887415054348,0.10876553619191266,0.36406821898025521,0.10731225668430611,0.17336697353058728,0.11390179161575076,0.0098960908243881374
20260914,DAVIS,0.42696356948216968,0.39469805034440014,0.21132974979498581,0.11784042497628615,0.22785257430418526,0.12505557006944584,0.091887690573046354,0.042452473337890373,0.012787957939840111
20260914,PKIS2,0.42696356948216968,0.39469805034440014,0.19364482117834952,0.12924439236931298,0.20856616726421146,0.13772358538596538,0.086996245418805795,0.035569915977529232,0.015509998617332377
20260914,PKIS1,0.42696356948216968,0.39469805034440014,0.064973580567820946,0.089284442964786465,0.071256128385259035,0.098102606101735948,0.020670859586356394,0.0041518299952905124,0.0078696643167164293
20260914,KiRHub,0.42696356948216968,0.39469805034440014,0.26978283852576557,0.11649914059356897,0.28927943554561347,0.12111112067883821,0.12826779565899182,0.068427431937360672,0.011993975688729952
20260915,DAVIS,0.47184190843601154,0.44603353942241097,0.17660337017433586,0.12213539620091722,0.19512510195407567,0.13382550410328836,0.080625217645943437,0.0295972518711618,0.013922040035724947
20260915,PKIS2,0.47184190843601154,0.44603353942241097,0.14999117184481958,0.13917145595919178,0.16550153402787326,0.15331780417674168,0.07484245311263682,0.021292622256817828,0.01827301806796755
20260915,PKIS1,0.47184190843601154,0.44603353942241097,0.057108464582860431,0.091198451894077492,0.064196066873331417,0.10277787806858273,0.020910792210099283,0.0032036269904631709,0.0082115359114840469
20260915,KiRHub,0.47184190843601154,0.44603353942241097,0.23382231362491457,0.11678793331596772,0.2569883546830864,0.1256604672583653,0.11230821011764835,0.051339542018714601,0.012275026627792784
20260916,DAVIS,0.52165579743424884,0.49830557486098254,0.1907494717817883,0.10135540566254955,0.21770721326194359,0.11414328269714262,0.086351220842379894,0.034498687854270571,0.0094832599784813176
20260916,PKIS2,0.52165579743424884,0.49830557486098254,0.17112170813039945,0.11488650535747337,0.19511637655355463,0.12992395210054336,0.081398886013443694,0.027710501408949706,0.012286703700282731
20260916,PKIS1,0.52165579743424884,0.49830557486098254,0.056865225223758135,0.087714384172420945,0.066028717161305525,0.10207767000067261,0.021811622447896362,0.0031733842291666869,0.0075843512237342425
20260916,KiRHub,0.52165579743424884,0.49830557486098254,0.25035798496394063,0.093094854179771411,0.2840631786956585,0.10271017254363556,0.12168111393730341,0.058733627541733613,0.0076786320513896333
20260917,DAVIS,0.40090890402270946,0.3834498953891386,0.16366201754268497,0.14522904724057473,0.1741136061538105,0.1540535046997526,0.075555037875366438,0.025442992009639287,0.01991800909616126
