panel_scope,k,method,metric,observed,random_mean,observed_minus_random_mean,delta_2.5_percentile,delta_97.5_percentile,one_sided_target_panel_p,random_panels
PKIS1,5,conservative_residual_vina_deim,held_out_top5_overlap,0.47944444444444445,0.4952008333333333,-0.015756388888888882,-0.06500000000000006,0.06611111111111106,0.7661169415292354,2000
PKIS1,10,raw_vina_deim,full_target_r2,0.7060780549868589,0.6794220325421099,0.0266560224447491,-0.05121919203003947,0.11626332958675062,0.29685157421289354,2000
PKIS1,10,raw_vina_deim,full_mean_row_spearman,0.7219507101086048,0.693223761487051,0.02872694862155383,-0.027983813700918975,0.0943245614035087,0.20339830084957522,2000
PKIS1,10,raw_vina_deim,full_top5_overlap,0.6688888888888889,0.6448802777777778,0.024008611111111123,-0.02890277777777785,0.09555555555555562,0.24437781109445278,2000
PKIS1,10,raw_vina_deim,held_out_target_r2,0.43054671788923693,0.36173129018496636,0.06881542770427058,-0.07759100669273548,0.22730982504233815,0.22138930534732634,2000
PKIS1,10,raw_vina_deim,held_out_mean_row_spearman,0.46723905723905723,0.41861651515151516,0.04862254208754209,-0.0311523569023569,0.14087626262626263,0.14592703648175911,2000
PKIS1,10,raw_vina_deim,held_out_top5_overlap,0.6822222222222222,0.6625175,0.019704722222222224,-0.020569444444444435,0.06555555555555559,0.19790104947526238,2000
PKIS1,10,residual_vina_deim,full_target_r2,0.7698013577683044,0.6794220325421099,0.09037932522619455,0.012504110751405976,0.17998663236819606,0.010494752623688156,2000
PKIS1,10,residual_vina_deim,full_mean_row_spearman,0.7353258145363408,0.693223761487051,0.04210205304928987,-0.014608709273182936,0.10769966583124474,0.09495252373813093,2000
PKIS1,10,residual_vina_deim,full_top5_overlap,0.6761111111111111,0.6448802777777778,0.031230833333333367,-0.02168055555555561,0.10277777777777786,0.16541729135432284,2000
PKIS1,10,residual_vina_deim,held_out_target_r2,0.5335651098693888,0.36173129018496636,0.17183381968442246,0.02542738528741635,0.33032821702249,0.009995002498750625,2000
PKIS1,10,residual_vina_deim,held_out_mean_row_spearman,0.47750841750841744,0.41861651515151516,0.058891902356902295,-0.020882996632996694,0.15114562289562283,0.09195402298850575,2000
PKIS1,10,residual_vina_deim,held_out_top5_overlap,0.6861111111111111,0.6625175,0.023593611111111162,-0.016680555555555494,0.06944444444444453,0.15692153923038482,2000
PKIS1,10,sequence_diverse,full_target_r2,0.6988259921906661,0.6794220325421099,0.019403959648556266,-0.058471254826232305,0.10901126679055778,0.36431784107946025,2000
PKIS1,10,sequence_diverse,full_mean_row_spearman,0.6433625730994151,0.693223761487051,-0.04986118838763583,-0.10657195071010862,0.015736424394319055,0.9310344827586207,2000
PKIS1,10,sequence_diverse,full_top5_overlap,0.5872222222222222,0.6448802777777778,-0.05765805555555554,-0.11056944444444451,0.01388888888888895,0.9475262368815592,2000
PKIS1,10,sequence_diverse,held_out_target_r2,0.3822432278190776,0.36173129018496636,0.020511937634111264,-0.12589449676289483,0.17900633497217883,0.4307846076961519,2000
PKIS1,10,sequence_diverse,held_out_mean_row_spearman,0.375993265993266,0.41861651515151516,-0.04262324915824915,-0.12239814814814814,0.04963047138047138,0.8325837081459271,2000
PKIS1,10,sequence_diverse,held_out_top5_overlap,0.6577777777777778,0.6625175,-0.004739722222222159,-0.04501388888888882,0.04111111111111121,0.6041979010494752,2000
PKIS1,10,conservative_residual_vina_deim,full_target_r2,0.7698013577683044,0.6794220325421099,0.09037932522619455,0.012504110751405976,0.17998663236819606,0.010494752623688156,2000
PKIS1,10,conservative_residual_vina_deim,full_mean_row_spearman,0.7353258145363408,0.693223761487051,0.04210205304928987,-0.014608709273182936,0.10769966583124474,0.09495252373813093,2000
PKIS1,10,conservative_residual_vina_deim,full_top5_overlap,0.6761111111111111,0.6448802777777778,0.031230833333333367,-0.02168055555555561,0.10277777777777786,0.16541729135432284,2000
PKIS1,10,conservative_residual_vina_deim,held_out_target_r2,0.5335651098693888,0.36173129018496636,0.17183381968442246,0.02542738528741635,0.33032821702249,0.009995002498750625,2000
PKIS1,10,conservative_residual_vina_deim,held_out_mean_row_spearman,0.47750841750841744,0.41861651515151516,0.058891902356902295,-0.020882996632996694,0.15114562289562283,0.09195402298850575,2000
PKIS1,10,conservative_residual_vina_deim,held_out_top5_overlap,0.6861111111111111,0.6625175,0.023593611111111162,-0.016680555555555494,0.06944444444444453,0.15692153923038482,2000
PKIS2,3,raw_vina_deim,full_target_r2,0.28569147205301687,0.2631074470032598,0.02258402504975711,-0.01674506596478248,0.07770606538969693,0.18240879560219891,2000
PKIS2,3,raw_vina_deim,full_mean_row_spearman,0.34583901614501367,0.35512133356647435,-0.009282317421460656,-0.09711488022381543,0.10276621787025703,0.5967016491754122,2000
PKIS2,3,raw_vina_deim,full_top5_overlap,0.417984496124031,0.402331007751938,0.015653488372092995,-0.07224806201550393,0.11906976744186037,0.408295852073963,2000
PKIS2,3,raw_vina_deim,held_out_target_r2,0.1605658182843582,0.13310638545272876,0.027459432831629448,-0.018424472305988315,0.09639765624819105,0.17641179410294852,2000
PKIS2,3,raw_vina_deim,held_out_mean_row_spearman,0.26317449460404313,0.2462560210518316,0.016918473552211544,-0.029442164462684384,0.0818712000303997,0.4017991004497751,2000
PKIS2,3,raw_vina_deim,held_out_top5_overlap,0.41116279069767436,0.40589953488372094,0.0052632558139534226,-0.026372093023255883,0.04341085271317824,0.48075962018990503,2000
PKIS2,3,residual_vina_deim,full_target_r2,0.2944627288366853,0.2631074470032598,0.03135528183342552,-0.007973809181114067,0.08647732217336535,0.0769615192403798,2000
PKIS2,3,residual_vina_deim,full_mean_row_spearman,0.3016214955994638,0.35512133356647435,-0.05349983796701055,-0.14133240076936532,0.05854869732470713,0.8405797101449275,2000
PKIS2,3,residual_vina_deim,full_top5_overlap,0.3541085271317829,0.402331007751938,-0.048222480620155064,-0.136124031007752,0.05519379844961231,0.8320839580209896,2000
PKIS2,3,residual_vina_deim,held_out_target_r2,0.16564851278286297,0.13310638545272876,0.032542127330134216,-0.013341777807483551,0.10148035074669581,0.11044477761119441,2000
