panel,k,method,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_target_r2,full_target_rmse,full_pair_order_accuracy,full_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
DAVIS,5,sequence_diverse,-0.06328136013922678,2.0964389840041777,0.1846938775510204,0.39142857142857146,0.5681451247165532,0.4318984680896237,0.07010382076461319,1.8155694176316566,0.6133383458646616,0.48967020316063087,0.2903387039026137,0.36114285714285715
DAVIS,10,conservative_residual_vina_deim,0.22253614207029643,2.0876148030320287,0.5420375180375181,0.7304761904761905,0.712,0.3616136260120156,0.5097662610984448,1.4761665837293663,0.8029573934837092,0.6641645157888941,0.7151292517006803,0.6527619047619048
DAVIS,10,random,-4.8480691479249955,2.3448161146625766,0.42388169696969696,0.6595435238095237,0.6621094391534391,0.3985411102494864,0.39989757034718476,1.6580353753134012,0.7887468395989974,0.5694132274126689,0.6878964475474401,0.6442918095238096
DAVIS,10,raw_vina_deim,-7.869146845079021,2.570915412769633,0.47800288600288604,0.6771428571428572,0.6893121693121693,0.49789196310935435,0.3739285731570513,1.8179117222264196,0.8068170426065162,0.5849784697376105,0.7261697099892589,0.6641904761904762
DAVIS,10,residual_panel_descriptors_only,-0.1402358303004246,2.315150718467413,0.16286291486291485,0.5782857142857143,0.5605925925925926,0.17340769415608015,0.3319359502512462,1.6370587724972154,0.7001303258145363,0.2993326018400661,0.475375581811672,0.4748571428571429
DAVIS,10,residual_vina_deim,0.22253614207029643,2.0876148030320287,0.5420375180375181,0.7304761904761905,0.712,0.3616136260120156,0.5097662610984448,1.4761665837293663,0.8029573934837092,0.6641645157888941,0.7151292517006803,0.6527619047619048
DAVIS,10,sequence_diverse,-6.150015627835281,1.9456339717015598,0.4113246753246753,0.6832380952380952,0.6599365079365079,0.47104743083003947,0.5010455734037438,1.3757709750970881,0.7703558897243108,0.4961255834598584,0.6400630146795561,0.5756190476190476
PKIS1,3,conservative_residual_vina_deim,0.3090935837442113,0.8626621642764046,0.3630514705882353,0.45166666666666666,0.6319852941176471,0.6602747960498068,0.4176393566221259,0.7953352175170814,0.6569444444444444,0.6998198812913612,0.4247869674185464,0.43500000000000005
PKIS1,3,random,0.17503372271049503,0.9483748295280059,0.3113448052832244,0.4287761111111111,0.6128002144607844,0.6521858852153999,0.2967280973895021,0.8743583903011014,0.6461769590643275,0.6809529192964962,0.396088253968254,0.42050055555555554
PKIS1,3,raw_vina_deim,0.24850337879042064,0.9032687700725957,0.3556712962962963,0.475,0.6295751633986928,0.6400314870473737,0.3621070305738903,0.8327726582568564,0.6659941520467836,0.6939325626457068,0.4517836257309941,0.47333333333333333
PKIS1,3,residual_panel_descriptors_only,0.010367417345991092,1.0330215672114114,0.1744621459694989,0.33555555555555555,0.5635825163398692,0.5370430800057249,0.16976521336756,0.9523988264247978,0.5872076023391812,0.4740684171160887,0.23672096908939017,0.3188888888888889
PKIS1,3,residual_vina_deim,0.3090935837442113,0.8626621642764046,0.3630514705882353,0.45166666666666666,0.6319852941176471,0.6602747960498068,0.4176393566221259,0.7953352175170814,0.6569444444444444,0.6998198812913612,0.4247869674185464,0.43500000000000005
PKIS1,3,sequence_diverse,0.12903098162361298,0.979925927206416,0.29379084967320257,0.42000000000000004,0.6070874183006536,0.7118343590477553,0.2485666430392582,0.9034470650733507,0.6461549707602339,0.7134098772236002,0.39397243107769425,0.4211111111111111
PKIS1,5,conservative_residual_vina_deim,0.29353963006604067,0.8774678636984792,0.34300595238095233,0.47944444444444445,0.6264550264550264,0.7038171262699564,0.4666394266852339,0.7599094609673442,0.6832456140350878,0.7347725334278105,0.47706766917293236,0.4655555555555555
PKIS1,5,random,0.24401795406572244,0.9068464831892266,0.35958438492063494,0.4952008333333333,0.6317472751322751,0.6650844961642131,0.43072048107229344,0.785352091774448,0.6905254897660819,0.7146863871721189,0.4987383897243108,0.4882052777777778
PKIS1,5,raw_vina_deim,0.3353209783764057,0.8493458804966739,0.3773313492063492,0.5027777777777779,0.6377248677248677,0.6190794111548829,0.49991583589161115,0.7355551091097816,0.7045906432748538,0.7157665542564964,0.5376106934001671,0.5211111111111111
PKIS1,5,residual_panel_descriptors_only,0.004889351100813855,1.0414026745715024,0.14317460317460318,0.35833333333333334,0.552962962962963,0.5147895500725689,0.2541485084158009,0.9018811717479795,0.6209502923976608,0.47446032183425413,0.3148078529657477,0.34055555555555556
PKIS1,5,residual_vina_deim,0.29353963006604067,0.8774678636984792,0.34300595238095233,0.47944444444444445,0.6264550264550264,0.7038171262699564,0.4666394266852339,0.7599094609673442,0.6832456140350878,0.7347725334278105,0.47706766917293236,0.4655555555555555
PKIS1,5,sequence_diverse,0.1664231117776797,0.9460664297356487,0.28230158730158733,0.4438888888888889,0.6039682539682539,0.7567364710760938,0.37782872652420263,0.8193175618187174,0.6596783625730994,0.7346871541856388,0.4150626566416039,0.41722222222222227
