k,support_type,support_id,jaccard_to_primary,selected_targets
10,random_ligand_support,14,0.6666666666666666,MAPKAPK2;AKT2;EGFR;IGF1R;PLK1;KIT;MAPK1;LCK;MAP2K1;CSF1R
10,random_ligand_support,15,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,16,0.6666666666666666,MAPKAPK2;AKT2;PLK1;EGFR;IGF1R;KIT;MAPK1;LCK;MAP2K1;CSF1R
10,random_ligand_support,17,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,18,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,19,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,20,1.0,MAPKAPK2;AKT2;PLK1;EGFR;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,21,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK1;LCK;MAP2K1;CDK2
10,random_ligand_support,22,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,23,0.5384615384615384,MAPKAPK2;AKT2;EGFR;KIT;IGF1R;PLK1;MAPK1;LCK;CSF1R;AKT1
10,random_ligand_support,24,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
