panel,k,contrast,metric,fold,difference
PKIS2,10,residual_minus_raw,full_target_r2,1,0.021107842677390742
PKIS2,10,residual_minus_raw,full_target_r2,2,0.049339537291780644
PKIS2,10,residual_minus_raw,full_target_r2,3,-0.042871005580054855
PKIS2,10,residual_minus_raw,full_target_r2,4,0.10475539713012294
PKIS2,10,residual_minus_raw,full_target_r2,5,0.08100302420635597
PKIS2,10,residual_minus_raw,full_mean_row_spearman,1,-0.02775543509937628
PKIS2,10,residual_minus_raw,full_mean_row_spearman,2,-0.021880282100600446
PKIS2,10,residual_minus_raw,full_mean_row_spearman,3,-0.04844669814070057
PKIS2,10,residual_minus_raw,full_mean_row_spearman,4,-0.004860989683511119
PKIS2,10,residual_minus_raw,full_mean_row_spearman,5,0.007040857958850566
PKIS2,10,residual_minus_raw,full_top5_overlap,1,-0.029457364341085368
PKIS2,10,residual_minus_raw,full_top5_overlap,2,-0.07751937984496116
PKIS2,10,residual_minus_raw,full_top5_overlap,3,-0.023255813953488302
PKIS2,10,residual_minus_raw,full_top5_overlap,4,-0.08372093023255822
PKIS2,10,residual_minus_raw,full_top5_overlap,5,-0.009302325581395321
PKIS2,10,residual_minus_raw,held_out_target_r2,1,-0.01562925224596201
PKIS2,10,residual_minus_raw,held_out_target_r2,2,0.06884092566895461
PKIS2,10,residual_minus_raw,held_out_target_r2,3,0.06328087675720628
PKIS2,10,residual_minus_raw,held_out_target_r2,4,0.06810722016617488
PKIS2,10,residual_minus_raw,held_out_target_r2,5,0.145277390051194
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,1,-0.021423537702607465
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,2,0.03579985905567301
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,3,-0.03852478271082921
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,4,0.03833685694150807
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,5,0.020483908856001876
PKIS2,10,residual_minus_raw,held_out_top5_overlap,1,-0.027906976744186074
PKIS2,10,residual_minus_raw,held_out_top5_overlap,2,0.024806201550387597
PKIS2,10,residual_minus_raw,held_out_top5_overlap,3,-0.013953488372093092
PKIS2,10,residual_minus_raw,held_out_top5_overlap,4,0.018604651162790753
PKIS2,10,residual_minus_raw,held_out_top5_overlap,5,0.029457364341085146
PKIS2,10,residual_minus_sequence,full_target_r2,1,-0.07797474800667581
PKIS2,10,residual_minus_sequence,full_target_r2,2,0.05389814842311902
PKIS2,10,residual_minus_sequence,full_target_r2,3,-0.05706600588173527
PKIS2,10,residual_minus_sequence,full_target_r2,4,0.05528017410343722
PKIS2,10,residual_minus_sequence,full_target_r2,5,-0.0094818245249787
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,1,0.04968234539837968
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,2,0.04376056420120067
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,3,0.040228478172174564
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,4,0.058226962755726586
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,5,0.10310660371859881
PKIS2,10,residual_minus_sequence,full_top5_overlap,1,0.051162790697674376
PKIS2,10,residual_minus_sequence,full_top5_overlap,2,-0.03100775193798444
PKIS2,10,residual_minus_sequence,full_top5_overlap,3,0.029457364341085146
PKIS2,10,residual_minus_sequence,full_top5_overlap,4,0.04031007751937976
PKIS2,10,residual_minus_sequence,full_top5_overlap,5,0.09147286821705436
PKIS2,10,residual_minus_sequence,held_out_target_r2,1,-0.07576069469430347
PKIS2,10,residual_minus_sequence,held_out_target_r2,2,-0.027528402814255504
PKIS2,10,residual_minus_sequence,held_out_target_r2,3,-0.03712772696146582
PKIS2,10,residual_minus_sequence,held_out_target_r2,4,0.013095797431577405
PKIS2,10,residual_minus_sequence,held_out_target_r2,5,0.024893440580549764
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,1,0.058350951374207205
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,2,0.07761334272962178
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,3,0.0757340850364106
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,4,0.04068592905802207
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,5,0.12233967582804786
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,1,0.013953488372093092
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,2,0.024806201550387597
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,3,0.03875968992248058
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,4,0.006201550387596844
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,5,0.04496124031007742
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,1,0.0942118461992364
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,2,0.1173183250423534
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,3,0.16567688818065462
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,4,0.11662201259461669
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,5,0.14698371947048183
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,1,0.08972431077694232
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,2,0.07923296613627095
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,3,0.08128460686600225
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,4,0.11188436206796071
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,5,0.10869033047735621
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,1,0.07751937984496116
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,2,0.03875968992248058
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,3,0.06201550387596899
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,4,0.06821705426356584
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,5,0.058914728682170625
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,1,0.1878030293536127
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,2,0.24797245864107464
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,3,0.28595189975992585
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,4,0.2684884639594093
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,5,0.3054179609512828
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,1,0.1711064129668781
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,2,0.1718581160441626
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,3,0.1987315010570825
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,4,0.21818181818181817
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,5,0.1978858350951374
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,1,0.029457364341085257
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,2,0.06821705426356584
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,3,0.08217054263565893
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,4,0.083720930232558
PKIS2,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,5,0.09302325581395343
