chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,rotatable_bonds,-0.0084592699909194248,-0.099923383855951314,4,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,ring_count,-0.062601907343823052,-0.20232383175993682,5,1
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,heavy_atoms,-0.099457348017531061,-0.077014927803676303,4,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,molecular_weight,-0.094059235413601353,-0.074548350138749359,3,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,labute_asa,-0.10019454230423061,-0.078060444240504137,4,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,tpsa,-0.071545474511944956,-0.0031232679973542607,3,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,clogp,-0.038719487647923857,-0.073020868132534417,6,5
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,rotatable_bonds,-0.051182140678297093,0.083243744574832176,3,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6pdj,LCK,ring_count,-0.057517214094475223,-0.1402506662436219,6,4
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,heavy_atoms,0.22353375906512835,0.41425504168088456,7,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,molecular_weight,0.17976198747079364,0.39281370643337898,7,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,labute_asa,0.21330364255904763,0.41093155744338666,7,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,tpsa,0.15278642150975644,0.20224978778418626,6,7
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,clogp,0.087851007230249661,0.22827932443112678,8,8
primary_seeded_support,all_9_mapped_targets,target_standardized_two_way_residual,12651,15000,9,1m2z,NR3C1,rotatable_bonds,0.10225886059960684,0.11938134185018297,8,6
