target,size_x_angstrom,size_y_angstrom,size_z_angstrom,box_volume_angstrom3,source_package,source_resource,source_repository,metadata_selection_used_score_outcomes,unscaled_two_way_residual__heavy_atoms_slope,unscaled_two_way_residual__molecular_weight_slope,unscaled_two_way_residual__labute_asa_slope,unscaled_two_way_residual__tpsa_slope,unscaled_two_way_residual__clogp_slope,unscaled_two_way_residual__rotatable_bonds_slope,unscaled_two_way_residual__ring_count_slope,target_standardized_two_way_residual__heavy_atoms_slope,target_standardized_two_way_residual__molecular_weight_slope,target_standardized_two_way_residual__labute_asa_slope,target_standardized_two_way_residual__tpsa_slope,target_standardized_two_way_residual__clogp_slope,target_standardized_two_way_residual__rotatable_bonds_slope,target_standardized_two_way_residual__ring_count_slope
PTK2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PTK2_conf.txt,https://github.com/dockstring/dockstring,False,-0.011762114899795534,-0.0085369447976911227,-0.011355736112321088,0.0037012463163321797,-0.02944688302548263,0.04789673098981375,-0.044481548497943883,-0.025407175062259667,-0.018440531555728622,-0.02452936209385111,0.0079950088830734022,-0.063607788092541487,0.10346103906783896,-0.09608395253368085
FGFR1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/FGFR1_conf.txt,https://github.com/dockstring/dockstring,False,0.088522802718286109,0.089673728723470139,0.089742706231961997,0.023581022493287074,0.045039948397443012,0.04461783080015462,0.081734323200051764,0.13192521371212207,0.13364043458785446,0.13374323152005366,0.035142712797712083,0.067122872700100367,0.066493792366854043,0.12180836716272524
HMGCR,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/HMGCR_conf.txt,https://github.com/dockstring/dockstring,False,-0.048206431612953245,-0.058807253428046845,-0.045216148514332297,-0.1448001410196032,0.10378706789316267,0.0006745848719128015,-0.0051543699838112874,-0.092237785988422236,-0.11252131043040289,-0.086516203135953262,-0.27705938754592907,0.19858531395887566,0.0012907450928145744,-0.0098623287300979665
HSP90AA1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/HSP90AA1_conf.txt,https://github.com/dockstring/dockstring,False,-0.021506584082533555,-0.0065138773434303913,-0.017985886756052977,0.035800698151918414,-0.095885507883287188,-0.019477897884682856,-0.021822474369821751,-0.035682959051000905,-0.010807593507963903,-0.029841543322233318,0.059399244494138081,-0.15908982283069753,-0.032317035097320708,-0.036207072975492929
KIT,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/KIT_conf.txt,https://github.com/dockstring/dockstring,False,0.042822697910452019,0.052463241402936747,0.047259380504144098,0.0017891731670375396,0.0085713648922779266,0.038388801503534915,0.014148770705334967,0.073960609128379942,0.090611135690807892,0.081623361900868246,0.0030901448000068754,0.014803910062372673,0.066302668478459226,0.024436846598797253
MAPKAPK2,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MAPKAPK2_conf.txt,https://github.com/dockstring/dockstring,False,-0.090831717782485694,-0.095553559967057861,-0.091408916553018305,-0.08402782493758873,0.00062347325793723606,-0.029369218078133478,-0.073532442401595344,-0.22288792670156876,-0.23447464597127993,-0.22430428918374484,-0.20619215559075163,0.0015299133959822287,-0.072067822629504605,-0.18043800152983955
MAP2K1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/MAP2K1_conf.txt,https://github.com/dockstring/dockstring,False,-0.30156249440806226,-0.29846133753749959,-0.30344694682771084,-0.15628636166479432,-0.10686556983032967,-0.14588309293513721,-0.2365612236298969,-0.53726384262058735,-0.53173882048506538,-0.54062118369247147,-0.27843983510627623,-0.19039173556241351,-0.25990536799861608,-0.42145755649058136
NOS1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/NOS1_conf.txt,https://github.com/dockstring/dockstring,False,-0.085150596294591901,-0.086786573093255256,-0.081453565648812801,-0.12972376030869431,0.047539942430398392,-0.093912432639369312,0.0084875764595392193,-0.15398065390147836,-0.15693904513052279,-0.14729519048603254,-0.23458378811329622,0.085968058245251514,-0.16982497382942038,0.015348366660371218
PARP1,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PARP1_conf.txt,https://github.com/dockstring/dockstring,False,-0.34831685936566442,-0.33868340579270256,-0.34361164854040915,-0.19325186098344377,-0.12369110828257406,-0.083412138424037691,-0.3199275955533662,-0.53886409470590235,-0.52396064659851194,-0.53158489157927502,-0.29897056751350465,-0.19135650570932233,-0.12904286786809274,-0.49494444358295392
PDE5A,30,30,30,27000,dockstring 0.3.4,dockstring/resources/targets/PDE5A_conf.txt,https://github.com/dockstring/dockstring,False,-0.16868152879885367,-0.15997733888948701,-0.16125557523016176,-0.11108332560121606,-0.098783119503240216,-0.067861809174386861,-0.16781536979876457,-0.26812119186857103,-0.25428578387002998,-0.25631755494533304,-0.17656819848033647,-0.15701688220580226,-0.107867110807913,-0.26674442237219909
