dataset,calibration_ligands,repetition,panel_targets_k,reference_scope,cluster_adjusted_rand_index,sample_vs_fixed_full_source_panel_medoid_overlap,sample_vs_fixed_full_source_panel_medoid_jaccard,fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_mean_nearest_distance_on_reference_map,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_maximum_nearest_distance_on_reference_map,random_panels_on_reference_map,fraction_random_panels_with_mean_coverage_no_worse_than_sample,random_mean_nearest_distance_median,random_mean_nearest_distance_q025,random_mean_nearest_distance_q975
DOCKSTRING-58,500,14,8,full_source_map_including_calibration_rows,0.37723918610520185,6,0.59999999999999998,0.53608801513880355,0.54750010081484324,0.011412085676039685,0.88694435278989781,10000,0.00029999999999999997,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,14,8,row_disjoint_complement_map,0.37723918610520185,6,0.59999999999999998,0.53608232276016954,0.54749570898006139,0.011413386219891852,0.88708178206345667,200,0,0.59140721941276886,0.56338112196862489,0.62760759481391604
DOCKSTRING-58,500,14,10,full_source_map_including_calibration_rows,0.59179828887600061,9,0.81818181818181823,0.50753775223979436,0.51186351457655277,0.0043257623367584097,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,14,10,row_disjoint_complement_map,0.59179828887600061,9,0.81818181818181823,0.50753606444461485,0.51184849934323373,0.0043124348986188776,0.80550235954575011,200,0,0.55382953608957952,0.53458640375179667,0.58760173969550078
DOCKSTRING-58,500,15,6,full_source_map_including_calibration_rows,0.68175724818527972,3,0.33333333333333331,0.56629741220678864,0.570884619884515,0.0045872076777263571,0.89383242711227562,10000,0,0.62715641132076039,0.59359080196324443,0.6872939310382834
DOCKSTRING-58,500,15,6,row_disjoint_complement_map,0.68175724818527972,3,0.33333333333333331,0.5662912095839624,0.57089106412677926,0.0045998545428168613,0.89383578027894772,200,0,0.62942951966962402,0.597185424152333,0.67914617371676966
DOCKSTRING-58,500,15,8,full_source_map_including_calibration_rows,0.74755325432355002,5,0.45454545454545453,0.53608801513880355,0.5403108928731315,0.0042228777343279456,0.88694435278989781,10000,0,0.58865614151348522,0.56186880118375171,0.63708014428473936
DOCKSTRING-58,500,15,8,row_disjoint_complement_map,0.74755325432355002,5,0.45454545454545453,0.53608262084407199,0.5403152985057591,0.004232677661687112,0.88695428694340761,200,0,0.5913999320975476,0.56339004222945666,0.62761592611034467
DOCKSTRING-58,500,15,10,full_source_map_including_calibration_rows,0.58403148007108407,7,0.53846153846153844,0.50753775223979436,0.51118785565533176,0.0036501034155373979,0.80568874168266769,10000,0,0.55504003660467904,0.53305403975039001,0.59361836613889174
DOCKSTRING-58,500,15,10,row_disjoint_complement_map,0.58403148007108407,7,0.53846153846153844,0.50753169405934373,0.51119604112827499,0.0036643470689312618,0.80575031802240171,200,0,0.5538530204117611,0.53462878993737495,0.58762986964759245
