dataset,calibration_ligands,repetition,reference_scope,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr,reference_abs_top10pct_edges,reference_abs_top10pct_sign_agreement,top_positive_10_intersection,top_positive_10_precision,top_positive_10_recall,top_positive_10_jaccard,top_negative_10_intersection,top_negative_10_precision,top_negative_10_recall,top_negative_10_jaccard,top_positive_25_intersection,top_positive_25_precision,top_positive_25_recall,top_positive_25_jaccard,top_negative_25_intersection,top_negative_25_precision,top_negative_25_recall,top_negative_25_jaccard
Docking-44,200,10,full_source_map_including_calibration_rows,0.95083266261282495,0.049167337387175047,0.094876326144757939,0.91226215644820297,9.3029119427164524,8.4188435091149607,95,1,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,21,0.83999999999999997,0.83999999999999997,0.72413793103448276,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,10,row_disjoint_complement_map,0.94896776370708735,0.051032236292912647,0.096641187345395993,0.90697674418604646,9.3042212857642781,8.4188435091149607,95,1,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,21,0.83999999999999997,0.83999999999999997,0.72413793103448276,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,11,full_source_map_including_calibration_rows,0.9524962691780795,0.047503730821920498,0.096179872125458976,0.91754756871035936,9.3029119427164524,8.3764597609541926,95,1,5,0.5,0.5,0.33333333333333331,8,0.80000000000000004,0.80000000000000004,0.66666666666666663,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,17,0.68000000000000005,0.68000000000000005,0.51515151515151514
Docking-44,200,11,row_disjoint_complement_map,0.95086989907352837,0.049130100926471632,0.097707261865739692,0.91437632135306557,9.3067753395005077,8.3764597609541926,95,1,5,0.5,0.5,0.33333333333333331,8,0.80000000000000004,0.80000000000000004,0.66666666666666663,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,17,0.68000000000000005,0.68000000000000005,0.51515151515151514
Docking-44,200,12,full_source_map_including_calibration_rows,0.94668767897323181,0.053312321026768195,0.095112707037217581,0.90591966173361527,9.3029119427164524,9.3040994487206419,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,12,row_disjoint_complement_map,0.94498008887635832,0.055019911123641685,0.096732624943406925,0.90486257928118397,9.2879787051983556,9.3040994487206419,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,13,full_source_map_including_calibration_rows,0.94884861270264365,0.051151387297356354,0.099453333398352495,0.92706131078224097,9.3029119427164524,8.7020982226658568,95,1,4,0.40000000000000002,0.40000000000000002,0.25,4,0.40000000000000002,0.40000000000000002,0.25,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,13,0.52000000000000002,0.52000000000000002,0.35135135135135137
Docking-44,200,13,row_disjoint_complement_map,0.94716146226177877,0.052838537738221225,0.10110775412652979,0.92706131078224097,9.2987258269295463,8.7020982226658568,95,1,4,0.40000000000000002,0.40000000000000002,0.25,4,0.40000000000000002,0.40000000000000002,0.25,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,14,full_source_map_including_calibration_rows,0.95256347057137791,0.047436529428622087,0.10251851884787221,0.91860465116279066,9.3029119427164524,7.9359666179740653,95,1,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,14,row_disjoint_complement_map,0.95094237338779464,0.049057626612205363,0.1042720317955568,0.91649048625792817,9.314869902841961,7.9359666179740653,95,1,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,11,0.44,0.44,0.28205128205128205
Docking-44,200,15,full_source_map_including_calibration_rows,0.93401346217829107,0.065986537821708935,0.10440832581326966,0.87420718816067655,9.3029119427164524,8.9756446506283627,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,15,row_disjoint_complement_map,0.93206910092055351,0.067930899079446494,0.10594201710896206,0.87315010570824525,9.2954613579076693,8.9756446506283627,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,16,full_source_map_including_calibration_rows,0.91634923363515475,0.083650766364845253,0.12581040912469993,0.86257928118393234,9.3029119427164524,8.0744627591294265,95,1,4,0.40000000000000002,0.40000000000000002,0.25,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,16,row_disjoint_complement_map,0.91414818601773729,0.085851813982262715,0.12742498584184755,0.86152219873150104,9.30395047477929,8.0744627591294265,95,1,4,0.40000000000000002,0.40000000000000002,0.25,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,17,full_source_map_including_calibration_rows,0.96192622212611889,0.038073777873881109,0.099807835871070019,0.92917547568710357,9.3029119427164524,7.2982951564454455,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,17,row_disjoint_complement_map,0.96022818565486956,0.039771814345130441,0.101844172227479,0.92917547568710357,9.3383476747266325,7.2982951564454455,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,16,0.64000000000000001,0.64000000000000001,0.47058823529411764,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,18,full_source_map_including_calibration_rows,0.91576532851059489,0.084234671489405111,0.12466038294376205,0.86469344608879495,9.3029119427164524,8.0946723787861892,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,18,row_disjoint_complement_map,0.91355217585418202,0.086447824145817975,0.12633534378585606,0.86363636363636365,9.3055176372048152,8.0946723787861892,95,1,4,0.40000000000000002,0.40000000000000002,0.25,5,0.5,0.5,0.33333333333333331,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,18,0.71999999999999997,0.71999999999999997,0.5625
Docking-44,200,19,full_source_map_including_calibration_rows,0.91224548367054681,0.087754516329453192,0.12473716885791455,0.88160676532769555,9.3029119427164524,9.5280634513515636,95,0.98947368421052628,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,12,0.47999999999999998,0.47999999999999998,0.31578947368421051,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,19,row_disjoint_complement_map,0.9093686942217184,0.090631305778281601,0.1271594227780237,0.87843551797040165,9.2733736968484486,9.5280634513515636,95,0.98947368421052628,5,0.5,0.5,0.33333333333333331,4,0.40000000000000002,0.40000000000000002,0.25,12,0.47999999999999998,0.47999999999999998,0.31578947368421051,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,20,full_source_map_including_calibration_rows,0.92370810512801116,0.076291894871988841,0.11308090285224992,0.89640591966173366,9.3029119427164524,10.039497379515137,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,14,0.56000000000000005,0.56000000000000005,0.3888888888888889,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
Docking-44,200,20,row_disjoint_complement_map,0.92176612518942014,0.078233874810579862,0.11474208444052536,0.89640591966173366,9.2794293580953333,10.039497379515137,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,5,0.5,0.5,0.33333333333333331,14,0.56000000000000005,0.56000000000000005,0.3888888888888889,16,0.64000000000000001,0.64000000000000001,0.47058823529411764
