dataset,transformation,tail_fraction_per_side,ligands_per_support,repetition,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,raw,0.20000000000000001,2530,8,0.99430214113547022,0.0056978588645297812,0.033092969963416867,0.9978858350951374,1.9273935942408189,1.8343534787755145
Docking-44,row_centered_residual,0.20000000000000001,2530,8,0.98885468931882314,0.011145310681176857,0.047027433140373109,0.96300211416490489,8.7826679212310115,9.6176733377698831
Docking-44,raw,0.25,3162,8,0.99512919595432292,0.0048708040456770796,0.024512782775266653,0.9989429175475687,1.90636753267423,1.8345149083438563
Docking-44,row_centered_residual,0.25,3162,8,0.99039044172513391,0.0096095582748660924,0.043430448035495499,0.96511627906976749,8.9472283403587767,9.5989851191489119
Docking-44,raw,0.29999999999999999,3795,8,0.99481405387940092,0.0051859461205990831,0.03017309838877737,0.9989429175475687,1.9037514077755098,1.8032332328622436
Docking-44,row_centered_residual,0.29999999999999999,3795,8,0.98903136052027263,0.010968639479727371,0.04469621800945859,0.96511627906976749,9.0514391954896372,9.5807559746811197
Docking-44,raw,0.34999999999999998,4427,8,0.99526932524648692,0.0047306747535130755,0.031887354173017683,0.9978858350951374,1.891369676822382,1.7786084451297932
Docking-44,row_centered_residual,0.34999999999999998,4427,8,0.98906236019273486,0.010937639807265143,0.043766395345793956,0.95877378435517968,9.1780582809571598,9.4526552668597912
Docking-44,raw,0.40000000000000002,5060,8,0.99606847043796032,0.0039315295620396817,0.025856794265125833,0.9989429175475687,1.8808053551173964,1.7914501564491989
Docking-44,row_centered_residual,0.40000000000000002,5060,8,0.99078252308772186,0.0092174769122781441,0.040187422205576973,0.96405919661733619,9.2097208359936467,9.4446423889915678
Docking-44,raw,0.10000000000000001,1265,9,0.98679805169822588,0.013201948301774125,0.03436981596493547,0.9978858350951374,1.8718985235075101,1.7744537246175351
Docking-44,row_centered_residual,0.10000000000000001,1265,9,0.97929627270753439,0.020703727292465612,0.062263900710211886,0.94820295983086678,8.8620147209715689,9.3145647426208118
Docking-44,raw,0.14999999999999999,1897,9,0.99458785690950913,0.0054121430904908729,0.018813648709325184,0.9978858350951374,1.849856691753492,1.8218198742640868
Docking-44,row_centered_residual,0.14999999999999999,1897,9,0.98912095765316443,0.010879042346835566,0.044489296085996985,0.94503171247357298,9.2127057882641861,9.5529705144963
Docking-44,raw,0.20000000000000001,2530,9,0.99397394432879793,0.0060260556712020685,0.020320956404870163,0.99577167019027479,1.8240189875493764,1.8365987552424918
Docking-44,row_centered_residual,0.20000000000000001,2530,9,0.99022114127342387,0.009778858726576134,0.042388137934379101,0.95243128964059198,9.1513114551690453,9.483029058805176
Docking-44,raw,0.25,3162,9,0.99432934203691292,0.0056706579630870779,0.018116471701766095,1,1.8232122767693766,1.8207739596750963
Docking-44,row_centered_residual,0.25,3162,9,0.99212445312491948,0.0078755468750805191,0.03872411049708694,0.95665961945031708,9.0853007766206364,9.5708139234813743
Docking-44,raw,0.29999999999999999,3795,9,0.99649441472579403,0.003505585274205969,0.014458084109996524,0.9989429175475687,1.8363564584295238,1.8200588002665938
Docking-44,row_centered_residual,0.29999999999999999,3795,9,0.99444731655630181,0.005552683443698192,0.031246245249960461,0.95983086680761098,9.4259781306503019,9.1757800619540113
Docking-44,raw,0.34999999999999998,4427,9,0.99749020301560753,0.002509796984392465,0.019052587301114528,0.9978858350951374,1.8470040123814961,1.7996016145636928
Docking-44,row_centered_residual,0.34999999999999998,4427,9,0.99489822217161905,0.005101777828380949,0.028971177092421183,0.96723044397462998,9.3630844544235039,9.4249852856793197
Docking-44,raw,0.40000000000000002,5060,9,0.99770497532340296,0.002295024676597035,0.01210035010648975,0.9989429175475687,1.8307692670904898,1.8170238154868426
Docking-44,row_centered_residual,0.40000000000000002,5060,9,0.99604723700890285,0.0039527629910971473,0.026154729312924774,0.96828752642706128,9.3552442541196381,9.3973683738741283
Docking-44,raw,0.10000000000000001,1265,10,0.9860247466543971,0.0139752533456029,0.040071341403150058,0.9978858350951374,1.8946553904021752,1.7981660912858488
Docking-44,row_centered_residual,0.10000000000000001,1265,10,0.97970717783099592,0.020292822169004077,0.059856013700892559,0.93974630021141647,8.9783272821920281,9.4070288055745159
Docking-44,raw,0.14999999999999999,1897,10,0.9912322380434655,0.0087677619565345033,0.024931817867010212,0.9978858350951374,1.8664832506576692,1.8337196530097455
Docking-44,row_centered_residual,0.14999999999999999,1897,10,0.98549276279194487,0.014507237208055135,0.049591072816646695,0.94397463002114168,9.2193878435327488,9.3171137225891414
Docking-44,raw,0.20000000000000001,2530,10,0.99360347910727287,0.0063965208927271311,0.019893028125187697,0.9989429175475687,1.8471307778520596,1.8476867804192374
Docking-44,row_centered_residual,0.20000000000000001,2530,10,0.99140063132597678,0.0085993686740232222,0.039491684804190449,0.95665961945031708,9.2518325337934488,8.9635752090715393
Docking-44,raw,0.25,3162,10,0.99197389138697045,0.0080261086130295478,0.024264846042268116,0.9989429175475687,1.8374508414511235,1.8659549316561514
Docking-44,row_centered_residual,0.25,3162,10,0.99028910809073356,0.0097108919092664392,0.042777724668827399,0.97040169133192389,9.3292277081867638,8.9724260841029295
Docking-44,raw,0.29999999999999999,3795,10,0.99479179988499478,0.0052082001150052237,0.015755722841995771,1,1.850650514245507,1.8398653869049235
Docking-44,row_centered_residual,0.29999999999999999,3795,10,0.99247710097640085,0.00752289902359915,0.036136283938498166,0.96934460887949259,9.3178211502823256,9.1883971355487404
Docking-44,raw,0.34999999999999998,4427,10,0.99613904536671649,0.0038609546332835087,0.01436815101055808,0.9978858350951374,1.8439910567846047,1.845215876558683
Docking-44,row_centered_residual,0.34999999999999998,4427,10,0.99310986566702275,0.0068901343329772491,0.034562339895850509,0.96934460887949259,9.3137184092891143,9.1928366980437186
Docking-44,raw,0.40000000000000002,5060,10,0.99714082947795268,0.0028591705220473163,0.012402411848242046,0.9978858350951374,1.8481425703058407,1.8349339068051191
Docking-44,row_centered_residual,0.40000000000000002,5060,10,0.99501708968568803,0.0049829103143119724,0.029461427363563407,0.96828752642706128,9.1398099353083442,9.1574666581128987
Docking-44,raw,0.10000000000000001,1265,11,0.98777675969296963,0.01222324030703037,0.028066440862848412,0.9989429175475687,1.8029001602003116,1.8540530252661709
Docking-44,row_centered_residual,0.10000000000000001,1265,11,0.98292837973592362,0.017071620264076381,0.054303572600279973,0.93868921775898517,9.4112631818535704,9.7243756000221619
Docking-44,raw,0.14999999999999999,1897,11,0.99346098267048144,0.0065390173295185594,0.024918167780932237,0.9989429175475687,1.8149344043201234,1.8189007438823224
Docking-44,row_centered_residual,0.14999999999999999,1897,11,0.98842358550617171,0.011576414493828291,0.047549188356676202,0.95665961945031708,9.8430817891960078,9.0597583159575539
Docking-44,raw,0.20000000000000001,2530,11,0.99349301708281079,0.006506982917189208,0.018144214143000367,1,1.8291827061829389,1.8322889445381776
Docking-44,row_centered_residual,0.20000000000000001,2530,11,0.98592481629735129,0.014075183702648708,0.051692699707506284,0.94503171247357298,9.6450305341039506,8.9124282221207025
Docking-44,raw,0.25,3162,11,0.99532086379658868,0.004679136203411316,0.016007011792209636,0.9989429175475687,1.8197728567970453,1.8368876366189686
Docking-44,row_centered_residual,0.25,3162,11,0.98981906687513121,0.010180933124868785,0.042530788256418185,0.95454545454545459,9.5309676201757991,9.2241863563831377
Docking-44,raw,0.29999999999999999,3795,11,0.99589154409517344,0.0041084559048265579,0.015212502547576194,0.9989429175475687,1.8180447010088396,1.8305385143570638
Docking-44,row_centered_residual,0.29999999999999999,3795,11,0.99218516258863987,0.0078148374113601315,0.036900277563570165,0.95771670190274838,9.4817143433783464,9.2261911000101957
Docking-44,raw,0.34999999999999998,4427,11,0.99689833181152132,0.003101668188478679,0.013132532303681586,0.9989429175475687,1.8172234711910791,1.8351836711818927
Docking-44,row_centered_residual,0.34999999999999998,4427,11,0.99435041954626424,0.0056495804537357586,0.031474715515575249,0.95983086680761098,9.4193000960481097,9.2275504350196904
Docking-44,raw,0.40000000000000002,5060,11,0.99662673385813771,0.0033732661418622856,0.013562370320451753,0.9989429175475687,1.8310575535140616,1.8403799207315441
Docking-44,row_centered_residual,0.40000000000000002,5060,11,0.99434730115214376,0.0056526988478562412,0.03148827961600608,0.96723044397462998,9.3235714961949352,9.4791169062706242
Docking-44,raw,0.10000000000000001,1265,12,0.98294632467663567,0.017053675323364326,0.029622756255208535,0.9978858350951374,1.7949596743779355,1.7725732952675155
