dataset,calibration_ligands,panel_targets_k,reference_scope,repetitions,cluster_adjusted_rand_index_mean,cluster_adjusted_rand_index_q025,cluster_adjusted_rand_index_q975,sample_vs_fixed_full_source_panel_medoid_overlap_mean,sample_vs_fixed_full_source_panel_medoid_overlap_q025,sample_vs_fixed_full_source_panel_medoid_overlap_q975,sample_vs_fixed_full_source_panel_medoid_jaccard_mean,sample_vs_fixed_full_source_panel_medoid_jaccard_q025,sample_vs_fixed_full_source_panel_medoid_jaccard_q975,fixed_full_source_panel_mean_nearest_distance_on_reference_map_mean,fixed_full_source_panel_mean_nearest_distance_on_reference_map_q025,fixed_full_source_panel_mean_nearest_distance_on_reference_map_q975,sample_map_medoids_mean_nearest_distance_on_reference_map_mean,sample_map_medoids_mean_nearest_distance_on_reference_map_q025,sample_map_medoids_mean_nearest_distance_on_reference_map_q975,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_mean,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_q025,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_q975,sample_map_medoids_maximum_nearest_distance_on_reference_map_mean,sample_map_medoids_maximum_nearest_distance_on_reference_map_q025,sample_map_medoids_maximum_nearest_distance_on_reference_map_q975,random_panels_on_reference_map_mean,random_panels_on_reference_map_q025,random_panels_on_reference_map_q975,fraction_random_panels_with_mean_coverage_no_worse_than_sample_mean,fraction_random_panels_with_mean_coverage_no_worse_than_sample_q025,fraction_random_panels_with_mean_coverage_no_worse_than_sample_q975,random_mean_nearest_distance_median_mean,random_mean_nearest_distance_median_q025,random_mean_nearest_distance_median_q975,random_mean_nearest_distance_q025_mean,random_mean_nearest_distance_q025_q025,random_mean_nearest_distance_q025_q975,random_mean_nearest_distance_q975_mean,random_mean_nearest_distance_q975_q025,random_mean_nearest_distance_q975_q975
DOCKSTRING-58,500,10,full_source_map_including_calibration_rows,100,0.74608251425547467,0.55467419010491104,0.91819848506387181,6.6299999999999999,4,9,0.51026640026640024,0.25,0.81818181818181823,0.50753775223979414,0.50753775223979436,0.50753775223979436,0.5130871935069321,0.50844903390671492,0.51965132728423391,0.0055494412671376978,0.00091128166692059915,0.012113575044439539,0.8330900867651827,0.78632009425256033,0.90010195828734063,10000,10000,10000,4.3000000000000002e-05,0,0.0001,0.55504003660467927,0.55504003660467904,0.55504003660467904,0.5330540397503899,0.53305403975039001,0.53305403975039001,0.59361836613889174,0.59361836613889174,0.59361836613889174
DOCKSTRING-58,500,10,row_disjoint_complement_map,100,0.74608251425547467,0.55467419010491104,0.91819848506387181,6.6299999999999999,4,9,0.51026640026640024,0.25,0.81818181818181823,0.50753805265992269,0.50750326272693336,0.50756663861224938,0.51310448386931884,0.50845739048715544,0.51965384409724336,0.0055664312093961967,0.00091826504026327473,0.012142029028133678,0.83315738276108942,0.78638923031375318,0.90024217178744048,200,200,200,0,0,0,0.55386451534708436,0.55383195589653256,0.55388687141998805,0.5346434304993174,0.53459993158632702,0.53467562170290572,0.58763533903414644,0.58759307054029397,0.58767083745342441
Docking-44,200,6,full_source_map_including_calibration_rows,100,0.71596723767454662,0.47637684145695958,0.92071136086363203,1.95,0,4,0.20705194805194804,0,0.5,0.43214781831379384,0.43214781831379373,0.43214781831379373,0.44780856277870512,0.43625084070357589,0.46531785872900694,0.015660744464911322,0.0041030223897821462,0.033170040415213202,0.80320527809595776,0.76947141100302896,0.83779867787889328,10000,10000,10000,0.013225000000000002,0,0.079457499999999889,0.49302754320570508,0.49302754320570502,0.49302754320570502,0.45780395109194222,0.45780395109194238,0.45780395109194238,0.54568422458736354,0.54568422458736376,0.54568422458736376
Docking-44,200,6,row_disjoint_complement_map,100,0.71223512904385078,0.46922328428006121,0.93460814498884315,1.95,0,4,0.20705194805194804,0,0.5,0.43207356831698346,0.43120426310120563,0.4328084269181563,0.44811081225832394,0.43659049599221506,0.46565333693678573,0.016037243941340439,0.0044389142414011529,0.033883678610445299,0.80354669492885444,0.76730013000327735,0.83848265839718261,200,200,200,0.014849999999999999,0,0.095249999999999918,0.49211877244947749,0.49156110700324157,0.49283781033073809,0.45765689362971052,0.45694267704701158,0.4583959373573131,0.53927568041312446,0.53822486241656675,0.54006526877782601
Docking-44,200,8,full_source_map_including_calibration_rows,100,0.69705747554109665,0.48019286900242214,0.90703784062098447,3.4100000000000001,1,6,0.28470285270285273,0.066666666666666666,0.59999999999999998,0.39776751007762817,0.39776751007762828,0.39776751007762828,0.41265235577946635,0.40105613621773539,0.42912560881719136,0.014884845701837965,0.0032886261401071206,0.031358098739563051,0.77868699065232083,0.71586601120942073,0.83716262467821978,10000,10000,10000,0.012338,0,0.064487499999999753,0.45146929174025097,0.45146929174025086,0.45146929174025086,0.42406608569847321,0.42406608569847343,0.42406608569847343,0.49102562770282643,0.49102562770282659,0.49102562770282659
Docking-44,200,8,row_disjoint_complement_map,100,0.69367320882593686,0.46952280719129963,0.8968476958956304,3.4100000000000001,1,6,0.28470285270285273,0.066666666666666666,0.59999999999999998,0.39769494736505129,0.39682865719558302,0.39841052765695328,0.41294499532834428,0.4016578035296875,0.4295189591394733,0.015250047963292995,0.0036584943573964813,0.032465380154660134,0.77946176066807038,0.71566923208123734,0.83418744224821062,200,200,200,0.012549999999999997,0,0.068124999999999783,0.451538160367146,0.45078966454558567,0.45230893003946127,0.4248509355728069,0.42415158088639554,0.42565633505252137,0.49069871331636478,0.48979917649771099,0.49153423278784364
Docking-44,200,10,full_source_map_including_calibration_rows,100,0.69311081218606385,0.42612062255312477,0.88948981218932166,5.1200000000000001,3,8,0.36090127193068361,0.17647058823529413,0.66666666666666663,0.36509410302902523,0.36509410302902534,0.36509410302902534,0.38004073008839817,0.36811916064039907,0.39839413115915856,0.01494662705937278,0.0030250576113737201,0.033300028130133226,0.75570133630339331,0.70267986218669864,0.80208019657762353,10000,10000,10000,0.0066300000000000005,0,0.079667499999999919,0.41612524956316838,0.4161252495631686,0.4161252495631686,0.39268031268843251,0.39268031268843251,0.39268031268843251,0.44809726808011019,0.44809726808011024,0.44809726808011024
Docking-44,200,10,row_disjoint_complement_map,100,0.6902483959972191,0.42612062255312477,0.88948981218932166,5.1200000000000001,3,8,0.36090127193068361,0.17647058823529413,0.66666666666666663,0.36504205831907194,0.36426252845136076,0.36580950802119372,0.38031626087254639,0.36861084700546409,0.39871656792346172,0.015274202553474414,0.0029040174338325771,0.034155142581617545,0.7568041111671252,0.70069678708991245,0.80316043524411695,200,200,200,0.011399999999999999,0,0.12549999999999983,0.41366959985451163,0.41304744730916187,0.41437982587249794,0.39239225829023311,0.39162938144478399,0.39317736095006134,0.44907160713276523,0.44854860419320403,0.44978132602413828
Docking-44,500,6,full_source_map_including_calibration_rows,100,0.79506818477676855,0.58249605478592781,0.96467670723750154,3.1499999999999999,1,5,0.3843246753246754,0.090909090909090912,0.7142857142857143,0.43214781831379384,0.43214781831379373,0.43214781831379373,0.44035627263854088,0.43327204760712695,0.45264535559578356,0.008208454324747155,0.001124229293333208,0.020497537281989834,0.79581262664577879,0.7530352020993426,0.83645961850905426,10000,10000,10000,0.0010499999999999999,0,0.0091549999999999826,0.49302754320570508,0.49302754320570502,0.49302754320570502,0.45780395109194222,0.45780395109194238,0.45780395109194238,0.54568422458736354,0.54568422458736376,0.54568422458736376
Docking-44,500,6,row_disjoint_complement_map,100,0.78519919199083776,0.57920628879834224,0.95320781627848583,3.1499999999999999,1,5,0.3843246753246754,0.090909090909090912,0.7142857142857143,0.43205741840031281,0.43088749760879336,0.43316315710341857,0.44073816963352674,0.43358824591643014,0.4526382164708459,0.0086807512332139833,0.0012036020919530862,0.021717604226556008,0.79667379225685664,0.75180059783671793,0.83471202058233041,200,200,200,0.0010500000000000002,0,0.01,0.49207177548460584,0.49116043883849447,0.49297709100248416,0.45757801031816336,0.45643198607588192,0.45849600913645816,0.53915407611755006,0.53771998686944766,0.54029650110630345
