dataset,transformation,first_mw_decile,second_mw_decile,decile_separation,first_median_molecular_weight,second_median_molecular_weight,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,row_centered_residual,7,9,2,318.51000000000005,394.55200000000025,76.042000000000201,0.80656460942308528,0.19343539057691472,0.14549853113295319,0.81923890063424942,15.48416697330293,11.850138812263612
Docking-44,row_centered_residual,7,10,3,318.51000000000005,555.875,237.36499999999995,0.40572940425596299,0.59427059574403707,0.256291537678835,0.66384778012684986,15.48416697330293,11.342921311879712
Docking-44,row_centered_residual,8,9,1,349.33200000000011,394.55200000000025,45.220000000000141,0.92088904849396958,0.079110951506030425,0.096085846363301433,0.87949260042283295,13.218470258230443,11.850138812263612
Docking-44,row_centered_residual,8,10,2,349.33200000000011,555.875,206.54299999999989,0.45733120106048075,0.54266879893951925,0.25713805975253679,0.70084566596194509,13.218470258230443,11.342921311879712
Docking-44,row_centered_residual,9,10,1,394.55200000000025,555.875,161.32299999999975,0.5774297720811804,0.4225702279188196,0.23197645926937835,0.71987315010570829,11.850138812263612,11.342921311879712
DOCKSTRING-58,raw,1,2,1,248.54300000000001,295.34199999999998,46.798999999999978,0.76481429985337357,0.23518570014662643,0.16016121556972168,1,1.5369212044717879,2.1100936426953005
DOCKSTRING-58,raw,1,3,2,248.54300000000001,325.36800000000005,76.825000000000045,0.58918204034981847,0.41081795965018153,0.23576551067549345,1,1.5369212044717879,2.4645510389581964
DOCKSTRING-58,raw,1,4,3,248.54300000000001,349.76650000000006,101.22350000000006,0.50281181020703136,0.49718818979296864,0.25911348279209506,1,1.5369212044717879,2.5978350137382251
DOCKSTRING-58,raw,1,5,4,248.54300000000001,373.46900000000011,124.9260000000001,0.40795076262575669,0.59204923737424331,0.27768193351043896,1,1.5369212044717879,2.725697781024234
DOCKSTRING-58,raw,1,6,5,248.54300000000001,396.47950000000014,147.93650000000014,0.30879993470163364,0.69120006529836631,0.27838017297262924,0.999395039322444,1.5369212044717879,2.7611795267639589
DOCKSTRING-58,raw,1,7,6,248.54300000000001,421.50950000000012,172.96650000000011,0.2498249405146325,0.75017505948536756,0.27905247365471547,0.999395039322444,1.5369212044717879,2.834574832742589
DOCKSTRING-58,raw,1,8,7,248.54300000000001,449.49250000000023,200.94950000000023,0.2305246285997333,0.76947537140026667,0.29990773311709196,0.99758015728977611,1.5369212044717879,3.0733614137718459
DOCKSTRING-58,raw,1,9,8,248.54300000000001,486.47550000000024,237.93250000000023,0.16947611849927616,0.83052388150072387,0.29519402288414998,0.98729582577132491,1.5369212044717879,2.9388869759875029
DOCKSTRING-58,raw,1,10,9,248.54300000000001,562.74000000000024,314.19700000000023,0.13354499739341619,0.86645500260658381,0.31288336947700768,0.97761645493042948,1.5369212044717879,3.0285404871328705
DOCKSTRING-58,raw,2,3,1,295.34199999999998,325.36800000000005,30.026000000000067,0.94585216342098988,0.054147836579010122,0.08502555588775533,1,2.1100936426953005,2.4645510389581964
DOCKSTRING-58,raw,2,4,2,295.34199999999998,349.76650000000006,54.42450000000008,0.88598991211230327,0.11401008788769673,0.11670652752356792,1,2.1100936426953005,2.5978350137382251
DOCKSTRING-58,raw,2,5,3,295.34199999999998,373.46900000000011,78.127000000000123,0.80873845844281145,0.19126154155718855,0.142131286947143,1,2.1100936426953005,2.725697781024234
DOCKSTRING-58,raw,2,6,4,295.34199999999998,396.47950000000014,101.13750000000016,0.71199990747874853,0.28800009252125147,0.15376134579266104,0.999395039322444,2.1100936426953005,2.7611795267639589
DOCKSTRING-58,raw,2,7,5,295.34199999999998,421.50950000000012,126.16750000000013,0.63311073945208429,0.36688926054791571,0.1621394248164674,0.999395039322444,2.1100936426953005,2.834574832742589
DOCKSTRING-58,raw,2,8,6,295.34199999999998,449.49250000000023,154.15050000000025,0.57878232383510297,0.42121767616489703,0.18535310081274436,0.99758015728977611,2.1100936426953005,3.0733614137718459
DOCKSTRING-58,raw,2,9,7,295.34199999999998,486.47550000000024,191.13350000000025,0.47293993837793463,0.52706006162206531,0.19204254341541785,0.98729582577132491,2.1100936426953005,2.9388869759875029
DOCKSTRING-58,raw,2,10,8,295.34199999999998,562.74000000000024,267.39800000000025,0.37214719034368043,0.62785280965631962,0.21102453665352805,0.97761645493042948,2.1100936426953005,3.0285404871328705
DOCKSTRING-58,raw,3,4,1,325.36800000000005,349.76650000000006,24.398500000000013,0.97125517697502917,0.028744823024970834,0.043424059402144291,1,2.4645510389581964,2.5978350137382251
DOCKSTRING-58,raw,3,5,2,325.36800000000005,373.46900000000011,48.101000000000056,0.92613766587278445,0.073862334127215545,0.072746550756926626,1,2.4645510389581964,2.725697781024234
