dataset,transformation,first_mw_quintile,second_mw_quintile,first_median_molecular_weight,second_median_molecular_weight,median_molecular_weight_separation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,raw,2,4,231.3415,332.46299999999997,101.12149999999997,0.5848564119480845,0.41514358805191554,0.014799154334038054,0.21794871794871795,1.3989573539297364,2.0384738020921778,0.8190523509959072,0.6492457679883625,0.8194525794926392,0.649662839945533
Docking-44,raw,2,5,231.3415,439.5520000000003,208.2105000000003,0.35937166909883683,0.6406283309011631,0.03382663847780127,0.07954545454545454,1.3989573539297364,3.0513587610435193,0.8190523509959072,0.49559253939499015,0.8194525794926392,0.49903896986874824
Docking-44,raw,3,4,282.44,332.46299999999997,50.02299999999997,0.9217746157261394,0.07822538427386061,0.03699788583509514,0.484375,1.615250744419504,2.0384738020921778,0.7498779415022907,0.6492457679883625,0.7537160795447432,0.649662839945533
Docking-44,raw,3,5,282.44,439.5520000000003,157.1120000000003,0.6792407333995212,0.3207592666004788,0.045454545454545456,0.13095238095238096,1.615250744419504,3.0513587610435193,0.7498779415022907,0.49559253939499015,0.7537160795447432,0.49903896986874824
Docking-44,raw,4,5,332.46299999999997,439.5520000000003,107.08900000000034,0.8314043620593066,0.16859563794069343,0.023255813953488372,0.28378378378378377,2.0384738020921778,3.0513587610435193,0.6492457679883625,0.49559253939499015,0.649662839945533,0.49903896986874824
Docking-44,row_centered_residual,1,2,168.148,231.3415,63.1935,0.6079343994768467,0.3920656005231533,0.32346723044397463,0.37681159420289856,13.244214271663218,17.88749320113486,-0.013974346648973174,0.0013846358607598546,0.1814241321002193,0.1465481536448692
Docking-44,row_centered_residual,1,3,168.148,282.44,114.292,0.3970209343112759,0.6029790656887242,0.3773784355179704,0.1949685534591195,13.244214271663218,17.067114128226844,-0.013974346648973174,0.001686700293087328,0.1814241321002193,0.15609000269909826
Docking-44,row_centered_residual,1,4,168.148,332.46299999999997,164.31499999999997,0.2530710281944289,0.7469289718055712,0.42071881606765327,0.07954545454545454,13.244214271663218,13.993909086068903,-0.013974346648973174,0.004237898867119603,0.1814241321002193,0.18029816788160727
Docking-44,row_centered_residual,1,5,168.148,439.5520000000003,271.40400000000034,0.20067438107761282,0.7993256189223872,0.427061310782241,0.07344632768361582,13.244214271663218,10.4383654841691,-0.013974346648973174,-0.0011382394638016896,0.1814241321002193,0.229967678180449
Docking-44,row_centered_residual,2,3,231.3415,282.44,51.0985,0.8245127535763815,0.17548724642361846,0.1638477801268499,0.38686131386861317,17.88749320113486,17.067114128226844,0.0013846358607598546,0.001686700293087328,0.1465481536448692,0.15609000269909826
Docking-44,row_centered_residual,2,4,231.3415,332.46299999999997,101.12149999999997,0.5297460673949462,0.47025393260505377,0.3171247357293869,0.1728395061728395,17.88749320113486,13.993909086068903,0.0013846358607598546,0.004237898867119603,0.1465481536448692,0.18029816788160727
