dataset,transformation,repetition,chemical_groups_in_extremes,weighted_low_ligand_rows,weighted_high_ligand_rows,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,group_heldout_descriptor_adjusted_residual,178,4538,3094,3222,0.4891578574690482,0.5108421425309517,0.2959830866807611,0.18012422360248448,10.345026164994344,11.653922124125911,-0.013368646813338575,0.0031059962730227136,0.2308450979951947,0.2154982343999643
Docking-44,raw,179,4538,3185,3153,0.23474071066713684,0.7652592893328631,0.03382663847780127,0.061452513966480445,1.1954403296075282,3.1738473946981234,0.9082459308733024,0.4870592701942528,0.9082459308733024,0.4916851098989884
Docking-44,row_centered_residual,179,4538,3185,3153,0.21863611859437107,0.781363881405629,0.4186046511627907,0.09195402298850575,13.554458579162354,10.027460885239659,-0.01177151791519118,-0.00230321310585345,0.1763040808651294,0.23708217864605252
Docking-44,group_heldout_descriptor_adjusted_residual,179,4538,3185,3153,0.45205167476722685,0.5479483252327731,0.3150105708245243,0.21794871794871795,11.207667775899358,12.729521382940678,-0.013480691645299773,-0.0034067614955446642,0.2174682033126653,0.2008355224346716
Docking-44,raw,180,4538,3125,3223,0.23255392261556157,0.7674460773844385,0.02748414376321353,0.061452513966480445,1.18655737444779,2.8512583880294597,0.912479541347845,0.5161024033785128,0.912479541347845,0.5206109738010897
Docking-44,row_centered_residual,180,4538,3125,3223,0.2049311733209476,0.7950688266790524,0.42917547568710357,0.07344632768361582,13.780207953868054,10.474677903576858,-0.012223189069373593,0.0013372171621749396,0.1736981241270938,0.2305509527175575
Docking-44,group_heldout_descriptor_adjusted_residual,180,4538,3125,3223,0.5211166487412159,0.4788833512587841,0.2959830866807611,0.18012422360248448,11.128415125727185,12.811072195512036,-0.013184017742662221,0.002302033557439252,0.21908354789508713,0.20031469848463698
Docking-44,raw,181,4538,3210,3063,0.232132273206903,0.767867726793097,0.02748414376321353,0.05555555555555555,1.1901253881212202,3.010292345620958,0.9103279816599785,0.49952568690309324,0.9103279816599785,0.5042794115097271
Docking-44,row_centered_residual,181,4538,3210,3063,0.18998514971108962,0.8100148502889104,0.42917547568710357,0.07344632768361582,13.414153102128127,9.581005428928092,-0.010880170450484795,0.0007657459824056025,0.1771224031443101,0.24431639813504213
Docking-44,group_heldout_descriptor_adjusted_residual,181,4538,3210,3063,0.48436086014239776,0.5156391398576022,0.30021141649048627,0.1949685534591195,10.9116503772503,11.845041617572937,-0.012783569656198195,0.0009951997821528594,0.22117434519514736,0.21268452028642923
Docking-44,raw,182,4538,3104,3293,0.22463162817771,0.77536837182229,0.023255813953488372,0.06741573033707865,1.1841764008113367,3.1782456434309987,0.9131232533559875,0.4857850045499111,0.9131232533559875,0.4900206664035306
Docking-44,row_centered_residual,182,4538,3104,3293,0.2068822391260445,0.7931177608739555,0.42917547568710357,0.09195402298850575,13.54832882869559,9.733303297824738,-0.011762391096322366,-0.00243761370244136,0.17526613378920897,0.23929845918495812
Docking-44,group_heldout_descriptor_adjusted_residual,182,4538,3104,3293,0.4625724845022013,0.5374275154977988,0.3150105708245243,0.21019108280254778,10.838215805090089,12.13048296502066,-0.013163533399389658,-0.002048434173637368,0.22233746222604342,0.20887627490484775
