dataset,descriptor,transformation,analysis_status,extreme_fraction_per_tail,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_descriptor_median,high_descriptor_median,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,rotatable_bonds,row_centered_residual,exploratory_post_hoc,0.25,4.0,7.0,6154,4352,3.0,8.0,0.8314147147079953,0.16858528529200467,0.18451300665456746,0.48878923766816146,17.26890118472509,18.44533210879598,-0.005454243008977198,-0.0010577567650190787,0.16213867615752067,0.1522963151204553
DOCKSTRING-58,ring_count,raw,exploratory_post_hoc,0.25,3.0,4.0,8376,6624,3.0,4.0,0.7754636861234928,0.2245363138765072,0.016333938294010888,0.27692307692307694,2.195240247260071,3.8285875598382844,0.64467250537685,0.46698437932019404,0.6446846127757834,0.4701331000638378
DOCKSTRING-58,ring_count,row_centered_residual,exploratory_post_hoc,0.25,3.0,4.0,8376,6624,3.0,4.0,0.8027916167478151,0.19720838325218493,0.1820931639443436,0.4188034188034188,19.969844178089158,22.04440752408353,-0.006721312462537094,-0.00552355575875191,0.145606334256936,0.13288633887618037
Docking-44,heavy_atoms,raw,exploratory_post_hoc,0.25,15.0,24.0,3545,3523,12.0,27.0,0.2528489843585249,0.7471510156414751,0.02536997885835095,0.061452513966480445,1.2133180872333267,3.1841525861525626,0.9010264094551115,0.4851223618744839,0.9010264094551115,0.4916733461868688
Docking-44,heavy_atoms,row_centered_residual,exploratory_post_hoc,0.25,15.0,24.0,3545,3523,12.0,27.0,0.20732733318868235,0.7926726668113176,0.42389006342494717,0.07344632768361582,14.542564795363111,9.895010503699641,-0.010467374954664932,-0.00016974467815576667,0.16582424728858475,0.24011754619390555
Docking-44,molecular_weight,raw,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.2272436943147387,0.7727563056852613,0.02748414376321353,0.049723756906077346,1.1872844551689294,2.9949607528316653,0.9118573360243823,0.5029122788192639,0.9118573360243823,0.5072785126430115
Docking-44,molecular_weight,row_centered_residual,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.20496480945389367,0.7950351905461064,0.4249471458773784,0.07954545454545454,13.62457616857832,10.147009176104564,-0.011721849660358987,-0.0002924013658567348,0.1748247442427033,0.23498785535833677
Docking-44,molecular_weight,group_heldout_descriptor_adjusted_residual,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.4892200836062725,0.5107799163937274,0.2959830866807611,0.20253164556962025,10.895575458916129,12.613355294985002,-0.013313455522460396,0.0002374188245365537,0.22239417537207404,0.2030366385150388
Docking-44,labute_asa,raw,exploratory_post_hoc,0.25,90.94970063554435,146.51799683145404,3163,3163,74.01517275354266,170.16221802409962,0.21725920584494784,0.7827407941550522,0.02748414376321353,0.05555555555555555,1.1933560019640785,3.112729459999596,0.9099353413652997,0.49189872814415364,0.9099353413652997,0.49842112098983093
Docking-44,labute_asa,row_centered_residual,exploratory_post_hoc,0.25,90.94970063554435,146.51799683145404,3163,3163,74.01517275354266,170.16221802409962,0.200058200573905,0.799941799426095,0.4397463002114165,0.07344632768361582,14.161188065968322,10.157118282560038,-0.012530944686480463,-0.000629547640529111,0.17174634198940383,0.23602977922827859
Docking-44,tpsa,raw,exploratory_post_hoc,0.25,28.375,67.86999999999999,3163,3167,17.07,91.46000000000001,0.8725877175031174,0.12741228249688263,0.02748414376321353,0.3103448275862069,1.395838561818573,2.918397909870866,0.8097968090543831,0.501432953118718,0.8160792930420742,0.5111290542851527
Docking-44,tpsa,row_centered_residual,exploratory_post_hoc,0.25,28.375,67.86999999999999,3163,3167,17.07,91.46000000000001,0.75305974173389,0.24694025826611,0.20824524312896406,0.3103448275862069,10.471918699626206,8.617887351952431,0.008361667006035878,-0.0018472469883310156,0.22199746597715966,0.259702084002364
Docking-44,clogp,raw,exploratory_post_hoc,0.25,1.5392199999999998,3.6399000000000026,3164,3163,0.6722,4.443100000000004,0.9583137326316521,0.04168626736834791,0.022198731501057084,0.6239316239316239,1.6560191096776116,2.3944990870133345,0.7358830617740121,0.5828163350238011,0.7377211776599298,0.5872751374459122
Docking-44,clogp,row_centered_residual,exploratory_post_hoc,0.25,1.5392199999999998,3.6399000000000026,3164,3163,0.6722,4.443100000000004,0.8872465653635073,0.11275343463649268,0.13107822410147993,0.5966386554621849,8.442976461932325,9.654640794104152,-0.000677845441851512,0.003754540199533112,0.2595262100142913,0.24157780834321996
Docking-44,rotatable_bonds,raw,exploratory_post_hoc,0.25,2.0,7.0,3736,3168,1.0,9.0,0.8849134395805645,0.11508656041943555,0.040169133192389,0.49606299212598426,1.4519104136909284,2.828926946970078,0.7953245767347726,0.5146171427235059,0.7981257070805741,0.5218349202923515
Docking-44,rotatable_bonds,row_centered_residual,exploratory_post_hoc,0.25,2.0,7.0,3736,3168,1.0,9.0,0.7885726518323949,0.2114273481676051,0.2029598308668076,0.39705882352941174,8.735658841134716,9.309312008980438,0.0073536403801284685,-0.0035740917555784086,0.2570253386897216,0.246825193722333
Docking-44,ring_count,raw,exploratory_post_hoc,0.25,1.0,3.0,4537,4349,1.0,3.0,0.7434242157407107,0.2565757842592893,0.07716701902748414,0.26666666666666666,1.4705268304402745,4.193776664992154,0.8031746691561178,0.4017186058301222,0.8031746691561178,0.4123563290835211
Docking-44,ring_count,row_centered_residual,exploratory_post_hoc,0.25,1.0,3.0,4537,4349,1.0,3.0,0.703229858992242,0.296770141007758,0.226215644820296,0.3013698630136986,12.422420018299528,9.385949958676218,-0.001372411652788239,-0.000765264908976813,0.197599444163077,0.24595429429803997
