dataset,repetition,first_ligands,second_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,12,7499,7501,5871,6034,0,385.5480000000002,384.46500000000015,1.0830000000000268,0.015556426943225368,row_centered_residual,0.9937802572774125,0.006219742722587518,0.029038112522686024,0.9190751445086706,17.805995936047996,17.99270509619239,-0.002507583961668546,-0.0020468584028300076,0.15720771738758835,0.1562849049612599
DOCKSTRING-58,12,7499,7501,5871,6034,0,385.5480000000002,384.46500000000015,1.0830000000000268,0.015556426943225368,group_heldout_descriptor_adjusted_residual,0.9876434818658798,0.012356518134120198,0.055051421657592255,0.8342541436464088,28.317460749989802,28.48380271590882,-0.012342996588197258,-0.012068874812387663,0.1077984297942737,0.10752804735173116
DOCKSTRING-58,13,7541,7459,5899,6006,0,384.54500000000013,385.4230000000002,0.8780000000000427,0.011692687207239028,raw,0.9979778033058451,0.002022196694154932,0.004839685420447671,0.8863636363636364,2.2198735722175966,2.2784214509194958,0.62307270580056,0.6121098334055387,0.6292721231069945,0.6192228995825413
DOCKSTRING-58,13,7541,7459,5899,6006,0,384.54500000000013,385.4230000000002,0.8780000000000427,0.011692687207239028,row_centered_residual,0.9953189996135967,0.004681000386403289,0.02722323049001815,0.9080459770114943,17.941910413012565,17.85973898694293,-0.002301834332029493,-0.0022504231816936468,0.15610720770765332,0.15737141695881454
DOCKSTRING-58,13,7541,7459,5899,6006,0,384.54500000000013,385.4230000000002,0.8780000000000427,0.011692687207239028,group_heldout_descriptor_adjusted_residual,0.9887528388766051,0.011247161123394855,0.047186932849364795,0.8651685393258427,28.404793409145785,28.39038555382975,-0.012058435789621645,-0.012349787617939182,0.10766270693598709,0.10753208103881069
DOCKSTRING-58,14,7511,7489,5861,6044,0,385.41600000000017,384.56700000000006,0.8490000000001032,0.01996397183361052,raw,0.9975524457261129,0.002447554273887098,0.006654567453115548,0.8547486033519553,2.222354944188877,2.2750476142951688,0.6226879918147182,0.6126711792975846,0.6288089797286244,0.6198694005365234
DOCKSTRING-58,14,7511,7489,5861,6044,0,385.41600000000017,384.56700000000006,0.8490000000001032,0.01996397183361052,row_centered_residual,0.9933972733893678,0.006602726610632215,0.030852994555353903,0.8863636363636364,18.00737277395536,17.77482076336589,-0.002575731270439257,-0.0019754834899993507,0.15631305391514216,0.15723295090566614
DOCKSTRING-58,14,7511,7489,5861,6044,0,385.41600000000017,384.56700000000006,0.8490000000001032,0.01996397183361052,group_heldout_descriptor_adjusted_residual,0.9868169198966552,0.01318308010334479,0.05021173623714459,0.8757062146892656,28.329973835059782,28.439056758890967,-0.012225477147625573,-0.012188995167346115,0.10805124792216718,0.1073030981629554
DOCKSTRING-58,15,7499,7501,5881,6024,0,385.4200000000002,384.567,0.8530000000001792,0.018589831441597003,raw,0.9976944529880535,0.0023055470119465182,0.004839685420447671,0.8444444444444444,2.215655574173756,2.282173424522977,0.6229438758493745,0.6124386222301734,0.6296240357674627,0.6189808474020768
DOCKSTRING-58,15,7499,7501,5881,6024,0,385.4200000000002,384.567,0.8530000000001792,0.018589831441597003,row_centered_residual,0.9940471379410081,0.005952862058991926,0.03206291591046582,0.8863636363636364,17.803692717158388,17.988690542873446,-0.0023469188508266907,-0.00220745904665078,0.15701229297140143,0.15648039324849555
DOCKSTRING-58,15,7499,7501,5881,6024,0,385.4200000000002,384.567,0.8530000000001792,0.018589831441597003,group_heldout_descriptor_adjusted_residual,0.9859083444163204,0.014091655583679641,0.05323653962492438,0.8342541436464088,28.540001063937165,28.219064205535474,-0.012141892209514503,-0.01226671660362311,0.10705351986417157,0.10837090783589935
DOCKSTRING-58,16,7496,7504,6043,5862,0,384.3195000000001,386.34050000000013,2.021000000000015,0.016503329138724734,raw,0.9976545262315999,0.002345473768400108,0.006654567453115548,0.8863636363636364,2.324630285230334,2.178313714237504,0.6052124747642977,0.6297535484500469,0.6121589004706476,0.6361416919110295
DOCKSTRING-58,16,7496,7504,6043,5862,0,384.3195000000001,386.34050000000013,2.021000000000015,0.016503329138724734,row_centered_residual,0.9937671564765027,0.006232843523497289,0.027828191167574106,0.9190751445086706,17.856954854253946,17.926280857147457,-0.00232331158562445,-0.0022265721492204524,0.15719914712405,0.15632334892309163
DOCKSTRING-58,16,7496,7504,6043,5862,0,384.3195000000001,386.34050000000013,2.021000000000015,0.016503329138724734,group_heldout_descriptor_adjusted_residual,0.9841015205319306,0.015898479468069437,0.05807622504537205,0.8444444444444444,28.260810226394756,28.48360593214221,-0.012280560307532475,-0.012132646603907648,0.10850293004935402,0.10699203329623759
DOCKSTRING-58,17,7498,7502,6016,5889,0,384.83850000000007,385.4275000000001,0.5890000000000555,0.016144214481366364,raw,0.9975895987579367,0.0024104012420632648,0.007259528130671506,0.8863636363636364,2.2869117479904872,2.212109429074579,0.6103873800365764,0.6246846956459268,0.6174803150455784,0.6309986337146061
DOCKSTRING-58,17,7498,7502,6016,5889,0,384.83850000000007,385.4275000000001,0.5890000000000555,0.016144214481366364,row_centered_residual,0.9944909391954342,0.005509060804565813,0.02661826981246219,0.8757062146892656,17.96234782923967,17.83895202589644,-0.002144089881775504,-0.0024105986604927242,0.1567000422350263,0.1567207653255005
DOCKSTRING-58,17,7498,7502,6016,5889,0,384.83850000000007,385.4275000000001,0.5890000000000555,0.016144214481366364,group_heldout_descriptor_adjusted_residual,0.9886311616346528,0.01136883836534719,0.0544464609800363,0.8651685393258427,28.665392188055826,28.143598628918944,-0.012283832264553964,-0.012125328897336201,0.1069204372488388,0.10828413653212937
DOCKSTRING-58,18,7501,7499,5826,6079,0,386.35100000000017,383.8790000000002,2.47199999999998,0.013772071355947935,raw,0.9972618661892431,0.0027381338107569375,0.0030248033877797943,0.8342541436464088,2.2121901065848997,2.2853229201456413,0.6236623500232346,0.6117760491429303,0.6299843049727561,0.6186310707278049
