dataset,transformation,repetition,first_ligands,second_ligands,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,raw,254,3163,3163,0.9955133395864221,0.004486660413577925,0.0021141649048625794,0.7757009345794392,1.82994346926787,1.8297962819603113,0.6854835997260634,0.6859520553083132,0.6948602934285029,0.695725917804138
Docking-44,row_centered_residual,254,3163,3163,0.9915026028137198,0.008497397186280176,0.03488372093023256,0.8627450980392157,9.194242814678393,9.48931015146749,0.0036292259561377838,0.0031635995654350564,0.24807986972183807,0.24189848911232611
Docking-44,group_heldout_descriptor_adjusted_residual,254,3163,3163,0.9810570314241638,0.018942968575836217,0.04439746300211417,0.7592592592592593,14.791411997958566,14.920595066130227,-0.004989242152282221,-0.0033299954982850214,0.17956061321313893,0.17845112097985183
Docking-44,raw,255,3163,3163,0.9949733612954063,0.005026638704593744,0.0021141649048625794,0.7757009345794392,1.817469166778946,1.869759312803213,0.688725771096126,0.6780797295361599,0.6984805253428084,0.6875136963468543
Docking-44,row_centered_residual,255,3163,3163,0.990557942012965,0.009442057987035013,0.04334038054968287,0.8627450980392157,9.3511755937681,9.16674143852816,0.002051234837797062,0.0021658823510684534,0.24531019372689206,0.24957757351945095
Docking-44,group_heldout_descriptor_adjusted_residual,255,3163,3163,0.9800248429702519,0.01997515702974806,0.05919661733615222,0.6814159292035398,14.45239855529497,14.513363776883393,-0.004946104397975712,-0.00532634975092813,0.1823350524937418,0.1820696019658021
Docking-44,raw,256,3163,3163,0.996294993421783,0.0037050065782170405,0.0010570824524312897,0.7757009345794392,1.850396647784182,1.8845497531416862,0.6817008921185629,0.6743404644361366,0.690995010491737,0.683823593224426
Docking-44,row_centered_residual,256,3163,3163,0.9930984126558889,0.00690158734411106,0.042283298097251586,0.8269230769230769,9.069030263403691,9.0252972081091,0.00224054020257805,0.0026573965342437935,0.2510654482865909,0.25237500804551033
Docking-44,group_heldout_descriptor_adjusted_residual,256,3163,3163,0.9837494954314284,0.016250504568571578,0.049682875264270614,0.7117117117117117,14.502342675505117,14.940831416090168,-0.0052736896692915525,-0.004868217600502702,0.18278165171427432,0.17858424595123856
Docking-44,raw,257,3163,3163,0.9954288736293105,0.00457112637068946,0.0010570824524312897,0.7924528301886793,1.8238583765684884,1.8276162092631185,0.6879716275066546,0.6869225529714802,0.6963514196693157,0.6964790394943884
Docking-44,row_centered_residual,257,3163,3163,0.9928409041741229,0.007159095825877149,0.039112050739957716,0.8446601941747572,9.420904705555586,9.434569894602872,0.0015267273515752694,0.002402865800001963,0.24320554900352684,0.2442151971286862
Docking-44,group_heldout_descriptor_adjusted_residual,257,3163,3163,0.9813647885748276,0.018635211425172438,0.048625792811839326,0.6964285714285714,14.726365097396672,15.424186866596175,-0.005791598964739778,-0.005443326812070393,0.17912455449039782,0.17342496733819754
Docking-44,raw,258,3163,3163,0.9952700906704982,0.004729909329501791,0.0010570824524312897,0.7757009345794392,1.835127425145883,1.7898265206904713,0.6839291318866988,0.6967394495492996,0.6931295361925922,0.7060243103485645
Docking-44,row_centered_residual,258,3163,3163,0.9921097116254405,0.007890288374559518,0.03699788583509514,0.8269230769230769,9.038660458292979,9.157203340596487,0.004689225761561753,0.0021437014922691035,0.24973396525378694,0.24944309887606653
Docking-44,group_heldout_descriptor_adjusted_residual,258,3163,3163,0.9791258241198074,0.02087417588019258,0.05919661733615222,0.7272727272727273,14.0071611585217,14.453050380692407,-0.0025724260448846087,-0.005572100075646067,0.1869818571011292,0.18276739967353955
Docking-44,raw,259,3163,3163,0.9950054098822546,0.00499459011774539,0.003171247357293869,0.7592592592592593,1.8191075526596123,1.8208776577026429,0.6878037384938883,0.6854388880154613,0.6978535079140706,0.6954047375901791
Docking-44,row_centered_residual,259,3163,3163,0.9893179409399541,0.010682059060045934,0.05179704016913319,0.8446601941747572,8.781435060708919,9.366970946232275,0.004657266748812709,0.0038835253426001796,0.25591142582278503,0.24326360622793858
Docking-44,group_heldout_descriptor_adjusted_residual,259,3163,3163,0.9765842053408663,0.023415794659133682,0.052854122621564484,0.6239316239316239,14.528446988812746,14.531611769140358,-0.0036745697314903014,-0.004115166822761198,0.18257781711630597,0.1809414503509656
