target_a,target_b,scaffold_residual_mean_correlation,scaffold_residual_mean_percentile_rank,scaffold_residual_between_support_sd,scaffold_residual_between_support_rank_sd,scaffold_residual_stability_confidence,scaffold_residual_lcb_rank,scaffold_residual_sign_agreement_fraction,scaffold_raw_mean_correlation,scaffold_raw_mean_percentile_rank,scaffold_raw_between_support_sd,scaffold_raw_between_support_rank_sd,scaffold_raw_stability_confidence,scaffold_raw_lcb_rank,scaffold_raw_sign_agreement_fraction,random_residual_mean_correlation,random_residual_mean_percentile_rank,random_residual_between_support_sd,random_residual_between_support_rank_sd,random_residual_stability_confidence,random_residual_lcb_rank,random_residual_sign_agreement_fraction,random_raw_mean_correlation,random_raw_mean_percentile_rank,random_raw_between_support_sd,random_raw_between_support_rank_sd,random_raw_stability_confidence,random_raw_lcb_rank,random_raw_sign_agreement_fraction
CDK2,MAP2K1,0.00478175829831766,0.618201058201058,0.0233213179959424,0.0516241538013188,-0.0516241538013188,0.533279325197889,0.58,0.795360165621316,0.804444444444444,0.00977719316207229,0.0317633037994021,-0.0317633037994021,0.752193809694428,1,0.030300338438094,0.653227513227513,0.0246237147629084,0.0474232016280318,-0.0474232016280318,0.575216346549401,0.9,0.813408194963045,0.820634920634921,0.00778074133083946,0.0328993608357073,-0.0328993608357073,0.766515472060182,1
CDK2,MAPK1,0.172462434041053,0.887407407407407,0.0258830498311063,0.0293529899596671,-0.0293529899596671,0.839121738923755,1,0.815416645994386,0.895238095238095,0.00873606814520338,0.0315655525590644,-0.0315655525590644,0.843312761278435,1,0.181396252485308,0.887195767195767,0.0226218301502803,0.0258419403502482,-0.0258419403502482,0.844685775319609,1,0.821597837632769,0.857460317460317,0.00752560340291543,0.0291845338543907,-0.0291845338543907,0.809451759269845,1
CDK2,MAPK14,-0.0575890092046429,0.486984126984127,0.022395650761658,0.0431032564494296,-0.0431032564494296,0.416079270124815,0.98,0.740086650271034,0.55978835978836,0.0116152247330501,0.0470821209445123,-0.0470821209445123,0.482338270834637,1,-0.0620713471535362,0.474814814814815,0.0227470069586652,0.0418776655094489,-0.0418776655094489,0.405926055051771,1,0.757670631528877,0.598730158730159,0.00943047508789186,0.0381743410816046,-0.0381743410816046,0.535933367650919,1
CDK2,MAPKAPK2,0.180057057141785,0.899047619047619,0.0228042301566066,0.0235371770904296,-0.0235371770904296,0.860328962733862,1,0.856257188611571,0.988253968253967,0.0050702255872736,0.00342896333249094,-0.00342896333249094,0.98261332357202,1,0.182291632850189,0.887301587301587,0.029886763603639,0.0351819172267182,-0.0351819172267182,0.829427333463636,1,0.864226646157167,0.984867724867724,0.00597345471531289,0.00414138398542788,-0.00414138398542788,0.978055148211695,1
CDK2,MET,-0.234075738710804,0.155238095238095,0.02291572116741,0.0335929306205853,-0.0335929306205853,0.0999777243672324,1,0.681467782481302,0.31037037037037,0.0121575933539166,0.0240360434867999,-0.0240360434867999,0.270831078834584,1,-0.247518374771433,0.161481481481481,0.0266184448423502,0.0348062508728546,-0.0348062508728546,0.104225198795636,1,0.692605307589859,0.326560846560847,0.0138691995614994,0.0249327722303669,-0.0249327722303669,0.285546436241893,1
CDK2,PLK1,0.106283086528361,0.801058201058201,0.0255037452922389,0.0402809148736938,-0.0402809148736938,0.734796096090975,1,0.830677530697962,0.956296296296296,0.00882170523735244,0.0210234506720157,-0.0210234506720157,0.921712719940831,1,0.116986255375794,0.802645502645503,0.0303985258766946,0.0468052454294912,-0.0468052454294912,0.72565087391399,1,0.841560355673276,0.951005291005291,0.00820578105457324,0.0208871316012558,-0.0208871316012558,0.916645959521225,1
CDK2,ROCK1,0.130030437846628,0.839047619047619,0.0273531487651396,0.0392040401797267,-0.0392040401797267,0.774556972951968,1,0.829079982120384,0.95015873015873,0.00971854631437423,0.0212203655551144,-0.0212203655551144,0.915251228820567,1,0.163223136164456,0.87058201058201,0.0255583111228951,0.0295309337763413,-0.0295309337763413,0.822003624519929,1,0.844737875686659,0.960634920634921,0.00758839044069629,0.0148564057466617,-0.0148564057466617,0.936196133181662,1
CDK2,SRC,0.08049072204593,0.757777777777778,0.025822465946746,0.0441163376497029,-0.0441163376497029,0.685206402344016,1,0.810277527677202,0.873862433862434,0.0103357988042908,0.0331434854325754,-0.0331434854325754,0.819341400325847,1,0.0997724838622987,0.775873015873016,0.030803954473314,0.0502149119240896,-0.0502149119240896,0.693269485757889,1,0.826099415989877,0.88,0.00835546677158176,0.032076172716104,-0.032076172716104,0.827234695882009,1
CSF1R,EGFR,-0.195948353406207,0.215555555555556,0.0244929087414057,0.039706791710938,-0.039706791710938,0.150237883191063,1,0.716509629376388,0.432486772486772,0.0126008486681666,0.0412868653266265,-0.0412868653266265,0.364569879024472,1,-0.209226671697361,0.211005291005291,0.0220835749925815,0.0276201687648228,-0.0276201687648228,0.165570113387157,1,0.723745571474573,0.424973544973545,0.0117636108794693,0.0341801582778301,-0.0341801582778301,0.368747184606514,1
CSF1R,FGFR1,-0.131153662464347,0.334179894179894,0.021905233397776,0.0495344771383906,-0.0495344771383906,0.252695679287242,1,0.608321444371698,0.142116402116402,0.0150797649598483,0.0247480850413274,-0.0247480850413274,0.101405802223419,1,-0.105017520697622,0.394920634920635,0.0199010935968112,0.0411197812308078,-0.0411197812308078,0.327278594795956,1,0.605437469284595,0.135026455026455,0.014988564646456,0.0192481258260281,-0.0192481258260281,0.103363288042639,1
