support_kind,surface,support_a,support_b,edge_rank_spearman
scaffold,residual,5,17,0.969734108394896
scaffold,residual,5,18,0.982021371054163
scaffold,residual,5,19,0.976818136090663
scaffold,residual,5,20,0.980884147541629
scaffold,residual,5,21,0.976812887366759
scaffold,residual,5,22,0.976476969036903
scaffold,residual,5,23,0.97741299146645
scaffold,residual,5,24,0.976844379710183
scaffold,residual,5,25,0.979571966565629
scaffold,residual,5,26,0.976604687985234
scaffold,residual,5,27,0.979341022713853
scaffold,residual,5,28,0.979788913820328
scaffold,residual,5,29,0.966077497408443
scaffold,residual,5,30,0.980074094485778
scaffold,residual,5,31,0.979626203379303
scaffold,residual,5,32,0.972062792233638
scaffold,residual,5,33,0.973357477463292
scaffold,residual,5,34,0.978284279634514
scaffold,residual,5,35,0.982864666028072
scaffold,residual,5,36,0.980882397966994
scaffold,residual,5,37,0.987184365801065
scaffold,residual,5,38,0.975689660451303
scaffold,residual,5,39,0.979573716140263
scaffold,residual,5,40,0.974951339955473
scaffold,residual,5,41,0.978231792395474
scaffold,residual,5,42,0.979468741662183
scaffold,residual,5,43,0.979773167648616
scaffold,residual,5,44,0.980268297270226
scaffold,residual,5,45,0.984245080414824
scaffold,residual,5,46,0.97917131397429
scaffold,residual,5,47,0.979501983580242
scaffold,residual,5,48,0.983727206322963
scaffold,residual,5,49,0.979285036325543
scaffold,residual,6,7,0.98208785489028
scaffold,residual,6,8,0.980894644989437
scaffold,residual,6,9,0.982002125733181
scaffold,residual,6,10,0.984885424731112
scaffold,residual,6,11,0.982002125733181
scaffold,residual,6,12,0.977390246996199
scaffold,residual,6,13,0.981890152956562
scaffold,residual,6,14,0.983527754814611
scaffold,residual,6,15,0.984617739812008
scaffold,residual,6,16,0.982094853188819
scaffold,residual,6,17,0.976429730521767
scaffold,residual,6,18,0.985035888149694
scaffold,residual,6,19,0.97993587808964
scaffold,residual,6,20,0.982698456437779
scaffold,residual,6,21,0.978893131607378
scaffold,residual,6,22,0.983151596268157
scaffold,residual,6,23,0.98489592217892
scaffold,residual,6,24,0.978758414360509
scaffold,residual,6,25,0.982128095106877
scaffold,residual,6,26,0.980553477935677
scaffold,residual,6,27,0.980920888608957
scaffold,residual,6,28,0.981022363937768
scaffold,residual,6,29,0.98182541869508
scaffold,residual,6,30,0.985880932698238
scaffold,residual,6,31,0.981094096497789
scaffold,residual,6,32,0.978041088760295
scaffold,residual,6,33,0.98397739549572
scaffold,residual,6,34,0.98311135605156
scaffold,residual,6,35,0.979608707632957
scaffold,residual,6,36,0.984350054892904
scaffold,residual,6,37,0.983067616685693
scaffold,residual,6,38,0.98363622844196
scaffold,residual,6,39,0.985273830300008
scaffold,residual,6,40,0.985298324344894
scaffold,residual,6,41,0.982918902841747
scaffold,residual,6,42,0.983893415913256
scaffold,residual,6,43,0.984507516610024
scaffold,residual,6,44,0.985557261390824
scaffold,residual,6,45,0.979930629365735
scaffold,residual,6,46,0.982763190699261
scaffold,residual,6,47,0.984953658141864
scaffold,residual,6,48,0.980140578321896
scaffold,residual,6,49,0.976830383113106
scaffold,residual,7,8,0.964236944892773
scaffold,residual,7,9,0.981045108408019
scaffold,residual,7,10,0.97830527453013
scaffold,residual,7,11,0.972967322319761
scaffold,residual,7,12,0.97079260104887
scaffold,residual,7,13,0.97304955232759
scaffold,residual,7,14,0.979454745065106
scaffold,residual,7,15,0.978768911808317
scaffold,residual,7,16,0.97980116084277
scaffold,residual,7,17,0.963426891836922
scaffold,residual,7,18,0.98271770175876
scaffold,residual,7,19,0.971455689835409
scaffold,residual,7,20,0.978609700516562
scaffold,residual,7,21,0.974319743512359
scaffold,residual,7,22,0.979503733154877
scaffold,residual,7,23,0.973203514895441
scaffold,residual,7,24,0.971509926649084
scaffold,residual,7,25,0.971998057972156
scaffold,residual,7,26,0.98058846942837
scaffold,residual,7,27,0.975019573366226
scaffold,residual,7,28,0.980177319389224
scaffold,residual,7,29,0.968162990372966
scaffold,residual,7,30,0.978247538567186
scaffold,residual,7,31,0.971915827964326
scaffold,residual,7,32,0.969917813731537
scaffold,residual,7,33,0.975304754031676
scaffold,residual,7,34,0.970202994396987
scaffold,residual,7,35,0.967841068640187
scaffold,residual,7,36,0.976267020080743
scaffold,residual,7,37,0.977573952332839
scaffold,residual,7,38,0.976447226268114
scaffold,residual,7,39,0.97851522348629
scaffold,residual,7,40,0.978175806007165
scaffold,residual,7,41,0.981582227820861
scaffold,residual,7,42,0.978614949240466
scaffold,residual,7,43,0.980242053650706
scaffold,residual,7,44,0.976693916291602
scaffold,residual,7,45,0.977507468496722
scaffold,residual,7,46,0.981554234626707
scaffold,residual,7,47,0.980138828747261
scaffold,residual,7,48,0.979402257826066
scaffold,residual,7,49,0.969333455803558
scaffold,residual,8,9,0.974944341656935
scaffold,residual,8,10,0.978735669890258
scaffold,residual,8,11,0.982397529600616
scaffold,residual,8,12,0.979159066951848
scaffold,residual,8,13,0.981039859684114
scaffold,residual,8,14,0.976240776461223
scaffold,residual,8,15,0.979640199976381
scaffold,residual,8,16,0.978317521552573
scaffold,residual,8,17,0.979085584817191
scaffold,residual,8,18,0.981631215910632
scaffold,residual,8,19,0.976709662463314
scaffold,residual,8,20,0.979682189767613
scaffold,residual,8,21,0.975003827194513
scaffold,residual,8,22,0.978161809410087
scaffold,residual,8,23,0.982890909647592
scaffold,residual,8,24,0.977986851946621
scaffold,residual,8,25,0.978817899898087
scaffold,residual,8,26,0.972965572745127
scaffold,residual,8,27,0.9773045178391
scaffold,residual,8,28,0.975698408324476
scaffold,residual,8,29,0.974996828895975
scaffold,residual,8,30,0.978844143517608
scaffold,residual,8,31,0.977257279323964
scaffold,residual,8,32,0.974904101440337
scaffold,residual,8,33,0.978742668188797
scaffold,residual,8,34,0.97775415852021
scaffold,residual,8,35,0.978889632458109
scaffold,residual,8,36,0.977364003376679
scaffold,residual,8,37,0.979432000594855
scaffold,residual,8,38,0.985695477786963
scaffold,residual,8,39,0.973847358360999
scaffold,residual,8,40,0.977932615132946
scaffold,residual,8,41,0.977475976153298
scaffold,residual,8,42,0.981590975694035
scaffold,residual,8,43,0.974010068802023
scaffold,residual,8,44,0.978894881182013
scaffold,residual,8,45,0.978431243903826
scaffold,residual,8,46,0.980147576620434
scaffold,residual,8,47,0.974883106544721
scaffold,residual,8,48,0.973849107935633
scaffold,residual,8,49,0.978695429673661
scaffold,residual,9,10,0.982603979407507
scaffold,residual,9,11,0.976921360994109
scaffold,residual,9,12,0.971768863695014
scaffold,residual,9,13,0.983494512896552
scaffold,residual,9,14,0.979027848854247
scaffold,residual,9,15,0.98218933021909
scaffold,residual,9,16,0.977337759757159
scaffold,residual,9,17,0.971165260446054
scaffold,residual,9,18,0.985576506711806
scaffold,residual,9,19,0.974823621007143
scaffold,residual,9,20,0.982143841278589
scaffold,residual,9,21,0.974652162692945
scaffold,residual,9,22,0.979026099279613
scaffold,residual,9,23,0.976065818997756
scaffold,residual,9,24,0.982269810652285
scaffold,residual,9,25,0.978181054731069
scaffold,residual,9,26,0.979321777392872
scaffold,residual,9,27,0.980389017920018
scaffold,residual,9,28,0.977500470198183
scaffold,residual,9,29,0.97124224172998
scaffold,residual,9,30,0.981680204000402
scaffold,residual,9,31,0.979160816526482
scaffold,residual,9,32,0.97202605116631
scaffold,residual,9,33,0.975985338564562
scaffold,residual,9,34,0.976791892471143
scaffold,residual,9,35,0.979704934237864
scaffold,residual,9,36,0.979438998893394
scaffold,residual,9,37,0.982745694952915
scaffold,residual,9,38,0.979038346302055
scaffold,residual,9,39,0.981876156359485
scaffold,residual,9,40,0.976291514125628
scaffold,residual,9,41,0.979230799511869
scaffold,residual,9,42,0.979082085667922
scaffold,residual,9,43,0.976825134389202
scaffold,residual,9,44,0.977944862155389
scaffold,residual,9,45,0.981482502066685
scaffold,residual,9,46,0.980079343209682
scaffold,residual,9,47,0.981820169971176
scaffold,residual,9,48,0.982836672833917
scaffold,residual,9,49,0.975752645138151
scaffold,residual,10,11,0.981190323102696
scaffold,residual,10,12,0.974193774138663
scaffold,residual,10,13,0.977554707011858
scaffold,residual,10,14,0.982710703460221
scaffold,residual,10,15,0.985758462473811
scaffold,residual,10,16,0.982948645610536
scaffold,residual,10,17,0.972208006928316
scaffold,residual,10,18,0.984360552340712
scaffold,residual,10,19,0.973950583264444
scaffold,residual,10,20,0.978754915211239
scaffold,residual,10,21,0.973618164083857
scaffold,residual,10,22,0.980222808329725
scaffold,residual,10,23,0.980674198585469
scaffold,residual,10,24,0.979559719543186
scaffold,residual,10,25,0.983057119237885
scaffold,residual,10,26,0.980598966876178
scaffold,residual,10,27,0.978230042820839
scaffold,residual,10,28,0.977724415751421
scaffold,residual,10,29,0.969001036622971
scaffold,residual,10,30,0.982476260459176
scaffold,residual,10,31,0.976476969036903
scaffold,residual,10,32,0.971786359441361
scaffold,residual,10,33,0.980560476234216
scaffold,residual,10,34,0.980317285359997
scaffold,residual,10,35,0.982568987914813
scaffold,residual,10,36,0.984971153888211
scaffold,residual,10,37,0.986061138885609
scaffold,residual,10,38,0.979543973371474
scaffold,residual,10,39,0.981778180179944
scaffold,residual,10,40,0.981309294177853
scaffold,residual,10,41,0.981870907635581
scaffold,residual,10,42,0.982610977706045
scaffold,residual,10,43,0.980920888608957
scaffold,residual,10,44,0.979991864477949
scaffold,residual,10,45,0.982457015138195
scaffold,residual,10,46,0.980962878400189
scaffold,residual,10,47,0.982243567032765
scaffold,residual,10,48,0.981912897426813
scaffold,residual,10,49,0.978401501135037
scaffold,residual,11,12,0.97701933717365
scaffold,residual,11,13,0.981793926351656
scaffold,residual,11,14,0.98242902194404
scaffold,residual,11,15,0.983398286291645
scaffold,residual,11,16,0.985223092635603
scaffold,residual,11,17,0.975495457666855
scaffold,residual,11,18,0.984876676857939
scaffold,residual,11,19,0.981508745686205
scaffold,residual,11,20,0.982023120628797
scaffold,residual,11,21,0.977712168728978
scaffold,residual,11,22,0.983797189308349
scaffold,residual,11,23,0.978417247306749
scaffold,residual,11,24,0.978249288141821
scaffold,residual,11,25,0.980159823642877
scaffold,residual,11,26,0.985426043293224
scaffold,residual,11,27,0.981660958679421
scaffold,residual,11,28,0.979662944446631
scaffold,residual,11,29,0.975087806776977
scaffold,residual,11,30,0.981391524185682
scaffold,residual,11,31,0.981220065871485
scaffold,residual,11,32,0.974578680558289
scaffold,residual,11,33,0.980070595336509
scaffold,residual,11,34,0.983354546925779
scaffold,residual,11,35,0.98324257414916
scaffold,residual,11,36,0.981891902531197
scaffold,residual,11,37,0.983748201218579
scaffold,residual,11,38,0.981120340117309
scaffold,residual,11,39,0.981760684433597
scaffold,residual,11,40,0.982299553421075
scaffold,residual,11,41,0.984178596578707
scaffold,residual,11,42,0.983457771829224
scaffold,residual,11,43,0.980663701137661
scaffold,residual,11,44,0.981832416993619
scaffold,residual,11,45,0.981830667418984
scaffold,residual,11,46,0.980779173063549
scaffold,residual,11,47,0.982539245146024
scaffold,residual,11,48,0.98190414955364
scaffold,residual,11,49,0.984120860615763
scaffold,residual,12,13,0.976601188835964
scaffold,residual,12,14,0.973838610487825
scaffold,residual,12,15,0.975476212345874
scaffold,residual,12,16,0.975791135780114
scaffold,residual,12,17,0.972089035853158
scaffold,residual,12,18,0.974956588679377
scaffold,residual,12,19,0.969737607544166
scaffold,residual,12,20,0.982794683042685
scaffold,residual,12,21,0.978160059835453
scaffold,residual,12,22,0.980527234316157
scaffold,residual,12,23,0.982283807249363
scaffold,residual,12,24,0.978943869271783
scaffold,residual,12,25,0.975906607706002
scaffold,residual,12,26,0.979865895104253
scaffold,residual,12,27,0.97384036006246
scaffold,residual,12,28,0.981153582035368
scaffold,residual,12,29,0.974681905461735
scaffold,residual,12,30,0.979012102682535
scaffold,residual,12,31,0.975266263389713
scaffold,residual,12,32,0.972477441422055
scaffold,residual,12,33,0.976877621628242
scaffold,residual,12,34,0.974862111649105
scaffold,residual,12,35,0.973929588368828
scaffold,residual,12,36,0.9757299006679
scaffold,residual,12,37,0.975927602601617
scaffold,residual,12,38,0.978293027507687
scaffold,residual,12,39,0.975574188525415
scaffold,residual,12,40,0.981902399979005
scaffold,residual,12,41,0.977117313353191
scaffold,residual,12,42,0.980994370743613
scaffold,residual,12,43,0.978763663084413
scaffold,residual,12,44,0.978712925420007
scaffold,residual,12,45,0.978950867570322
scaffold,residual,12,46,0.977708669579709
scaffold,residual,12,47,0.975245268494097
scaffold,residual,12,48,0.975266263389713
scaffold,residual,12,49,0.977687674684093
scaffold,residual,13,14,0.975241769344828
scaffold,residual,13,15,0.982987136252499
scaffold,residual,13,16,0.977699921706535
scaffold,residual,13,17,0.974139537324988
scaffold,residual,13,18,0.986281585289576
scaffold,residual,13,19,0.972484439720593
scaffold,residual,13,20,0.981388025036413
scaffold,residual,13,21,0.978670935628775
scaffold,residual,13,22,0.980840408175762
scaffold,residual,13,23,0.98066720028693
scaffold,residual,13,24,0.978968363316669
scaffold,residual,13,25,0.982136842980051
scaffold,residual,13,26,0.978359511343805
scaffold,residual,13,27,0.982588233235795
scaffold,residual,13,28,0.977078822711228
scaffold,residual,13,29,0.973173772126652
scaffold,residual,13,30,0.980422259838077
scaffold,residual,13,31,0.977017587599015
scaffold,residual,13,32,0.976300261998802
scaffold,residual,13,33,0.976837381411644
scaffold,residual,13,34,0.979678690618344
scaffold,residual,13,35,0.978616698815101
scaffold,residual,13,36,0.978335017298919
scaffold,residual,13,37,0.98006359703797
scaffold,residual,13,38,0.983156844992061
scaffold,residual,13,39,0.981762434008232
scaffold,residual,13,40,0.976732406933564
scaffold,residual,13,41,0.97667467097062
scaffold,residual,13,42,0.980499241122002
scaffold,residual,13,43,0.975890861534289
scaffold,residual,13,44,0.977787400438269
scaffold,residual,13,45,0.978686681800487
scaffold,residual,13,46,0.981367030140797
scaffold,residual,13,47,0.978027092163218
scaffold,residual,13,48,0.982212074689341
scaffold,residual,13,49,0.978534468807271
scaffold,residual,14,15,0.982355539809384
scaffold,residual,14,16,0.985186351568275
scaffold,residual,14,17,0.971604403679356
scaffold,residual,14,18,0.984311564250942
scaffold,residual,14,19,0.98290490624467
scaffold,residual,14,20,0.981695950172115
scaffold,residual,14,21,0.977000091852668
scaffold,residual,14,22,0.982799931766589
scaffold,residual,14,23,0.979083835242557
scaffold,residual,14,24,0.97725552974933
scaffold,residual,14,25,0.978770661382951
scaffold,residual,14,26,0.982247066182035
scaffold,residual,14,27,0.983853175696659
scaffold,residual,14,28,0.982318798742056
scaffold,residual,14,29,0.974303997340647
scaffold,residual,14,30,0.985410297121512
scaffold,residual,14,31,0.97875141606197
scaffold,residual,14,32,0.975882113661116
scaffold,residual,14,33,0.977089320159036
scaffold,residual,14,34,0.981388025036413
scaffold,residual,14,35,0.976662423948178
scaffold,residual,14,36,0.979306031221159
scaffold,residual,14,37,0.983148097118888
scaffold,residual,14,38,0.980084591933586
scaffold,residual,14,39,0.982226071286419
scaffold,residual,14,40,0.982635471750931
scaffold,residual,14,41,0.981410769506664
scaffold,residual,14,42,0.982966141356883
scaffold,residual,14,43,0.982499004929427
scaffold,residual,14,44,0.979573716140263
scaffold,residual,14,45,0.979692687215421
scaffold,residual,14,46,0.980147576620434
scaffold,residual,14,47,0.987060146002003
scaffold,residual,14,48,0.980570973682024
scaffold,residual,14,49,0.979192308869906
scaffold,residual,15,16,0.983674719083923
scaffold,residual,15,17,0.978380506239421
scaffold,residual,15,18,0.989716000297428
scaffold,residual,15,19,0.978588705620946
scaffold,residual,15,20,0.980913890310418
scaffold,residual,15,21,0.98061471304789
scaffold,residual,15,22,0.98119207267733
scaffold,residual,15,23,0.982063360845395
scaffold,residual,15,24,0.979556220393917
scaffold,residual,15,25,0.98405962550355
scaffold,residual,15,26,0.983930156980584
scaffold,residual,15,27,0.981048607557288
scaffold,residual,15,28,0.98305886881252
scaffold,residual,15,29,0.979540474222205
scaffold,residual,15,30,0.983608235247806
scaffold,residual,15,31,0.983053620088616
scaffold,residual,15,32,0.98127430268516
scaffold,residual,15,33,0.979876392552061
scaffold,residual,15,34,0.983408783739453
scaffold,residual,15,35,0.982504253653331
scaffold,residual,15,36,0.982049364248317
scaffold,residual,15,37,0.985102371985811
scaffold,residual,15,38,0.983763947390291
scaffold,residual,15,39,0.983814685054696
scaffold,residual,15,40,0.984575750020776
scaffold,residual,15,41,0.982936398588093
scaffold,residual,15,42,0.983309057985277
scaffold,residual,15,43,0.980835159451858
scaffold,residual,15,44,0.985023641127251
scaffold,residual,15,45,0.980548229211773
scaffold,residual,15,46,0.982432521093309
scaffold,residual,15,47,0.98440079255731
scaffold,residual,15,48,0.985335065412222
scaffold,residual,15,49,0.97814781281301
scaffold,residual,16,17,0.977043831218535
scaffold,residual,16,18,0.98398089464499
scaffold,residual,16,19,0.980569224107389
scaffold,residual,16,20,0.979251794407485
scaffold,residual,16,21,0.98061821219716
scaffold,residual,16,22,0.979799411268136
scaffold,residual,16,23,0.980861403071378
scaffold,residual,16,24,0.973658404300455
scaffold,residual,16,25,0.980415261539538
scaffold,residual,16,26,0.98571297353331
scaffold,residual,16,27,0.981479002917416
scaffold,residual,16,28,0.980228057053629
scaffold,residual,16,29,0.96990031798519
scaffold,residual,16,30,0.983132350947176
scaffold,residual,16,31,0.977757657669479
scaffold,residual,16,32,0.978063833230546
scaffold,residual,16,33,0.978609700516562
scaffold,residual,16,34,0.98087714924309
scaffold,residual,16,35,0.979062840346941
scaffold,residual,16,36,0.979890389149138
scaffold,residual,16,37,0.984946659843326
scaffold,residual,16,38,0.983798938882984
scaffold,residual,16,39,0.981370529290066
scaffold,residual,16,40,0.982936398588093
scaffold,residual,16,41,0.982259313204477
scaffold,residual,16,42,0.986384810193022
scaffold,residual,16,43,0.978985859063015
scaffold,residual,16,44,0.982021371054163
scaffold,residual,16,45,0.98208785489028
scaffold,residual,16,46,0.983648475464403
scaffold,residual,16,47,0.983519006941437
scaffold,residual,16,48,0.980969876698728
