top_fraction,positive_pairs,candidate_name,model,panel,analysis_role,metric,baseline,candidate_with_stability,candidate_minus_baseline
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.549391804117624,0.498129267321882,-0.0512625367957416
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.808310130648961,0.793317626900835,-0.014992503748126
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.50211137436397,0.409882062482154,-0.0922293118818158
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.584278322332883,0.572054044360465,-0.012224277972418
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.808738487898908,0.796530306275434,-0.0122081816234739
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.504991094378489,0.42767188113448,-0.0773192132440095
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.5257463029301,0.468008590411456,-0.0577377125186439
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.814092953523238,0.781323623902335,-0.0327693296209038
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.49126500868547,0.400955806863748,-0.090309201821722
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.563974508697573,0.545152584777826,-0.0188219239197471
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.810666095523667,0.831227243521097,0.0205611479974298
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.473342230382796,0.448324234977795,-0.0250179954050005
0.15,29,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.549391804117624,0.508014364007751,-0.0413774401098733
0.15,29,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.808310130648961,0.789890768901264,-0.0184193617476976
0.15,29,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.50211137436397,0.412555953174372,-0.0895554211895974
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.584278322332883,0.567461410944464,-0.0168169113884187
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.808738487898908,0.780681088027415,-0.0280573998714928
0.15,29,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.504991094378489,0.400572449084763,-0.104418645293726
0.15,29,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.5257463029301,0.469646192269505,-0.0561001106605956
0.15,29,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.814092953523238,0.781751981152281,-0.0323409723709575
0.15,29,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.49126500868547,0.406137617634707,-0.0851273910507627
