panel,transformation,control_design,repetition,ligands,observed_exact_support_spearman,observed_target_label_qap_p_two_sided,observed_target_label_qap_permutations,control_spearman,observed_minus_control_spearman,equal_n_row_disjoint_vina_self_spearman,descriptor_mean_difference_rms_iqr_units,descriptor_max_abs_mean_difference_iqr_units,unique_murcko_source_groups,mean_difference_iqr_units_heavy_atoms,mean_difference_iqr_units_molecular_weight,mean_difference_iqr_units_labute_asa,mean_difference_iqr_units_tpsa,mean_difference_iqr_units_clogp,mean_difference_iqr_units_rotatable_bonds,mean_difference_iqr_units_ring_count
DAVIS,raw,seven_descriptor_nearest_256,2,56,0.157592818755,0.129687031297,10000,0.0342858438643,0.123306974891,0.808782188129,0.0279643940905,0.0620091823449,56,-1.11022302463e-16,-0.0123047606006,-0.00476755162994,-0.0331732963522,-0.0620091823449,-0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256,2,56,0.306565422604,0.000399960004,10000,0.173197966912,0.133367455692,0.687324299547,0.0279643940905,0.0620091823449,56,-1.11022302463e-16,-0.0123047606006,-0.00476755162994,-0.0331732963522,-0.0620091823449,-0.00595238095238,-0.0178571428571
DAVIS,raw,uniform_scaffold_distinct,2,56,0.157592818755,0.129687031297,10000,0.0516843595417,0.105908459214,0.808782188129,0.484402750469,0.928571428571,56,-0.414682539683,-0.384550523252,-0.425114360486,-0.168486465611,-0.474865845065,-0.160714285714,-0.928571428571
DAVIS,row_centered_residual,uniform_scaffold_distinct,2,56,0.306565422604,0.000399960004,10000,0.162979400246,0.143586022359,0.687324299547,0.484402750469,0.928571428571,56,-0.414682539683,-0.384550523252,-0.425114360486,-0.168486465611,-0.474865845065,-0.160714285714,-0.928571428571
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,2,56,0.157592818755,0.129687031297,10000,0.14204857253,0.0155442462252,0.808782188129,0.0148583878758,0.0320498191904,56,0.00198412698413,-0.013379974356,0.0136674011633,-0.0320498191904,-0.0106311690099,0.00595238095238,0
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,2,56,0.306565422604,0.000399960004,10000,0.242907354556,0.0636580680482,0.687324299547,0.0148583878758,0.0320498191904,56,0.00198412698413,-0.013379974356,0.0136674011633,-0.0320498191904,-0.0106311690099,0.00595238095238,0
DAVIS,raw,uniform_random_rows,3,56,0.157592818755,0.129687031297,10000,0.134074306836,0.0235185119196,0.751102875673,0.416953233032,0.75,56,-0.343253968254,-0.332013349624,-0.330904249678,-0.11163676579,-0.547111878827,0.0714285714286,-0.75
DAVIS,row_centered_residual,uniform_random_rows,3,56,0.306565422604,0.000399960004,10000,0.245987437357,0.0605779852475,0.568070542578,0.416953233032,0.75,56,-0.343253968254,-0.332013349624,-0.330904249678,-0.11163676579,-0.547111878827,0.0714285714286,-0.75
DAVIS,raw,mw_20_quantile_matched,3,56,0.157592818755,0.129687031297,10000,0.0225900814077,0.135002737347,0.751102875673,0.332530646834,0.535714285714,56,0.0357142857143,0.0673721027844,0.0575673018181,0.302522557315,-0.426321115159,0.452380952381,-0.535714285714
DAVIS,row_centered_residual,mw_20_quantile_matched,3,56,0.306565422604,0.000399960004,10000,0.223355242911,0.0832101796931,0.568070542578,0.332530646834,0.535714285714,56,0.0357142857143,0.0673721027844,0.0575673018181,0.302522557315,-0.426321115159,0.452380952381,-0.535714285714
