calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
100,10,empirical,4,0.520184436770303,0.840055636473383,5,0.739318577999135,0.550366476048541,56.6078416103755,0.704,0.233412281495285,0.68152380952381,0.204485769202004,0.713142857142857,0.253555605645004,0.686095238095238,0.246324903527983,0.708571428571429,0.293925167251154
100,10,OAS,5,0.541722665890079,0.843236363159207,5,0.741801350279493,0.558357942488096,56.0576855761648,0.701714285714286,0.232397461760764,0.688380952380952,0.22344382111429,0.709714285714286,0.275432473439414,0.688380952380952,0.22344382111429,0.709714285714286,0.275432473439414
100,11,empirical,4,0.522377945359776,0.883081175889112,5,0.820207552136481,0.731251482676252,43.0085868878671,0.68647619047619,0.274824115261799,0.703619047619048,0.290679451626738,0.68952380952381,0.232491392463418,0.692190476190476,0.279257560306552,0.675428571428571,0.21591052489237
100,11,OAS,5,0.53645265981041,0.886214664059801,5,0.821854455026135,0.736153545235194,42.5952207514996,0.685333333333333,0.264433288797554,0.69447619047619,0.28218877235223,0.67847619047619,0.217786551814876,0.69447619047619,0.28218877235223,0.67847619047619,0.217786551814876
100,12,empirical,4,0.506504617253865,0.898851841646,5,0.730930766023763,0.546908444599531,56.8448232195641,0.694095238095238,0.245971690547603,0.692571428571429,0.257767102443198,0.687238095238095,0.243806373776787,0.729142857142857,0.264048076154098,0.723809523809524,0.206426327361207
100,12,OAS,5,0.520255693143718,0.900746630975344,5,0.73206022657665,0.547093648625005,56.8321473093788,0.694857142857143,0.247023357706188,0.729904761904762,0.270572394662156,0.726857142857143,0.207893584240498,0.729904761904762,0.270572394662156,0.726857142857143,0.207893584240498
100,13,empirical,4,0.506735989264079,0.884710029873987,5,0.818719431366768,0.778208178347775,38.9031905929222,0.695238095238095,0.2494382869865,0.663619047619048,0.254235497851971,0.660571428571429,0.212356317443231,0.699809523809524,0.267992557463,0.696,0.236478213298346
100,13,OAS,5,0.525266421685475,0.884914730106243,5,0.82107844038941,0.784157999068594,38.3571296013187,0.696761904761905,0.261675181593527,0.704380952380952,0.273960106427932,0.697904761904762,0.237043583928482,0.704380952380952,0.273960106427932,0.697904761904762,0.237043583928482
100,14,empirical,5,0.555404230525168,0.807660512537889,5,0.680072384751511,0.150782334134857,81.3277333233614,0.611809523809524,0.244641882903026,0.577904761904762,0.228371110449804,0.584,0.145576203091045,0.577904761904762,0.228371110449804,0.584,0.145576203091045
100,14,OAS,5,0.501038674442631,0.812359870006605,5,0.681081507477331,0.140326895621047,81.9332372769009,0.612952380952381,0.25225442153184,0.579047619047619,0.173630150602501,0.586285714285714,0.145919370040394,0.579047619047619,0.173630150602501,0.586285714285714,0.145919370040394
