contrast,experimental_margin_name,experimental_margin_percentage_points,plugin_mean_difference,uncertainty.ligand_bootstrap.plugin_mean,uncertainty.ligand_bootstrap.n_clusters,uncertainty.ligand_bootstrap.n,uncertainty.ligand_bootstrap.mean,uncertainty.ligand_bootstrap.median,uncertainty.ligand_bootstrap.standard_deviation,uncertainty.ligand_bootstrap.interval_95,uncertainty.ligand_bootstrap.interval_90,uncertainty.ligand_bootstrap.minimum,uncertainty.ligand_bootstrap.maximum,uncertainty.murcko_cluster_bootstrap.plugin_mean,uncertainty.murcko_cluster_bootstrap.n_clusters,uncertainty.murcko_cluster_bootstrap.n,uncertainty.murcko_cluster_bootstrap.mean,uncertainty.murcko_cluster_bootstrap.median,uncertainty.murcko_cluster_bootstrap.standard_deviation,uncertainty.murcko_cluster_bootstrap.interval_95,uncertainty.murcko_cluster_bootstrap.interval_90,uncertainty.murcko_cluster_bootstrap.minimum,uncertainty.murcko_cluster_bootstrap.maximum,uncertainty.butina_cluster_bootstrap.plugin_mean,uncertainty.butina_cluster_bootstrap.n_clusters,uncertainty.butina_cluster_bootstrap.n,uncertainty.butina_cluster_bootstrap.mean,uncertainty.butina_cluster_bootstrap.median,uncertainty.butina_cluster_bootstrap.standard_deviation,uncertainty.butina_cluster_bootstrap.interval_95,uncertainty.butina_cluster_bootstrap.interval_90,uncertainty.butina_cluster_bootstrap.minimum,uncertainty.butina_cluster_bootstrap.maximum
two_way_residual_minus_target_centered_residual_scaled,absolute_difference_gt_10,10.0,0.015077118142358105,0.015077118142358105,,5000,0.014979640317795782,0.014935298802595566,0.003958720671015441,"[0.007330687262538438, 0.022961415843343116]","[0.008584247126011932, 0.02158601453852922]",0.002296286481904906,0.028551968807109418,0.015077118142358105,111,5000,0.015030575023191495,0.0150073670386326,0.004492436601860158,"[0.006111160473046842, 0.023740363007170185]","[0.007771565644457961, 0.022506432819918577]",-0.0009943973848199265,0.03054429359788173,0.015077118142358105,103,5000,0.014999860074154025,0.014905434415738836,0.005074260974019364,"[0.005493705055951713, 0.025306091481606834]","[0.006952619312430112, 0.023507154103470377]",-0.0022353423484923747,0.031561660870383895
two_way_residual_minus_target_centered_residual_scaled,absolute_difference_gt_20,20.0,0.022985771205550252,0.022985771205550252,,5000,0.023110753221819783,0.023034242710076782,0.0045985080448805275,"[0.014526101345384077, 0.03255835831150578]","[0.015703134663596376, 0.030884044484783792]",0.007536770377152762,0.04149444527142818,0.022985771205550252,111,5000,0.02308078614247141,0.023014337726031706,0.005319676725893427,"[0.013080045464207308, 0.03382418764018527]","[0.014599680527459077, 0.03192712933037095]",0.005023881292940006,0.04355567822049435,0.022985771205550252,103,5000,0.022927427580793455,0.02283223901009248,0.005733036357936563,"[0.011977229633490972, 0.034360270863802535]","[0.013659674674111482, 0.03242150833762309]",0.0038745967290984853,0.04332321055770308
target_centered_residual_scaled_minus_target_centered_unscaled,exact_non_ties,0.0,-0.013823039587088427,-0.013823039587088427,,5000,-0.01380678162671424,-0.013859847566380411,0.003579285383865454,"[-0.020769455793395022, -0.006677177465577382]","[-0.01977751897942291, -0.007736202626323515]",-0.026757706934643022,-0.0008966512887366152,-0.013823039587088427,111,5000,-0.013772178377744934,-0.01377876396689482,0.004061919194738674,"[-0.021495765725132735, -0.005480226252351921]","[-0.020330216296632526, -0.007177891145472167]",-0.030803525365691618,0.00015347422013778115,-0.013823039587088427,103,5000,-0.013726200566903941,-0.013730296087725101,0.0044687716746942075,"[-0.0225405712889551, -0.005097557898105605]","[-0.021042283455831895, -0.006428369081010608]",-0.03348071419102838,0.003442367409241488
target_centered_residual_scaled_minus_target_centered_unscaled,absolute_difference_gt_5,5.0,-0.016791831417095355,-0.016791831417095355,,5000,-0.01674235119360243,-0.016723787614068182,0.0036507710794845354,"[-0.024025852966571795, -0.009662680905628634]","[-0.022856966054025082, -0.010704202872213355]",-0.030755067608785176,-0.0033425650304615743,-0.016791831417095355,111,5000,-0.016729319454331273,-0.01670113046444191,0.004368761308774438,"[-0.02550914896789136, -0.008330724435452496]","[-0.023856157422187198, -0.009678317735610273]",-0.03099103895998752,-0.000625253171094187,-0.016791831417095355,103,5000,-0.016720856445651956,-0.016568841140903477,0.00475944457864149,"[-0.02633484858605728, -0.007701287806097775]","[-0.02469609058337888, -0.009250218784099267]",-0.03900650086554374,-0.0018369778348153625
target_centered_residual_scaled_minus_target_centered_unscaled,absolute_difference_gt_10,10.0,-0.017419376739982947,-0.017419376739982947,,5000,-0.017394278021246545,-0.017388075500600467,0.0042649413436541385,"[-0.025776608156948478, -0.008967396404899134]","[-0.024392131531890213, -0.010390507722452145]",-0.03311899719271529,-0.0030508503691946526,-0.017419376739982947,111,5000,-0.017541430560796583,-0.017450444068685282,0.004957058150123288,"[-0.027276251679937736, -0.008108981249769331]","[-0.02585380187822852, -0.009425404321704085]",-0.04330003412346496,-0.0014587766126743795,-0.017419376739982947,103,5000,-0.017222776900702855,-0.01718303023958844,0.005454578412391451,"[-0.028074729858448572, -0.006476669938133729]","[-0.026237249891139364, -0.008219017168949913]",-0.038617734851414585,0.0005951654070634808
target_centered_residual_scaled_minus_target_centered_unscaled,absolute_difference_gt_20,20.0,-0.026085309110770182,-0.026085309110770182,,5000,-0.026151750677497598,-0.02606250001126697,0.005045495500636937,"[-0.03628081063960434, -0.016485170004373422]","[-0.03458044904779322, -0.01795837682776758]",-0.044782070889815055,-0.009486542591081584,-0.026085309110770182,111,5000,-0.026052723637506825,-0.025994987587017494,0.005788227413509067,"[-0.03750620936600594, -0.01496144729220532]","[-0.03565859858466306, -0.016528030732172228]",-0.05005036519121763,-0.0038587463880309235,-0.026085309110770182,103,5000,-0.025929548714096085,-0.02576185248260241,0.006273730909774659,"[-0.038517406773046055, -0.01410751953974101]","[-0.03656076786483925, -0.015808556004838423]",-0.04702744896342836,-0.006210694899631515
target_centered_unscaled_minus_absolute_vina,exact_non_ties,0.0,0.005281708910737948,0.005281708910737948,,5000,0.005309343670628161,0.00525584962809017,0.004867857309479109,"[-0.004411556176326986, 0.014555576804065206]","[-0.002997611100647687, 0.013288427581168504]",-0.010717507439190763,0.022672396353074144,0.005281708910737948,111,5000,0.0053397886449605995,0.005328509332465316,0.005869974508912137,"[-0.006044738242745359, 0.016968794387632036]","[-0.004008639516826649, 0.015179608292389457]",-0.01479392995411528,0.02949747120118536,0.005281708910737948,103,5000,0.005316730570380047,0.005264808473746309,0.006182459411931571,"[-0.006818362830062376, 0.01761663856103911]","[-0.004922605041158079, 0.015490675161825299]",-0.015073334111687075,0.02463038822991289
target_centered_unscaled_minus_absolute_vina,absolute_difference_gt_5,5.0,0.004217407161059539,0.004217407161059539,,5000,0.004224697983382481,0.0042359226067373345,0.005279279970196366,"[-0.006026563582696184, 0.01439011130181584]","[-0.004276292202986346, 0.012931011296152373]",-0.014280153823919454,0.02242879729657408,0.004217407161059539,111,5000,0.004508004571006236,0.004578219793458831,0.006493021701416712,"[-0.008264385589765609, 0.01719549557484277]","[-0.006434121511769862, 0.015149017898454948]",-0.017360947688799432,0.03162642021109565,0.004217407161059539,103,5000,0.004242438065228908,0.00429966233176315,0.00646288491793148,"[-0.008200627677568191, 0.016616660081727356]","[-0.0064821239824483946, 0.014907684071317925]",-0.019510899072157552,0.027120523855608654
target_centered_unscaled_minus_absolute_vina,absolute_difference_gt_10,10.0,-0.0005055251844102978,-0.0005055251844102978,,5000,-0.0006758280443616684,-0.0005695678710158813,0.0061244542628759256,"[-0.013073970569378875, 0.010923586490603243]","[-0.01099735767376034, 0.009247486997924822]",-0.02240327273648561,0.019941187748973403,-0.0005055251844102978,111,5000,-0.00039148347361964603,-0.0003664691591046198,0.007682063467460857,"[-0.015201493879644326, 0.01440053965142019]","[-0.013057037336294264, 0.012183212098059696]",-0.02693802842940345,0.03210120720342015,-0.0005055251844102978,103,5000,-0.00027732914187658236,-0.0003795747651991052,0.007800603338594633,"[-0.01560695400204209, 0.014816287954760116]","[-0.012956239121129982, 0.012479191792457867]",-0.0263778971976482,0.03378987206496892
target_centered_unscaled_minus_absolute_vina,absolute_difference_gt_20,20.0,-0.009275831186428309,-0.009275831186428309,,5000,-0.0094334457208664,-0.009243806997413046,0.009273173368957619,"[-0.028500677892594663, 0.008145135294301813]","[-0.025276872377089123, 0.005467539059593154]",-0.04971149756977744,0.023189050961285835,-0.009275831186428309,111,5000,-0.009119350800207223,-0.009115006702663011,0.009945424363801532,"[-0.028667669074381657, 0.010193916688095054]","[-0.025857531657083026, 0.007207940519143424]",-0.04447081452349011,0.022181920522251014,-0.009275831186428309,103,5000,-0.009254376862150844,-0.00886811516389897,0.011700962623904842,"[-0.03305671578313802, 0.012651808768112954]","[-0.02914601885780816, 0.00933105845657937]",-0.05549553945418239,0.026840789451885626
column_standardized_minus_absolute_vina,exact_non_ties,0.0,0.00489294993109485,0.00489294993109485,,5000,0.004940284081756179,0.004916405027514208,0.005446288962567983,"[-0.005754669516616106, 0.015500181184583323]","[-0.003932251011244705, 0.013890736646304616]",-0.01597456034429284,0.022927987814574384,0.00489294993109485,111,5000,0.005275160740487263,0.005188695300070571,0.00644290505356501,"[-0.006749513757903575, 0.01814396260858871]","[-0.004927817260229513, 0.016253400277045922]",-0.016132727970070766,0.02817753711288516,0.00489294993109485,103,5000,0.004997129517253931,0.005019317097661176,0.006650152698542444,"[-0.008028865448487299, 0.018397421550007325]","[-0.005686648684647357, 0.016250457126196882]",-0.017600821489412603,0.03465339609128367
column_standardized_minus_absolute_vina,absolute_difference_gt_5,5.0,0.0034394945027705457,0.0034394945027705457,,5000,0.0034804669858370042,0.0034516401541432604,0.005840280121662345,"[-0.007885938984917885, 0.01507496988572373]","[-0.0061033620395751515, 0.013098689138539071]",-0.018885447684055055,0.02428235350004729,0.0034394945027705457,111,5000,0.0034520579568625086,0.003402405520189387,0.006856228065623379,"[-0.010053428339001533, 0.016856474223863226]","[-0.007975142458670618, 0.01461194006119265]",-0.020279069304038756,0.029746402010748355,0.0034394945027705457,103,5000,0.003558531757705896,0.0035833781783187633,0.006788974968004767,"[-0.00957007379230238, 0.016921364038966557]","[-0.007760467855491067, 0.014800726525077086]",-0.018492284331721145,0.027566786507837962
column_standardized_minus_absolute_vina,absolute_difference_gt_10,10.0,-0.0013202074761770506,-0.0013202074761770506,,5000,-0.0015093612893014717,-0.0016225781207820159,0.006605421787949862,"[-0.014325073405222962, 0.011392571556657361]","[-0.012458181431671104, 0.009441131231183827]",-0.025463429350359095,0.019356229983733115,-0.0013202074761770506,111,5000,-0.0014669956991883613,-0.0012217652756219123,0.007739811709180111,"[-0.017079867031678367, 0.013221521341527927]","[-0.014247630066636128, 0.010958190628314567]",-0.027433403823362536,0.024862680270708537,-0.0013202074761770506,103,5000,-0.001076709566853636,-0.000978334142352,0.0079465050700762,"[-0.016881370634959054, 0.014325351159760337]","[-0.014282059806656798, 0.011970819095354267]",-0.03369136310901281,0.026381679548477106
column_standardized_minus_absolute_vina,absolute_difference_gt_20,20.0,-0.01040111135528551,-0.01040111135528551,,5000,-0.010481611885915513,-0.010346188050161187,0.009273198108480134,"[-0.029114213987736042, 0.007176145817728403]","[-0.025681489756557978, 0.004587963208327905]",-0.0434911993520298,0.02243928873308559,-0.01040111135528551,111,5000,-0.010075857566495074,-0.009997385462446287,0.010570654671651379,"[-0.03104505945103813, 0.010667975438623767]","[-0.02727463721491759, 0.00714535135785124]",-0.045525790248038246,0.027672552055317087,-0.01040111135528551,103,5000,-0.01055656457957381,-0.01015334818271414,0.011774130538443563,"[-0.03434288595423992, 0.011735122871826473]","[-0.030288083085705953, 0.008471809219192888]",-0.05913601088297982,0.027680298689590075
absolute_vina_minus_docking_target_prior,exact_non_ties,0.0,0.015337802793785382,0.015337802793785382,,5000,0.015288416725662618,0.015374022725532052,0.008155153427754993,"[-0.0008183051881829155, 0.0313990396979581]","[0.0017748006398040632, 0.028795354563943505]",-0.014605322614364558,0.042569162617774096,0.015337802793785382,111,5000,0.015322400625079,0.015305310502790178,0.008513236577592329,"[-0.0015796789477673353, 0.032461466702015204]","[0.0012292773374245759, 0.029456313072695587]",-0.015810350613417175,0.04905770486878716,0.015337802793785382,103,5000,0.015393839668089552,0.01545914072782378,0.009372027838974619,"[-0.003074389857926666, 0.03373928948106932]","[-0.0002479675890549005, 0.03066709265156908]",-0.019644334283598904,0.04927510650547918
absolute_vina_minus_docking_target_prior,absolute_difference_gt_5,5.0,0.023858316932344855,0.023858316932344855,,5000,0.023810139859248628,0.023654611610184895,0.01141136645868356,"[0.0021337911423510323, 0.04661116825022559]","[0.006032094714383896, 0.04307739658351498]",-0.021349371252284813,0.06935299867234104,0.023858316932344855,111,5000,0.024158780103385867,0.023883418606449207,0.011860767343421806,"[0.0018371032503852315, 0.0485065231183397]","[0.005118616524333613, 0.04445510222830715]",-0.014840357179581501,0.06923354168385017,0.023858316932344855,103,5000,0.023877133043775603,0.02390993001518698,0.011798245481702978,"[0.0009602450408517155, 0.047120332672468214]","[0.004663156461841071, 0.04338596833110593]",-0.021040335434179967,0.06832746549611096
absolute_vina_minus_docking_target_prior,absolute_difference_gt_10,10.0,0.02100804611198958,0.02100804611198958,,5000,0.021280153692610798,0.021314861220840836,0.012749635137417382,"[-0.0030442624922470806, 0.046746849027119945]","[0.0008767390404817987, 0.04258829847900781]",-0.026827875869051068,0.06223470297394853,0.02100804611198958,111,5000,0.020725232555802296,0.020453854981042553,0.013275874928614007,"[-0.003896137618855863, 0.047539479352010784]","[-0.00037905109470577186, 0.04285673847154226]",-0.025067146597356472,0.07790047655715232,0.02100804611198958,103,5000,0.020819568457517333,0.020819241449404016,0.013637744852531178,"[-0.005919411982991731, 0.04790697150627897]","[-0.001381313604555747, 0.043318927183938385]",-0.05145526021551274,0.0678632007907554
absolute_vina_minus_docking_target_prior,absolute_difference_gt_20,20.0,0.030059689657774193,0.030059689657774193,,5000,0.03003358518666314,0.029993178580161567,0.014390310394328813,"[0.001924893106531953, 0.05843755450995777]","[0.006801202406779144, 0.054050603285277145]",-0.021417371828220625,0.08300629703345717,0.030059689657774193,111,5000,0.029945385704471635,0.02991439410465413,0.015734939267883313,"[-0.0008876062441229319, 0.06117680957164125]","[0.0038563750561032392, 0.0559597668557264]",-0.02143367332507784,0.08768714159125293,0.030059689657774193,103,5000,0.029691334866663106,0.029837459746673213,0.016376449822483048,"[-0.0038766330972972323, 0.061460810678256844]","[0.002080916056816576, 0.05641792989955308]",-0.032151442549842334,0.08460934531948763
