evaluation_identity,representation,roc_auc,average_precision
GVVAOKGDOGVPSI-UHFFFAOYSA-N,target_centered_unscaled,0.825,0.72
GWTAEVKZCDFFEX-UHFFFAOYSA-N,target_centered_unscaled,0.6578947368421053,0.24358974358974358
HABRRQSUPGOZTD-UHFFFAOYSA-N,target_centered_unscaled,,
HCRQPXYLXXLKPT-UHFFFAOYSA-N,target_centered_unscaled,0.5,0.09090909090909091
HEKAIDKUDLCBRU-UHFFFAOYSA-N,target_centered_unscaled,0.050000000000000044,0.05
HESLKTSGTIBHJU-UHFFFAOYSA-N,target_centered_unscaled,0.6911764705882353,0.4714646464646465
HNQXYQNMPSACKT-UHFFFAOYSA-N,target_centered_unscaled,0.5925925925925926,0.4564393939393939
HVNQYDHDQBJAAH-UHFFFAOYSA-N,target_centered_unscaled,0.7,0.14285714285714285
HZJDBCYRQSJNLZ-UHFFFAOYSA-N,target_centered_unscaled,0.5263157894736843,0.14285714285714285
IAUZTOZLTFSMIE-UHFFFAOYSA-N,target_centered_unscaled,0.7894736842105263,0.29166666666666663
IBAYIPZJRQHHLX-OAHLLOKOSA-N,target_centered_unscaled,0.8,0.2
IBCXZJCWDGCXQT-UHFFFAOYSA-N,target_centered_unscaled,,
IFPPYSWJNWHOLQ-UHFFFAOYSA-N,target_centered_unscaled,0.7314814814814814,0.8379191349586087
IHKGTVZWLMITRF-UHFFFAOYSA-N,target_centered_unscaled,0.868421052631579,0.6428571428571428
IJMSMJUUYYSKBT-UHFFFAOYSA-N,target_centered_unscaled,,
INZKYFAYQUYDOC-UHFFFAOYSA-N,target_centered_unscaled,0.275,0.20122549019607844
ISXAVIPPPMJTPN-UHFFFAOYSA-N,target_centered_unscaled,,
IYWBGQMZDRCNAW-UHFFFAOYSA-N,target_centered_unscaled,,
JIJYWPGTRDMEFZ-UHFFFAOYSA-N,target_centered_unscaled,,
JIQRMBNAYWCUEG-UHFFFAOYSA-N,target_centered_unscaled,0.34210526315789475,0.10427807486631016
JMBATVPHKFZTAF-UHFFFAOYSA-N,target_centered_unscaled,0.5789473684210527,0.17142857142857143
JOAWBRMGMMCJGS-ZBFHGGJFSA-N,target_centered_unscaled,0.9,0.3333333333333333
JONFDFIXMPXTRH-UHFFFAOYSA-N,target_centered_unscaled,,
JONPLOXVIREWEK-UHFFFAOYSA-N,target_centered_unscaled,,
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,target_centered_unscaled,0.9,0.3333333333333333
KCJAPLFLYYZXFD-UHFFFAOYSA-N,target_centered_unscaled,0.2368421052631579,0.09166666666666667
KFAFRWFUXQYYSW-UHFFFAOYSA-N,target_centered_unscaled,0.6029411764705883,0.44984917043740574
KFMQOHDPKOQCMU-UHFFFAOYSA-N,target_centered_unscaled,,
KJUCPVIVNLPLEE-UHFFFAOYSA-N,target_centered_unscaled,0.46296296296296297,0.44301378446115286
KKVSVOHZYJFTQM-UHFFFAOYSA-N,target_centered_unscaled,0.8157894736842105,0.29166666666666663
KPILPRJNCZJVNG-UHFFFAOYSA-N,target_centered_unscaled,0.5918367346938775,0.5006474519632413
KTEIFNKAUNYNJU-GFCCVEGCSA-N,target_centered_unscaled,0.5510204081632653,0.518078898225957
LIHQCVPFINJLRH-UHFFFAOYSA-N,target_centered_unscaled,0.44999999999999996,0.08333333333333333
LOAIUSJMQXSEBK-UHFFFAOYSA-N,target_centered_unscaled,0.75,0.16666666666666666
LVHOFIUXRMSCFN-UHFFFAOYSA-N,target_centered_unscaled,0.75,0.16666666666666666
MAOSUPNJVJGJEU-UHFFFAOYSA-N,target_centered_unscaled,0.95,0.5
MDEAKINSCUXXNF-UHFFFAOYSA-N,target_centered_unscaled,0.5555555555555556,0.2933723196881092
MKVMEJKNLUWFSQ-UHFFFAOYSA-N,target_centered_unscaled,0.3888888888888889,0.3960704509724118
MNHRKQKSNCFFOW-UHFFFAOYSA-N,target_centered_unscaled,0.8157894736842105,0.6111111111111112
MUJSVAMMIKEZPF-UHFFFAOYSA-N,target_centered_unscaled,0.44999999999999996,0.08333333333333333
MVCOAUNKQVWQHZ-UHFFFAOYSA-N,target_centered_unscaled,0.11764705882352941,0.1353641456582633
MZTUKIVBKFNLSN-UHFFFAOYSA-N,target_centered_unscaled,0.6555555555555554,0.49439745196324136
NDRPTJVBXDZQSJ-UHFFFAOYSA-N,target_centered_unscaled,0.65,0.125
NFLNGTZCZDPIPL-UHFFFAOYSA-N,target_centered_unscaled,0.44999999999999996,0.08333333333333333
NHJSWORVNIOXIT-UHFFFAOYSA-N,target_centered_unscaled,0.1842105263157895,0.08596491228070174
NPHKXSDZIKFIRU-UHFFFAOYSA-N,target_centered_unscaled,,
NPRGDRYIMFLLIG-HNNXBMFYSA-N,target_centered_unscaled,0.8157894736842105,0.6111111111111112
NPRGGISRWJDWPO-UHFFFAOYSA-N,target_centered_unscaled,,
NWZJBVCVSXFQRM-UHFFFAOYSA-N,target_centered_unscaled,0.55,0.1
OCINIHGZWSHFSH-UHFFFAOYSA-N,target_centered_unscaled,0.5375,0.4396904024767802
OGNYUTNQZVRGMN-UHFFFAOYSA-N,target_centered_unscaled,0.5,0.2976190476190476
OHVZOXZMVPDEDV-UHFFFAOYSA-N,target_centered_unscaled,0.4473684210526316,0.21428571428571427
OMZCMEYTWSXEPZ-UHFFFAOYSA-N,target_centered_unscaled,0.39705882352941174,0.18888888888888888
OSVNSMJGPXYEBY-UHFFFAOYSA-N,target_centered_unscaled,0.65,0.125
OVNJVYZXVSMONK-CQSZACIVSA-N,target_centered_unscaled,0.5192307692307693,0.45531257957728544
PDMUGYOXRHVNMO-UHFFFAOYSA-N,target_centered_unscaled,0.44999999999999996,0.08333333333333333
PTFWTMLTKFRZKM-UHFFFAOYSA-N,target_centered_unscaled,0.19999999999999996,0.058823529411764705
PXRULJZQXIUNTM-UHFFFAOYSA-N,target_centered_unscaled,,
QBUKWINFURUTNN-UHFFFAOYSA-N,target_centered_unscaled,0.6617647058823529,0.28809523809523807
