deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
AKT2,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5046214149825367,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5048954544145715,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5059468738404239,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5061112622136531,151,10786
AKT2,roc_auc,,target_centered_residual_scaled,0.5449257733678277,123,5067
AKT2,average_precision,,target_centered_residual_scaled,0.28650170901947075,123,5067
AKT2,pairwise_concordance,exact_non_ties,two_way_residual,0.5169518941474633,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5202115384027947,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.5221586710873174,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.528894692025931,151,10786
AKT2,roc_auc,,two_way_residual,0.5662988422770006,123,5067
AKT2,average_precision,,two_way_residual,0.2911657456039352,123,5067
AKT2,pairwise_concordance,exact_non_ties,docking_target_prior,0.49620068562097536,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.4939362020001776,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.5025668268422073,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.5121300628740242,151,10786
AKT2,roc_auc,,docking_target_prior,0.45135245417951375,123,5067
AKT2,average_precision,,docking_target_prior,0.22161909744408742,123,5067
CDK2,pairwise_concordance,exact_non_ties,absolute_vina,0.514995985639371,154,22626
CDK2,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5206578074354841,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5266904240373164,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5466350207403384,151,10651
CDK2,roc_auc,,absolute_vina,0.5549886020032063,122,5036
CDK2,average_precision,,absolute_vina,0.2862428318545423,122,5036
CDK2,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5202434106063065,154,22626
CDK2,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5246143886417945,154,18379
CDK2,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5260278125379275,154,15083
CDK2,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5368039536891057,151,10651
CDK2,roc_auc,,target_centered_unscaled,0.574683707784346,122,5036
CDK2,average_precision,,target_centered_unscaled,0.31039121927986935,122,5036
CDK2,pairwise_concordance,exact_non_ties,column_standardized,0.5200266498752858,154,22626
