deleted_target,all_informative__absolute_vina,all_informative__target_centered_unscaled,all_informative__column_standardized,all_informative__target_centered_residual_scaled,all_informative__two_way_residual,all_informative__two_way_residual_minus_absolute_vina,both_uncensored__absolute_vina,both_uncensored__target_centered_unscaled,both_uncensored__column_standardized,both_uncensored__target_centered_residual_scaled,both_uncensored__two_way_residual,both_uncensored__two_way_residual_minus_absolute_vina,floor_vs_uncensored__absolute_vina,floor_vs_uncensored__target_centered_unscaled,floor_vs_uncensored__column_standardized,floor_vs_uncensored__target_centered_residual_scaled,floor_vs_uncensored__two_way_residual,floor_vs_uncensored__two_way_residual_minus_absolute_vina
KIT,0.5476368687839339,0.5257635720199206,0.5237070102198665,0.5021279950458137,0.5288407904755376,-0.01879607830839632,0.4775244757687735,0.4729656997664201,0.4706720805760422,0.4552327735400965,0.4670921404414801,-0.010432335327293317,0.5547220003278579,0.530196250250499,0.52766020904666,0.5046135819451691,0.5358761245457881,-0.01884587578206966
LCK,0.5541219172214226,0.5252449214506756,0.5195658003967891,0.4981819276206569,0.5267377678696062,-0.0273841493518163,0.4677647742598723,0.48379677013255434,0.4850681260914103,0.47357132473554037,0.4984047803594372,0.030640006099564913,0.5640079330445527,0.5277371159634263,0.520757262906236,0.49825916496367906,0.5303233089296019,-0.033684624114950844
MAP2K1,0.5474254064973286,0.5341827153538732,0.5276304926972275,0.5144611454846012,0.5371663708408281,-0.010259035656500638,0.47632009761298977,0.485065597075401,0.48294686885373156,0.47479349694423223,0.5001749056589743,0.023854808045984516,0.5506005377745281,0.5354057350965951,0.5285583236344917,0.5139329122069413,0.5388390469179943,-0.011761490856533783
MAPK1,0.545143908866467,0.5277616573145908,0.5249842495773133,0.5059491383293951,0.532164538569201,-0.012979370297266256,0.4583407755376542,0.48023715535720346,0.4802701966567513,0.46514651703727333,0.5025940224019456,0.04425324686429129,0.5559636944927953,0.5334074615653217,0.5300906484618753,0.5096244711347612,0.5387132319457963,-0.017250462546998926
MAPK14,0.5265234207026488,0.520860127616155,0.5185048807341384,0.5010815540033258,0.5255367360561803,-0.0009866846464685415,0.46656775541829565,0.48370757671477965,0.4749315099555195,0.46497841116688654,0.5057796634027126,0.03921190798441698,0.5285691518429345,0.5235456723671612,0.5224088674561514,0.5014535619570097,0.5290725833451347,0.0005034315022001508
MAPKAPK2,0.5297036407944192,0.5268548799197971,0.5258495209897806,0.5126458464783248,0.5308059806901998,0.001102339895780527,0.4583172191065347,0.4806889600106888,0.4809360185410605,0.4662960611039843,0.5028769194435461,0.04455970033701127,0.5353252894117867,0.5307709290968565,0.5299168826414445,0.517100770366575,0.5355016578348,0.0001763684230132932
MET,0.5319216920900423,0.5224594535252922,0.5186969965916441,0.49923208129499497,0.5277252435603471,-0.004196448529695157,0.46087885142664947,0.5041670188823788,0.485778361154301,0.4741000466295847,0.5257927208249442,0.06491386939829476,0.5381041848783545,0.5232262871521949,0.5191135261562717,0.4978209007429384,0.5291315134227813,-0.008972671455573228
PLK1,0.5477290207970034,0.5254920806326285,0.5227881668730017,0.5084523237102659,0.5277456108574408,-0.019983409939562595,0.45351387483503486,0.4806230955264253,0.48079746962668557,0.4643878508808692,0.4948239451998851,0.04131007036485018,0.5559371291417745,0.5268713935012724,0.5231318223523,0.508260139942678,0.529647240563352,-0.02628988857842241
PTK2,0.5351035084349451,0.5246744983806981,0.52263273746781,0.5050773678360357,0.530371853221274,-0.004731655213671182,0.46592400252364236,0.49312284798479283,0.49519587499779577,0.478642300521052,0.5161074752911488,0.050183472767506385,0.541925715939133,0.526685568243369,0.5239848880295586,0.5055271703362979,0.5330840157879494,-0.008841700151183652
ROCK1,0.5419060352670233,0.5270109295806683,0.5227972488239567,0.50894127651481,0.5299050181823564,-0.012001017084667087,0.4577229755538579,0.48849663975276725,0.46886271068256363,0.45435040064329285,0.48635658323158326,0.028633607677725326,0.5498119068700047,0.5320383595331766,0.5274251991466443,0.512984280170018,0.5361967712032673,-0.013615135666737565
SRC,0.5457179360241842,0.5287703676820833,0.5257558865774689,0.5094750347295779,0.5318206176463802,-0.013897318377804056,0.45467111697603896,0.4745103169472917,0.4802348833861439,0.46275254579576297,0.4974065916742987,0.04273547469825981,0.5551180864552299,0.5309883405078079,0.5270244625615245,0.509306212601284,0.5345603264654225,-0.020557759989807474
