evaluation_identity,representation,experimental_margin_name,experimental_margin_percentage_points,pairwise_concordance,evaluated_pairs
IJMSMJUUYYSKBT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.7272727272727273,143
INZKYFAYQUYDOC-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.365,200
ISXAVIPPPMJTPN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6428571428571429,161
IYWBGQMZDRCNAW-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.44696969696969696,132
JIJYWPGTRDMEFZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.7047619047619048,105
JIQRMBNAYWCUEG-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4166666666666667,132
JMBATVPHKFZTAF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6525,200
JOAWBRMGMMCJGS-ZBFHGGJFSA-N,absolute_vina,exact_non_ties,0.0,0.5804020100502513,199
JONFDFIXMPXTRH-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.40350877192982454,171
JONPLOXVIREWEK-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4225352112676056,142
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.42105263157894735,57
KCJAPLFLYYZXFD-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.47096774193548385,155
KFAFRWFUXQYYSW-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5516129032258065,155
KFMQOHDPKOQCMU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.425531914893617,188
KJUCPVIVNLPLEE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4396135265700483,207
KKVSVOHZYJFTQM-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5870967741935483,155
KPILPRJNCZJVNG-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4213197969543147,197
KTEIFNKAUNYNJU-GFCCVEGCSA-N,absolute_vina,exact_non_ties,0.0,0.4329896907216495,194
LIHQCVPFINJLRH-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.479020979020979,143
LOAIUSJMQXSEBK-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4867021276595745,188
LVHOFIUXRMSCFN-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5234375,192
MAOSUPNJVJGJEU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5,143
MDEAKINSCUXXNF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5359116022099447,181
MKVMEJKNLUWFSQ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.43112244897959184,196
MNHRKQKSNCFFOW-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5416666666666666,180
MUJSVAMMIKEZPF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4857142857142857,105
