dataset,target,family,molecular_weight_raw_slope,molecular_weight_residual_slope,molecular_weight_residual_correlation,heavy_atoms_raw_slope,heavy_atoms_residual_slope,heavy_atoms_residual_correlation,rotatable_bonds_raw_slope,rotatable_bonds_residual_slope,rotatable_bonds_residual_correlation,imputed_cells,imputed_fraction,conditional_mw_slope_per_100_da,conditional_rotatable_bond_slope,residual_pc1_loading
Docking-44,4n6h,Opioid GPCR,-0.3172153366855327,-0.12761283705048188,-0.36716406448071626,-0.08013589863996631,-0.02197755404770165,-0.3722687552967697,0.02053744396259949,-0.0030986893528329447,-0.02366852363841367,0,0.0,-0.5157034665706903,0.13122010079145005,-0.13377292394136464
Docking-44,5cxv,Muscarinic GPCR,-0.059356929710185205,0.13024556992486536,0.2531165902947593,-0.03898536478432984,0.01917297980793473,0.2193606333969335,0.05200228286390684,0.028366149548474592,0.14634751868659343,62,0.004900798355861197,-0.20436388052500148,0.09586380159050419,0.06794347531468949
Docking-44,5i71,Transporter,-0.4781000655948226,-0.28849756595977194,-0.6265241602912103,-0.11360986873032317,-0.05545152413805861,-0.7089581229833642,-0.02337129438822986,-0.04700742770366232,-0.2710125987104177,9,0.0007114062129475931,-0.6555815319439385,0.11733263805961622,-0.24291450293415448
Docking-44,5tvn,Serotonin GPCR,-0.23639202893787478,-0.04678952930282416,-0.12939926088319628,-0.07100073411653682,-0.012842389524272147,-0.20909342828766364,0.01608697731650691,-0.0075491559989256055,-0.055425400944569256,1,7.904513477195479e-05,-0.38605946848462547,0.09894484125517236,-0.10544785002403143
Docking-44,5u09,Cannabinoid GPCR,-0.13467642670105703,0.05492607293399362,0.10286257169184629,-0.0530214139537556,0.005136930638508895,0.05663618034118464,0.016836015317731906,-0.006800117997700611,-0.03380824303344848,129,0.010196822385582168,-0.237125744152614,0.06772903633978901,0.03727859526781123
Docking-44,5va1,Ion channel,-0.10344465950136723,0.08615784013368362,0.2158528068749855,-0.03267083154964173,0.025487513042622853,0.37592549802262837,0.05280574115275593,0.02916960783732349,0.19400852406927968,0,0.0,-0.27144462868169855,0.11106443947836284,0.017583662958518338
Docking-44,6cm4,Dopamine GPCR,-0.20107909466834256,-0.011476595033291907,-0.03176871547863269,-0.0624242262547384,-0.004265881662473771,-0.06951952996677109,0.021439582913112886,-0.002196550402319451,-0.016141916449820503,17,0.0013437672911232313,-0.34575985542422305,0.09564815800297347,-0.062016297293808455
Docking-44,6kpf,Cannabinoid GPCR,-0.1686543284480445,0.02094817118700656,0.03676551270074546,-0.05726044156615549,0.0008979030261090635,0.009277594209721567,0.009800254062222291,-0.013835879253210056,-0.06446568470257066,223,0.017627065054145918,-0.2716786695673335,0.06810918332228608,0.07361222707877807
Docking-44,6kux,Adrenergic GPCR,-0.1808756348828478,0.008726864752203058,0.030426959972075684,-0.05610199797823394,0.0020563466140306234,0.0422092916215291,0.03832437743698468,0.01468824412155228,0.13595573243243916,8,0.0006323610781756383,-0.3536625176241577,0.11422905834154173,-0.07516288354273287
Docking-44,6lqa,Ion channel,-0.4417196597799782,-0.25211716014492735,-0.609142553103467,-0.10495237735306441,-0.046794032760799714,-0.665607846433632,-0.014667246398570406,-0.03830337971400277,-0.2456863071510866,0,0.0,-0.6212077799489895,0.1186592328371101,-0.21216800595926147
