experimental_endpoint,objective,targets_selected_k,evaluation_map,all_possible_panels,raw_vina_selected_mean_nearest_distance,residual_vina_selected_mean_nearest_distance,sequence_selected_mean_nearest_distance,experimental_in_sample_oracle_mean_nearest_distance,raw_vina_selected_excess_loss_over_in_sample_oracle,residual_vina_selected_excess_loss_over_in_sample_oracle,sequence_selected_excess_loss_over_in_sample_oracle,raw_minus_residual_selected_coverage_loss_improvement,raw_vina_selected_exact_fraction_all_panels_no_worse,residual_vina_selected_exact_fraction_all_panels_no_worse,sequence_selected_exact_fraction_all_panels_no_worse,raw_minus_residual_selected_exact_percentile_improvement,residual_selector_has_lower_coverage_loss,raw_vina_numerical_optimal_panel_count,residual_vina_numerical_optimal_panel_count,raw_optimal_experimental_excess_loss_min,raw_optimal_experimental_excess_loss_max,residual_optimal_experimental_excess_loss_min,residual_optimal_experimental_excess_loss_max,all_optimal_pair_coverage_loss_improvement_min_conservative,all_optimal_pair_coverage_loss_improvement_mean,all_optimal_pair_coverage_loss_improvement_max,all_optimal_pair_exact_percentile_improvement_min_conservative,all_optimal_pair_exact_percentile_improvement_mean,all_optimal_pair_exact_percentile_improvement_max,residual_minus_sequence_selected_coverage_loss,sequence_minus_residual_selected_coverage_loss_improvement,residual_minus_sequence_selected_exact_percentile,pooled_mean_coverage_loss_improvement_over_k_and_panels,pooled_mean_exact_percentile_improvement_over_k_and_panels,target_label_p_one_sided_coverage_loss_improvement,target_label_p_one_sided_exact_percentile_improvement,pooled_conservative_mean_coverage_loss_improvement_over_ties,pooled_tie_averaged_mean_coverage_loss_improvement,target_label_p_one_sided_conservative_tie_improvement,target_label_p_one_sided_tie_averaged_improvement
column_rank_then_row_centered,signed_1_minus_r,10,DAVIS,352716,0.302926418446,0.251086376756,0.275277293829,0.1985637827,0.104362635746,0.0525225940552,0.0767135111283,0.0518400416904,0.76258236088,0.135959241996,0.44783905465,0.626623118883,True,1,4,0.104362635746,0.104362635746,0.0460520144798,0.0616459437527,0.0427166919928,0.0505136566293,0.0583106212658,0.520968711371,0.607814785833,0.683473389356,-0.0241909170731,0.0241909170731,-0.311879812654,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,signed_1_minus_r,10,PKIS2,352716,0.450429034809,0.410423924486,0.399573031495,0.38257940334,0.0678496314686,0.0278445211459,0.0169936281546,0.0400051103227,0.957597613944,0.198527994194,0.0367462774584,0.759069619751,True,1,4,0.0678496314686,0.0678496314686,0.0278445211459,0.0315574455125,0.0362921859561,0.0381486481394,0.0400051103227,0.673666632645,0.716368126198,0.759069619751,0.0108508929913,-0.0108508929913,0.161781716735,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,absolute_1_minus_abs_r,10,DAVIS,352716,0.273095856263,0.277169057679,0.259554527754,0.190419023367,0.0826768328962,0.0867500343113,0.0691355043868,-0.00407320141513,0.776162691797,0.829556923984,0.535022511029,-0.0533942321868,False,1,1,0.0826768328962,0.0826768328962,0.0867500343113,0.0867500343113,-0.00407320141513,-0.00407320141513,-0.00407320141513,-0.0533942321868,-0.0533942321868,-0.0533942321868,0.0176145299245,-0.0176145299245,0.294534412955,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,absolute_1_minus_abs_r,10,PKIS2,352716,0.391961666336,0.380634122052,0.374486944174,0.353280893936,0.0386807723993,0.0273532281155,0.0212060502374,0.0113275442838,0.766024223455,0.41760509872,0.224897651368,0.348419124735,True,1,1,0.0386807723993,0.0386807723993,0.0273532281155,0.0273532281155,0.0113275442838,0.0113275442838,0.0113275442838,0.348419124735,0.348419124735,0.348419124735,0.00614717787804,-0.00614717787804,0.192707447351,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,squared_1_minus_r2,10,DAVIS,352716,0.377490394856,0.397616383888,0.370484701667,0.301611539647,0.0758788552088,0.0960048442405,0.0688731620196,-0.0201259890317,0.59614817587,0.874502432552,0.469958833736,-0.278354256682,False,1,1,0.0758788552088,0.0758788552088,0.0960048442405,0.0960048442405,-0.0201259890317,-0.0201259890317,-0.0201259890317,-0.278354256682,-0.278354256682,-0.278354256682,0.027131682221,-0.027131682221,0.404543598816,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
column_rank_then_row_centered,squared_1_minus_r2,10,PKIS2,352716,0.485328066786,0.477666904799,0.476257936705,0.464494762989,0.0208333037964,0.0131721418098,0.0117631737159,0.00766116198658,0.611579854614,0.365052903753,0.290006690935,0.246526950861,True,1,1,0.0208333037964,0.0208333037964,0.0131721418098,0.0131721418098,0.00766116198658,0.00766116198658,0.00766116198658,0.246526950861,0.246526950861,0.246526950861,0.00140896809396,-0.00140896809396,0.0750462128171,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
metric_row_centered_residual,signed_1_minus_r,12,DAVIS,293930,0.213375471459,0.202476499394,0.191093207491,0.115427147555,0.0979483239039,0.087049351839,0.0756660599366,0.010898972065,0.597652502296,0.448589800293,0.291317660668,0.149062702004,True,2,2,0.0962462782161,0.0979483239039,0.087049351839,0.0957295341481,0.000516744068014,0.00570785806649,0.010898972065,0.00678052597557,0.0779216139897,0.149062702004,0.0113832919024,-0.0113832919024,0.157272139625,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,signed_1_minus_r,12,PKIS2,293930,0.288691554729,0.290108818707,0.271650942094,0.23319417454,0.0554973801897,0.0569146441673,0.0384567675541,-0.00141726397759,0.499271935495,0.529547851529,0.168233933249,-0.0302759160344,False,2,2,0.0554973801897,0.0604873155023,0.0569146441673,0.0569146441673,-0.00141726397759,0.00107770367868,0.00357267133496,-0.0302759160344,0.0223709726806,0.0750178613956,0.0184578766132,-0.0184578766132,0.36131391828,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,absolute_1_minus_abs_r,12,DAVIS,293930,0.189231327498,0.244625982123,0.19004174218,0.115427147555,0.0738041799433,0.129198834569,0.074614594625,-0.0553946546253,0.41541523492,0.98626883952,0.429500221141,-0.5708536046,False,2,1,0.0721021342555,0.0738041799433,0.129198834569,0.129198834569,-0.0570967003131,-0.0562456774692,-0.0553946546253,-0.60075868404,-0.58580614432,-0.5708536046,0.0545842399435,-0.0545842399435,0.556768618379,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
metric_row_centered_residual,absolute_1_minus_abs_r,12,PKIS2,293930,0.26378064082,0.297246320566,0.249963175665,0.220926606341,0.0428540344794,0.0763197142248,0.0290365693247,-0.0334656797454,0.401445922499,0.984115265539,0.106191950464,-0.582669343041,False,2,1,0.0428540344794,0.0436473035449,0.0763197142248,0.0763197142248,-0.0334656797454,-0.0330690452126,-0.0326724106798,-0.582669343041,-0.572076684925,-0.561484026809,0.0472831449001,-0.0472831449001,0.877923315075,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
