calibration_ligands,repetition,calibration_vs_full_map_spearman,panel_overlap_with_full_source,panel_jaccard_with_full_source,calibration_panel_index_lexicographic,top5pct_on_both_experimental_maps,DAVIS_mean_nearest_distance,DAVIS_oracle_mean_nearest_distance,DAVIS_absolute_loss_vs_oracle,DAVIS_fraction_all_panels_no_worse,DAVIS_exact_rank_best_is_1,DAVIS_median_headroom_captured,PKIS2_mean_nearest_distance,PKIS2_oracle_mean_nearest_distance,PKIS2_absolute_loss_vs_oracle,PKIS2_fraction_all_panels_no_worse,PKIS2_exact_rank_best_is_1,PKIS2_median_headroom_captured
200,29,0.898766735883,6,0.6,109505,False,0.282887044347,0.250758185607,0.0321288587397,0.0189100201484,3845,0.669710282394,0.422010909368,0.385165064644,0.0368458447243,0.121912624699,24805,0.372126242288
200,30,0.917748701785,7,0.777777777778,110239,True,0.275925274141,0.250758185607,0.0251670885343,0.00760233918129,1544,0.741278374302,0.413191801195,0.385165064644,0.0280267365513,0.0417661801563,8496,0.522408767487
200,31,0.941267213704,6,0.6,96749,False,0.312560389412,0.250758185607,0.0618022038052,0.17436237653,35480,0.364663631298,0.428151397755,0.385165064644,0.0429863331111,0.209091355841,42545,0.26748889318
200,32,0.893395703822,3,0.230769230769,102732,False,0.342339930652,0.250758185607,0.0915817450449,0.446046488771,90765,0.0585252668397,0.415694909499,0.385165064644,0.0305298448551,0.0588775861222,11978,0.47975440501
200,33,0.898085152563,6,0.6,110319,True,0.284605456451,0.250758185607,0.0338472708435,0.0227627893263,4629,0.652044735881,0.413191801195,0.385165064644,0.0280267365513,0.0417661801563,8496,0.522408767487
200,34,0.945254346551,6,0.6,89846,False,0.346767162934,0.250758185607,0.0960089773268,0.48831392206,99366,0.0130126231439,0.445168260153,0.385165064644,0.0600031955091,0.525111799106,106854,-0.0224879391654
200,35,0.922655842536,7,0.777777777778,110230,False,0.319602054128,0.250758185607,0.0688438685207,0.233711730306,47555,0.292274211269,0.422036639581,0.385165064644,0.036871574937,0.122158337019,24855,0.371687785105
200,36,0.902590599722,4,0.333333333333,80029,False,0.369567060421,0.250758185607,0.118808874814,0.690220649663,140453,-0.221373906532,0.440586091291,0.385165064644,0.0554210266477,0.438532606025,89236,0.0555947755331
200,37,0.906179926335,5,0.454545454545,142637,False,0.294381842191,0.250758185607,0.0436236565844,0.0573492554917,11667,0.551541953889,0.413692216452,0.385165064644,0.0285271518085,0.0448965551133,9133,0.513881412224
200,38,0.924153770899,6,0.6,77690,False,0.373672328283,0.250758185607,0.122914142676,0.721922453192,146903,-0.263576705386,0.445902284113,0.385165064644,0.0607372194691,0.538395007126,109555,-0.0349961171019
200,39,0.93109399954,5,0.454545454545,96773,False,0.345097675617,0.250758185607,0.0943394900103,0.472332792766,96114,0.0301752151545,0.425167066861,0.385165064644,0.0400020022169,0.163821318001,33333,0.318343557168
200,40,0.907036440736,5,0.454545454545,96743,False,0.378632729921,0.250758185607,0.127874544314,0.757668681508,154178,-0.31457041386,0.453399317235,0.385165064644,0.0682342525913,0.667379232395,135804,-0.162749745587
200,41,0.907156948813,4,0.333333333333,100576,False,0.285744861476,0.250758185607,0.0349866758693,0.0255786525136,5205,0.640331473133,0.418342199344,0.385165064644,0.0331771347002,0.0819843726964,16683,0.434643108601
200,42,0.922832069402,7,0.777777777778,110239,True,0.275925274141,0.250758185607,0.0251670885343,0.00760233918129,1544,0.741278374302,0.413191801195,0.385165064644,0.0280267365513,0.0417661801563,8496,0.522408767487
200,43,0.935136851176,7,0.777777777778,119928,True,0.259881201223,0.250758185607,0.00912301561609,0.00031451176962,63,0.906213965583,0.406873781721,0.385165064644,0.0217087170776,0.0139073173129,2829,0.630071345396
200,44,0.933265736508,5,0.454545454545,77766,False,0.36456486684,0.250758185607,0.113806681233,0.649083493046,132081,-0.169950570317,0.444142722892,0.385165064644,0.0589776582486,0.505376185562,102836,-0.00501221189534
200,45,0.931496988918,5,0.454545454545,96185,False,0.332804433913,0.250758185607,0.082046248306,0.355368814192,72314,0.15655167203,0.412770302423,0.385165064644,0.0276052377797,0.0392893999705,7995,0.529591341793
200,46,0.916810552879,5,0.454545454545,102811,False,0.351870808231,0.250758185607,0.101112622623,0.536375251855,109147,-0.0394536526569,0.425724051461,0.385165064644,0.0405589868178,0.171880682097,34975,0.308852228716
200,47,0.913321001772,7,0.777777777778,84371,False,0.345581805772,0.250758185607,0.0948236201651,0.477094697528,97083,0.0251982810716,0.448803687181,0.385165064644,0.0636386225378,0.589984765836,120053,-0.0844376446607
200,48,0.91813095859,6,0.6,84402,False,0.354261988081,0.250758185607,0.103503802474,0.558032335741,113553,-0.0640353573495,0.448803687181,0.385165064644,0.0636386225378,0.589984765836,120053,-0.0844376446607
200,49,0.917503798272,5,0.454545454545,97862,True,0.285512030977,0.250758185607,0.0347538453704,0.0249742002064,5082,0.642725007256,0.413031324899,0.385165064644,0.027866260255,0.0408079021082,8304,0.525143373139
200,50,0.933677796387,8,1,110244,True,0.265664673778,0.250758185607,0.0149064881707,0.00128261831048,258,0.846758958721,0.412189974543,0.385165064644,0.027024909899,0.0358346847511,7289,0.539480452761
200,51,0.916820919166,6,0.6,96163,False,0.350713941629,0.250758185607,0.0999557560215,0.525401739643,106913,-0.0275608821616,0.427490832567,0.385165064644,0.0423257679232,0.199022064966,40496,0.278745292642
200,52,0.921017969309,5,0.454545454545,109494,True,0.289304043989,0.250758185607,0.0385458583817,0.0368617622488,7498,0.603742517501,0.412946752314,0.385165064644,0.02778168767,0.0403213917146,8202,0.526584537186
200,53,0.916714664732,6,0.6,182641,False,0.323861226329,0.250758185607,0.0731030407216,0.272214850853,55392,0.248489251621,0.435881196603,0.385165064644,0.0507161319593,0.347053909283,70619,0.135768806819
200,54,0.922968126909,5,0.454545454545,110290,False,0.317627542872,0.250758185607,0.0668693572647,0.216624895572,44078,0.312572497318,0.406691304796,0.385165064644,0.0215262401528,0.0135043491081,2745,0.633180854035
200,55,0.920323428131,5,0.454545454545,85403,False,0.365361776928,0.250758185607,0.114603591321,0.655796353629,133447,-0.17814293127,0.453367948537,0.385165064644,0.0682028838934,0.666804265566,135687,-0.162215205468
200,56,0.923430722433,4,0.333333333333,181981,False,0.300074220843,0.250758185607,0.0493160352356,0.0866971349943,17641,0.493023406671,0.42883177737,0.385165064644,0.0436667127263,0.220826576245,44933,0.255894844819
200,57,0.81946594189,5,0.454545454545,99678,False,0.318741589589,0.250758185607,0.0679834039819,0.22626664701,46043,0.301119921969,0.441186146015,0.385165064644,0.056021081371,0.449314462627,91431,0.045369508159
200,58,0.934924342308,7,0.777777777778,110233,True,0.273928228662,0.250758185607,0.0231700430552,0.00554818418596,1126,0.761808315707,0.410063453534,0.385165064644,0.0248983888905,0.0252051697872,5126,0.575717557553
200,59,0.927088725692,7,0.777777777778,109474,False,0.274206862038,0.250758185607,0.0234486764306,0.00582829623077,1183,0.758943920815,0.422010909368,0.385165064644,0.0368458447243,0.121912624699,24805,0.372126242288
200,60,0.917470107842,6,0.6,96734,False,0.369952547611,0.250758185607,0.119194362004,0.693277310924,141075,-0.225336775439,0.453399317235,0.385165064644,0.0682342525913,0.667379232395,135804,-0.162749745587
